date,site,species,no,dist.top,dist.btm,ht,dbh,dbh2,dbh3,vol
25-Jul,kl,vibedu,10,,,223.3,2.912,,,2.09
25-Jul,kl,vacmem,8,,,65.2,1.336,,,2.03
25-Jul,kl,samrac,8,,,223.7,2.261,2.078,2.694,4.75
25-Jul,kl,samrac,9,,,211,2.237,2.134,2.128,4.09
25-Jul,kl,samrac,10,,,218,2.964,2.145,,4.61
25-Jul,kl,vacmem,9,,,73.4,1.148,,,NA
25-Jul,kl,vacmem,10,,,61,0.777,,,2.56
26-Jul,kl,rosgym,8,,,186.7,1.26,1.148,0.768,2.2
26-Jul,kl,spibet,8,,,65.5,0.398,,,1.05
26-Jul,kl,loninv,3,,,205.3,1.256,0.968,,2.18
26-Jul,kl,shecan,4,,,171.2,1.904,1.25,1.185,2.53
26-Jul,kl,sorsco,1,,,175.6,1.612,,,2.43
26-Jul,kl,corsto,3,,,351.9,3.183,2.246,2.11,2.79
26-Jul,kl,sorsco,2,,,382.2,2.8,,,2.98
26-Jul,kl,spibet,9,,,55.3,0.292,,,0.72
26-Jul,kl,alnvir,2,,,350.4,2.833,3.633,3.268,2.98
26-Jul,kl,riblac,7,,,53.8,0.337,0.377,,1.14
26-Jul,kl,acegla,3,,,470.3,2.546,2.037,,2.34
26-Jul,kl,shecan,9,,,237.2,5.292,,,1.67
26-Jul,kl,alnvir,8,,,307.4,1.828,1.296,1.464,2.49
26-Jul,kl,spibet,10,,,70.2,0.51,,,1.11
26-Jul,kl,sorsco,10,,,547.9,2.624,,,3.23
26-Jul,kl,rosgym,4,,,127.5,0.972,,,2.27
26-Jul,kl,alnvir,3,,,360.1,1.582,1.764,1.861,2.73
26-Jul,kl,sorsco,3,,,212.5,1.456,1.168,0.798,3.17
26-Jul,kl,symalb,10,,,128.3,0.961,0.93,,1.05
26-Jul,kl,shecan,5,,,218.9,3.985,,,2.44
26-Jul,kl,rubpar,3,,,128.6,0.731,,,3.89
26-Jul,kl,rubpar,10,,,98.5,0.802,0.856,,3.7
26-Jul,kl,symalb,11,,,82.4,0.666,,,1.21
26-Jul,kl,loninv,9,,,167.8,1.234,1.177,0.975,1.98
26-Jul,kl,loninv,10,,,200.5,1.889,2.225,1.602,3.67
26-Jul,kl,amealn,5,,,233.9,1.48,,,2.31
26-Jul,kl,amealn,6,,,350.2,2.612,,,2.64
26-Jul,kl,sorsco,4,10,8,,3.71,,,2.8
26-Jul,kl,rosgym,9,,,121,8.2,,,1.67
26-Jul,kl,spibet,11,,,75.6,4.71,,,1.21
26-Jul,kl,poptre,1,,,577.5,2.85,,,4.07
26-Jul,kl,riblac,8,,,86.1,0.728,,,1.77
26-Jul,kl,rubpar,4,,,96.2,0.69,,,2.96
26-Jul,kl,loninv,4,,,139,1.225,,,3.63
26-Jul,kl,vibedu,1,,,190.5,1.594,,,2.82
26-Jul,kl,amealn,7,,,286.3,1.931,,,2.34
26-Jul,kl,symalb,2,,,121.5,0.837,,,1.48
26-Jul,kl,rubpar,11,,,90.6,0.727,,,3.2
26-Jul,kl,sorsco,5,,,250.7,2.502,,,2.47
26-Jul,kl,vibedu,2,,,66.2,0.609,0.406,,1.58
26-Jul,kl,vibedu,3,,,161,1.466,1.157,,2.67
26-Jul,kl,betpap,9,17,12,,17.1,14.9,9.9,3.37
26-Jul,kl,amealn,8,7,5,,3.464,2.252,1.985,3.38
26-Jul,kl,poptre,2,,,461.6,2.682,,,3.66
26-Jul,kl,symalb,3,,,66.6,0.6,,,2.61
28-Jul,kl,corsto,11,,,290.3,3.79,3.949,1.933,2.04
28-Jul,kl,rosgym,10,,,119.2,0.278,,,2.63
28-Jul,kl,alnvir,9,5,4,,3.809,2.552,2.27,3.9
28-Jul,kl,amealn,9,,,217.5,2.062,,,3.81
28-Jul,kl,corsto,12,,,334.2,2.696,,,2.34
28-Jul,kl,rosgym,11,,,74.6,0.518,,,2.04
28-Jul,kl,spibet,12,,,62.8,0.33,,,0.97
28-Jul,kl,alnvir,10,,,481.1,4.339,4.582,3.381,2.57
28-Jul,kl,acegla,9,7,6,,4.034,,,3.04
28-Jul,kl,alnvir,11,,,452.6,3.174,2.26,2.133,2.58
28-Jul,kl,rosgym,12,,,101.4,0.672,,,2.95
28-Jul,kl,popbal,9,7,5,,7.2,,,3.08
28-Jul,kl,rubida,2,,,62,0.426,,,1.38
28-Jul,kl,rubida,3,,,131,0.747,,,1.94
28-Jul,kl,rubida,4,,,78.7,0.499,,,1.72
28-Jul,kl,riblac,10,,,50.1,0.471,,,1.99
28-Jul,kl,amealn,10,,,213.4,2.259,,,2.56
28-Jul,kl,acegla,10,,,,10.6,,,3.82
28-Jul,kl,betpap,9,23,16,,29.7,8.4,,1.57
28-Jul,kl,riblac,11,,,121.4,0.742,,,1.57
28-Jul,kl,betpap,10,16,12,,13.3,,,3.87
28-Jul,kl,popbal,10,27,23,,24,23.5,12.5,3.1
28-Jul,kl,betpap,11,11,5,,8.2,,,3.38
28-Jul,kl,alnrub,1,9,7,,6.5,,,2.77
28-Jul,kl,alnrub,2,7,5,,6.5,,,3.88
28-Jul,kl,betpap,12,11,9,,10.4,,,3.25
28-Jul,kl,alnrub,3,12,10,,11.1,,,2.78
28-Jul,kl,alnrub,4,16,12,,17.7,,,3.14
28-Jul,kl,alnrub,5,11,10,,10.4,,,3.61
28-Jul,kl,alnrub,6,9,3,,6.7,,,3.38
28-Jul,kl,alnrub,7,9,8,,9.9,,,3.16
28-Jul,kl,alnrub,8,10,8,,7.5,6,,3.73
28-Jul,kl,alnrub,9,8,3.5,,10.1,,,3.69
28-Jul,kl,alnrub,10,9,4,,9.8,,,3.03
28-Jul,kl,alnvir,12,,,870.4,2.825,2.24,2.688,2.7
28-Jul,kl,poptre,5,16,7,,21.7,,,4.21
28-Jul,kl,poptre,6,10,7,,9.9,,,3.87
28-Jul,kl,poptre,7,14,11,,11.8,,,3.68
28-Jul,kl,symalb,12,,,79.2,0.411,,,1.59
28-Jul,kl,rubpar,12,,,91,0.616,,,2.96
28-Jul,kl,popbal,11,16,8,,20.1,,,4.45
29-Jul,kl,betpap,13,25,18,,30.3,,,3.87
29-Jul,kl,betpap,5,19,16,,12.7,7.9,,3.59
29-Jul,kl,popbal,3,22,15,,19.5,,,
29-Jul,kl,poptre,8,15,10,,13.3,,,3.51
29-Jul,kl,poptre,9,12,8,,8.8,,,3.97
29-Jul,kl,poptre,10,20,15,,20,,,3.59
29-Jul,kl,symalb,1,,,143.1,1.003,0.917,0.985,1.28
29-Jul,kl,shecan,1,,,148.5,1.45,,,1.91
29-Jul,kl,amealn,1,,,357.3,3.137,1.981,0.922,2.49
29-Jul,kl,riblac,12_02,,,106.8,0.655,0.69,,2.1
29-Jul,kl,acegla,1,6,5,,40.8,5.136,4.69,2.99
29-Jul,kl,shecan,2,,,200.4,3.187,,,2.67
29-Jul,kl,amealn,2,,,521,3.368,,,2.51
29-Jul,kl,rosgym,1,,,147.2,0.676,,,1.74
29-Jul,kl,symalb,2,,,166.5,1.036,1.069,,1.82
29-Jul,kl,rosgym,2,,,146.1,0.885,,,2
29-Jul,kl,riblac,1,,,151.9,0.648,0.62,,1.23
29-Jul,kl,rubpar,1,,,108.6,0.574,0.765,,2.47
29-Jul,kl,shecan,3,,,224.5,3.704,2.646,,3.07
29-Jul,kl,amealn,3,,,529.6,3.835,,,2.88
29-Jul,kl,popbal,1,15,12,,14.7,,,3.77
29-Jul,kl,shecan,4,,,168.5,3.679,,,2.43
29-Jul,kl,riblac,2,,,140.4,0.592,,,1.74
29-Jul,kl,loninv,2,,,161,1.102,,,3.39
29-Jul,kl,loninv,1,,,168.2,0.992,,,3.35
29-Jul,kl,rubida,5,,,68.4,0.473,,,1.08
29-Jul,kl,riblac,3,,,122.2,0.849,,,1.59
29-Jul,kl,rubida,1,,,136.2,0.654,,,3.03
29-Jul,kl,rubida,6,,,92.9,0.599,,,2.3
29-Jul,kl,rubida,7,,,97.8,0.59,,,2.01
29-Jul,kl,riblac,13,,,130.4,0.743,,,2.49
29-Jul,kl,betpap,14,19,14,,23.3,18.6,,3.81
30-Jul,kl,rhoalb,3,,,110.4,1.228,1.447,1.453,3.22
30-Jul,kl,rhoalb,4,,,133.1,1.288,1.649,1.187,3.48
30-Jul,kl,rubida,8,,,126.1,0.689,,,3
30-Jul,kl,rhoalb,5,,,191.4,1.643,0.999,,2.76
30-Jul,kl,rhoalb,6,,,201.2,1.744,1.433,0.75,2.54
30-Jul,kl,rhoalb,7,,,181.6,1.742,1.296,1.212,3.05
30-Jul,kl,rhoalb,8,,,120.6,0.985,,,3.15
30-Jul,kl,rhoalb,9,,,166,1.901,,,2.61
30-Jul,kl,rhoalb,10,,,110.3,1.392,1.375,,4.02
30-Jul,kl,vacmem,11,,,42,0.625,,,2.22
30-Jul,kl,corsto,13,,,338.2,2.869,2.002,1.432,3.22
30-Jul,kl,acegla,11,10,7,,5.3,3.4,2.2,2.47
