"sample","site","species","ssd","per.N","per.C","ht","dbh","dbh2","dbh3","lma","type","C.N"
"CORALT03_GR","GR","coralt",0.565217391304348,1.613786168,45.22543369,0.6,NA,NA,NA,0.0462328350461112,NA,NA
"CORALT04_GR","GR","coralt",0.6,1.687226276,44.08997674,0.6,NA,NA,NA,0.0400192556418451,NA,NA
"CORALT05_GR","GR","coralt",0.391304347826087,2.139493266,44.14586103,1,NA,NA,NA,0.0363719027051603,NA,NA
"CORALT06_GR","GR","coralt",0.515037593984962,3.044463061,44.86676743,1,NA,NA,NA,0.0266730955666238,NA,NA
"CORALT07_GR","GR","coralt",0.606060606060606,2.552481659,42.25014883,1.2,NA,NA,NA,0.0248801822800723,NA,NA
"CORALT08_GR","GR","coralt",NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA
"CORALT09_GR","GR","coralt",NA,NA,NA,NA,6,4.7,NA,NA,NA,NA
"CORCOR01_GR","GR","corcor",0.581818181818182,NA,NA,1.5,1,NA,NA,0.0221250234014671,NA,NA
"CORCOR02_GR","GR","corcor",0.503597122302158,NA,NA,2,1.4,1.2,NA,0.0225503262569639,NA,NA
"CORCOR03_GR","GR","corcor",0.439393939393939,2.135351589,42.76034131,1.3,NA,NA,NA,0.0300701522984873,NA,NA
"CORCOR04_GR","GR","corcor",0.48314606741573,2.775898664,44.33649069,1.9,1.6,1.3,1,0.0335662313384664,NA,NA
"CORCOR05_GR","GR","corcor",0.515151515151515,2.768129024,43.29130643,5,3.8,NA,NA,0.0324719929061185,NA,NA
"CORCOR06_GR","GR","corcor",0.495327102803738,2.934393145,43.47857731,2,1,1,NA,0.0291762725159513,NA,NA
"CORCOR07_GR","GR","corcor",0.492753623188406,2.899770826,43.59718255,4,1.2,1.3,2.1,0.0291056535222859,NA,NA
"CORCOR07-2_GR","GR","corcor",0.475247524752475,2.892981052,43.77081612,NA,NA,NA,NA,NA,NA,NA
"CORCOR08_GR","GR","corcor",NA,NA,NA,4,1.8,2.8,NA,NA,NA,NA
"DIELON01_GR","GR","dielon",NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA
"DIELON02_GR","GR","dielon",NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA
"DIELON03_GR","GR","dielon",NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA
"DIELON04_GR","GR","dielon",NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA
"DIELON05_GR","GR","dielon",NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA
"DIELON06_GR","GR","dielon",NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA
"DIELON07_GR","GR","dielon",NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA
"DIELON08_GR","GR","dielon",NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA
"FAGGRA01_GR","GR","faggra",0.678571428571428,2.504909157,41.56306822,12,13.9,NA,NA,0.0271095392212472,NA,NA
"FAGGRA02_GR","GR","faggra",0.571428571428571,2.198170536,44.54635755,5,2.9,NA,NA,0.0266507872392699,NA,NA
"FAGGRA03_GR","GR","faggra",0.510869565217391,2.256051472,45.55725899,2.5,1.2,1.3,1.4,0.0325302216252518,NA,NA
"FAGGRA04_GR","GR","faggra",0.563876651982379,2.300562878,44.80966323,5,3.3,2.8,1.9,0.0349817031973963,NA,NA
"FAGGRA05_GR","GR","faggra",0.658333333333333,1.995203502,44.08351935,2.2,NA,NA,NA,0.0299944055378435,NA,NA
