"","ind","site","sp","Latitude","Longitude","Elevation","Leaf.area","Fresh.mass","Dry.mass","Stem.volume","Stem.mass","ht","DBH","DBH.2","DBH.3","DBH.4","DBH.5","per.N","per.C","Stomatal.Length","stom_d","lma","wood.den","cn"
"85","BETPOP03_GR","GR","BETPOP",NA,NA,NA,NA,NA,NA,NA,NA,9,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","BETPOP04_GR","GR","BETPOP",NA,NA,NA,NA,NA,NA,NA,NA,6.75,8,2.1,7,6.1,6.2,NA,NA,NA,NA,NA,NA,NA
"87","CORALT01_GR","GR","CORALT",44.92369702,-71.09207701,438,269.42,2.47,0.61,0.65,0.32,1.1,NA,NA,NA,NA,NA,2.927238046,42.53679219,15.7378,121.2364877,0.00226412293074011,2.03125,14.5313744634214
"88","CORALT02_GR","GR","CORALT",44.924643,-71.09522299,419,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,3.056914807,43.90706717,NA,NA,NA,NA,14.3631962099361
"89","CORALT03_GR","GR","CORALT",44.92461501,-71.09537998,422,123.289,1.57,0.57,0.23,0.13,0.6,NA,NA,NA,NA,NA,1.613786168,45.22543369,NA,NA,0.00462328350461112,1.76923076923077,28.0244276390402
"90","CORALT04_GR","GR","CORALT",44.92540902,-71.09723599,429,172.417,1.89,0.69,0.6,0.36,0.6,NA,NA,NA,NA,NA,1.687226276,44.08997674,18.3132,99.03825758,0.00400192556418451,1.66666666666667,26.1316323525535
"91","CORALT05_GR","GR","CORALT",44.924413,-71.09464003,433,197.955,2.4,0.72,0.46,0.18,1,NA,NA,NA,NA,NA,2.139493266,44.14586103,17.794,145.142274,0.00363719027051603,2.55555555555556,20.6337929319755
"92","CORALT06_GR","GR","CORALT",44.92439004,-71.09467397,413,194.953,1.98,0.52,2.66,1.37,1,NA,NA,NA,NA,NA,3.044463061,44.86676743,NA,NA,0.00266730955666238,1.94160583941606,14.7371692581032
"93","CORALT07_GR","GR","CORALT",44.889323,-71.07332502,467,152.732,1.43,0.38,0.33,0.2,1.2,NA,NA,NA,NA,NA,2.552481659,42.25014883,17.3312,150.2649425,0.00248801822800723,1.65,16.5525768543828
"94","CORALT08_GR","GR","CORALT",NA,NA,NA,NA,NA,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","CORALT09_GR","GR","CORALT",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","CORCOR01_GR","GR","CORCOR",44.92354799,-71.09126204,453,176.271,1.49,0.39,0.55,0.32,1.5,1,NA,NA,NA,NA,NA,NA,19.2244,73.4249151,0.00221250234014671,1.71875,NA
"97","CORCOR02_GR","GR","CORCOR",44.92361002,-71.091659,446,345.893,2.77,0.78,1.39,0.7,2,1.4,1.2,NA,NA,NA,NA,NA,NA,NA,0.00225503262569639,1.98571428571429,NA
"98","CORCOR03_GR","GR","CORCOR",44.92405904,-71.09221799,426,292.649,2.68,0.88,0.66,0.29,1.3,NA,NA,NA,NA,NA,2.135351589,42.76034131,NA,NA,0.00300701522984873,2.27586206896552,20.0249652236543
"99","CORCOR04_GR","GR","CORCOR",44.923852,-71.09312802,416,193.647,2.1,0.65,0.89,0.43,1.9,1.6,1.3,1,NA,NA,2.775898664,44.33649069,NA,NA,0.00335662313384664,2.06976744186047,15.9719413626261
"100","CORCOR05_GR","GR","CORCOR",44.92398402,-71.09307798,419,240.207,2.43,0.78,0.66,0.34,5,3.8,NA,NA,NA,NA,2.768129024,43.29130643,17.5518,61.47202195,0.00324719929061185,1.94117647058824,15.6391938578944
"101","CORCOR06_GR","GR","CORCOR",44.92311196,-71.09042603,433,209.074,1.89,0.61,1.07,0.53,2,1,1,NA,NA,NA,2.934393145,43.47857731,20.5064,93.91558909,0.00291762725159513,2.0188679245283,14.8168889312206
"102","CORCOR07_GR","GR","CORCOR",44.92305203,-71.09045503,436,199.274,1.66,0.58,0.69,0.34,4,1.2,1.3,2.1,1,1.4,2.899770826,43.59718255,14.7066,80.25513976,0.00291056535222859,2.02941176470588,15.0346993490306
"103","CORCOR07-2_GR","GR","CORCOR",NA,NA,NA,NA,2.08,0.7,1.01,0.48,NA,NA,NA,NA,NA,NA,2.892981052,43.77081612,NA,NA,NA,2.10416666666667,15.1300044256218
"104","CORCOR08_GR","GR","CORCOR",44.88031598,-71.09866099,448,NA,NA,NA,NA,NA,4,1.8,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","DIELON01_GR","GR","DIELON",44.92405199,-71.09222897,429,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","DIELON02_GR","GR","DIELON",44.92407203,-71.092291,424,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","DIELON03_GR","GR","DIELON",44.92403599,-71.09222998,425,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","DIELON04_GR","GR","DIELON",44.925203,-71.09779799,431,NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","DIELON05_GR","GR","DIELON",44.92526301,-71.09793001,432,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","DIELON06_GR","GR","DIELON",44.92516897,-71.09794401,430,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","DIELON07_GR","GR","DIELON",44.88033903,-71.09928201,470,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","DIELON08_GR","GR","DIELON",44.88021498,-71.09950799,465,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","FAGGRA01_GR","GR","FAGGRA",44.92378403,-71.09216301,430,239.768,1.71,0.65,1.68,1.14,12,13.9,NA,NA,NA,NA,2.504909157,41.56306822,9.3946,447.3797153,0.00271095392212472,1.47368421052632,16.5926449284005
"114","FAGGRA02_GR","GR","FAGGRA",44.88021799,-71.09986296,448,240.143,1.78,0.64,0.77,0.44,5,2.9,NA,NA,NA,NA,2.198170536,44.54635755,8.1154,413.228592,0.00266507872392699,1.75,20.2651963623627
"115","FAGGRA03_GR","GR","FAGGRA",44.88022302,-71.09980596,446,285.888,2.41,0.93,0.92,0.47,2.5,1.2,1.3,1.4,NA,NA,2.256051472,45.55725899,8.474,432.0117098,0.00325302216252519,1.95744680851064,20.1933597506148
"116","FAGGRA04_GR","GR","FAGGRA",44.88003301,-71.10004703,450,291.581,2.82,1.02,2.27,1.28,5,3.3,2.8,1.9,2,NA,2.300562878,44.80966323,NA,NA,0.00349817031973963,1.7734375,19.4776955059604
"117","FAGGRA05_GR","GR","FAGGRA",44.87942599,-71.100905,444,296.722,2.37,0.89,1.2,0.79,2.2,NA,NA,NA,NA,NA,1.995203502,44.08351935,8.4906,348.3414577,0.00299944055378435,1.51898734177215,22.0947483832153
"118","FAGGRA06_GR","GR","FAGGRA",44.89875197,-71.07459697,428,360.022,4.37,1.57,1.88,1,8,10.5,NA,NA,NA,NA,2.028873831,44.18377652,NA,NA,0.0043608446150513,1.88,21.7774884987415
"119","FAGGRA08_GR","GR","FAGGRA",NA,NA,NA,NA,NA,NA,NA,NA,6,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","FAGGRA09_GR","GR","FAGGRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,29.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","FAGGRA10_GR","GR","FAGGRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,14.6,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","FAGGRA11_GR","GR","FAGGRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","FRAAME01_GR","GR","FRAAME",44.92396499,-71.09304101,421,NA,NA,NA,NA,NA,5,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","FRAAME02_GR","GR","FRAAME",44.92363399,-71.09129498,426,159.509,1.83,0.51,1.5,0.69,6,3.4,3.6,NA,NA,NA,3.105743923,45.61847479,22.585,134.896937,0.00319731175043414,2.17391304347826,14.6884211709041
