"","ind","sp","site","treatcode","warm","photo","chill","tleafm","lleafm","Height","DBH","stom_den","sla","wood_d","cn"
"92","ACEPEN08_SH","ACEPEN","SH","WL1","20","12","chill1",0,0,4,2.4,414.9361481,26.316017699115,2.06818181818182,19.3924635445631
"93","ACEPEN08_SH","ACEPEN","SH","WL2","20","12","chill2",0,0,4,2.4,414.9361481,26.316017699115,2.06818181818182,19.3924635445631
"94","ACEPEN08_SH","ACEPEN","SH","WS0","20","08","chill0",0,0,4,2.4,414.9361481,26.316017699115,2.06818181818182,19.3924635445631
"95","ACEPEN08_SH","ACEPEN","SH","WS2","20","08","chill2",0,0,4,2.4,414.9361481,26.316017699115,2.06818181818182,19.3924635445631
"96","ACEPEN08_SH","ACEPEN","SH","WS1","20","08","chill1",1,1,4,2.4,414.9361481,26.316017699115,2.06818181818182,19.3924635445631
"121","ACEPEN11_SH","ACEPEN","SH","CL0","15","12","chill0",0,0,6.98,5.7,NA,37.5005333333333,2.09917355371901,22.717132095659
"122","ACEPEN11_SH","ACEPEN","SH","CL1","15","12","chill1",0,0,6.98,5.7,NA,37.5005333333333,2.09917355371901,22.717132095659
"123","ACEPEN11_SH","ACEPEN","SH","CL2","15","12","chill2",0,0,6.98,5.7,NA,37.5005333333333,2.09917355371901,22.717132095659
"124","ACEPEN11_SH","ACEPEN","SH","CS0","15","08","chill0",0,0,6.98,5.7,NA,37.5005333333333,2.09917355371901,22.717132095659
"125","ACEPEN11_SH","ACEPEN","SH","CS1","15","08","chill1",0,0,6.98,5.7,NA,37.5005333333333,2.09917355371901,22.717132095659
"126","ACEPEN11_SH","ACEPEN","SH","CS2","15","08","chill2",0,0,6.98,5.7,NA,37.5005333333333,2.09917355371901,22.717132095659
"127","ACEPEN11_SH","ACEPEN","SH","WL0","20","12","chill0",0,0,6.98,5.7,NA,37.5005333333333,2.09917355371901,22.717132095659
"128","ACEPEN11_SH","ACEPEN","SH","WL1","20","12","chill1",0,0,6.98,5.7,NA,37.5005333333333,2.09917355371901,22.717132095659
"129","ACEPEN11_SH","ACEPEN","SH","WL2","20","12","chill2",0,0,6.98,5.7,NA,37.5005333333333,2.09917355371901,22.717132095659
"130","ACEPEN11_SH","ACEPEN","SH","WS0","20","08","chill0",0,0,6.98,5.7,NA,37.5005333333333,2.09917355371901,22.717132095659
"131","ACEPEN11_SH","ACEPEN","SH","WS2","20","08","chill2",0,0,6.98,5.7,NA,37.5005333333333,2.09917355371901,22.717132095659
"132","ACEPEN11_SH","ACEPEN","SH","WS1","20","08","chill1",0,0,6.98,5.7,NA,37.5005333333333,2.09917355371901,22.717132095659
"133","ACEPEN12_HF","ACEPEN","HF","CL0","15","12","chill0",0,0,16.5,13.9,NA,27.5654255319149,1.59210526315789,23.2911218882631
"134","ACEPEN12_HF","ACEPEN","HF","CL1","15","12","chill1",0,0,16.5,13.9,NA,27.5654255319149,1.59210526315789,23.2911218882631
"135","ACEPEN12_HF","ACEPEN","HF","CL2","15","12","chill2",0,0,16.5,13.9,NA,27.5654255319149,1.59210526315789,23.2911218882631
"136","ACEPEN12_HF","ACEPEN","HF","CS0","15","08","chill0",0,0,16.5,13.9,NA,27.5654255319149,1.59210526315789,23.2911218882631
"137","ACEPEN12_HF","ACEPEN","HF","CS1","15","08","chill1",0,0,16.5,13.9,NA,27.5654255319149,1.59210526315789,23.2911218882631
"138","ACEPEN12_HF","ACEPEN","HF","CS2","15","08","chill2",0,0,16.5,13.9,NA,27.5654255319149,1.59210526315789,23.2911218882631
"139","ACEPEN12_HF","ACEPEN","HF","WL0","20","12","chill0",0,0,16.5,13.9,NA,27.5654255319149,1.59210526315789,23.2911218882631
"140","ACEPEN12_HF","ACEPEN","HF","WL1","20","12","chill1",0,0,16.5,13.9,NA,27.5654255319149,1.59210526315789,23.2911218882631
"141","ACEPEN12_HF","ACEPEN","HF","WL2","20","12","chill2",0,0,16.5,13.9,NA,27.5654255319149,1.59210526315789,23.2911218882631
"142","ACEPEN12_HF","ACEPEN","HF","WS0","20","08","chill0",0,0,16.5,13.9,NA,27.5654255319149,1.59210526315789,23.2911218882631
"143","ACEPEN12_HF","ACEPEN","HF","WS2","20","08","chill2",0,0,16.5,13.9,NA,27.5654255319149,1.59210526315789,23.2911218882631
"144","ACEPEN12_HF","ACEPEN","HF","WS1","20","08","chill1",1,1,16.5,13.9,NA,27.5654255319149,1.59210526315789,23.2911218882631
"157","ACERUB06_SH","ACERUB","SH","CL0","15","12","chill0",0,0,12.02,13.3,102.7799478,13.892816091954,1.88059701492537,30.8421200536741
"158","ACERUB06_SH","ACERUB","SH","CL1","15","12","chill1",1,1,12.02,13.3,102.7799478,13.892816091954,1.88059701492537,30.8421200536741
"159","ACERUB06_SH","ACERUB","SH","CL2","15","12","chill2",0,NA,12.02,13.3,102.7799478,13.892816091954,1.88059701492537,30.8421200536741
"160","ACERUB06_SH","ACERUB","SH","CS0","15","08","chill0",0,0,12.02,13.3,102.7799478,13.892816091954,1.88059701492537,30.8421200536741
"161","ACERUB06_SH","ACERUB","SH","CS1","15","08","chill1",0,0,12.02,13.3,102.7799478,13.892816091954,1.88059701492537,30.8421200536741
"162","ACERUB06_SH","ACERUB","SH","CS2","15","08","chill2",1,1,12.02,13.3,102.7799478,13.892816091954,1.88059701492537,30.8421200536741
