site,species,indiv.no,date.x,stem.wt,dist.top,dist.btm,ht,dbh,dbh2,dbh3,date.y,collected.by,leaf.no,area,
kl,alnvir,10,28-Jul,NA,NA,NA,481.1,4.339,4.582,3.381,28-Jul-19,slh,5,54.308,
kl,alnvir,11,28-Jul,NA,NA,NA,452.6,3.174,2.26,2.133,28-Jul-19,slh,1,27.257,
kl,alnvir,11,28-Jul,NA,NA,NA,452.6,3.174,2.26,2.133,28-Jul-19,slh,2,43.094,
kl,alnvir,11,28-Jul,NA,NA,NA,452.6,3.174,2.26,2.133,28-Jul-19,slh,3,34.277,
kl,alnvir,11,28-Jul,NA,NA,NA,452.6,3.174,2.26,2.133,28-Jul-19,slh,4,46.135,
kl,alnvir,11,28-Jul,NA,NA,NA,452.6,3.174,2.26,2.133,28-Jul-19,slh,5,30.648,
kl,alnvir,12,28-Jul,NA,NA,NA,870.4,2.825,2.24,2.688,28-Jul-19,slh,1,32.293,
kl,alnvir,12,28-Jul,NA,NA,NA,870.4,2.825,2.24,2.688,28-Jul-19,slh,2,25.35,
kl,alnvir,12,28-Jul,NA,NA,NA,870.4,2.825,2.24,2.688,28-Jul-19,slh,3,15.889,
kl,alnvir,12,28-Jul,NA,NA,NA,870.4,2.825,2.24,2.688,28-Jul-19,slh,4,26.624,
kl,alnvir,12,28-Jul,NA,NA,NA,870.4,2.825,2.24,2.688,28-Jul-19,slh,5,33.789,
kl,amealn,1,29-Jul,NA,NA,NA,357.3,3.137,1.981,0.922,29-Jul-19,slh,1,46.828,
kl,amealn,1,29-Jul,NA,NA,NA,357.3,3.137,1.981,0.922,29-Jul-19,slh,2,22.657,
kl,amealn,1,29-Jul,NA,NA,NA,357.3,3.137,1.981,0.922,29-Jul-19,slh,3,18.725,
kl,amealn,1,29-Jul,NA,NA,NA,357.3,3.137,1.981,0.922,29-Jul-19,slh,4,38.635,
kl,amealn,1,29-Jul,NA,NA,NA,357.3,3.137,1.981,0.922,29-Jul-19,slh,5,29.978,
kl,amealn,2,29-Jul,NA,NA,NA,521,3.368,NA,NA,29-Jul-19,slh,1,20.649,
kl,amealn,2,29-Jul,NA,NA,NA,521,3.368,NA,NA,29-Jul-19,slh,2,15.455,
kl,amealn,2,29-Jul,NA,NA,NA,521,3.368,NA,NA,29-Jul-19,slh,3,17.37,
kl,amealn,2,29-Jul,NA,NA,NA,521,3.368,NA,NA,29-Jul-19,slh,4,11.908,
kl,amealn,2,29-Jul,NA,NA,NA,521,3.368,NA,NA,29-Jul-19,slh,5,18.63,
kl,amealn,3,29-Jul,NA,NA,NA,529.6,3.835,NA,NA,29-Jul-19,slh,1,16.072,
kl,amealn,3,29-Jul,NA,NA,NA,529.6,3.835,NA,NA,29-Jul-19,slh,2,15.452,
kl,amealn,3,29-Jul,NA,NA,NA,529.6,3.835,NA,NA,29-Jul-19,slh,3,16.468,
kl,amealn,3,29-Jul,NA,NA,NA,529.6,3.835,NA,NA,29-Jul-19,slh,4,11.238,
kl,amealn,3,29-Jul,NA,NA,NA,529.6,3.835,NA,NA,29-Jul-19,slh,5,17.03,
kl,amealn,4,24-Jul,NA,NA,NA,381.2,1.66,1.511,1.539,24-Jul-19,my,1,8.498,
kl,amealn,4,24-Jul,NA,NA,NA,381.2,1.66,1.511,1.539,24-Jul-19,my,2,11.402,
kl,amealn,4,24-Jul,NA,NA,NA,381.2,1.66,1.511,1.539,24-Jul-19,my,3,5.992,
kl,amealn,4,24-Jul,NA,NA,NA,381.2,1.66,1.511,1.539,24-Jul-19,my,4,10.741,
kl,amealn,4,24-Jul,NA,NA,NA,381.2,1.66,1.511,1.539,24-Jul-19,my,5,8.618,
kl,amealn,5,26-Jul,NA,NA,NA,233.9,1.48,NA,NA,26-Jul-19,slh,1,14.731,
kl,amealn,5,26-Jul,NA,NA,NA,233.9,1.48,NA,NA,26-Jul-19,slh,2,14.825,
kl,amealn,5,26-Jul,NA,NA,NA,233.9,1.48,NA,NA,26-Jul-19,slh,3,18.325,
kl,amealn,5,26-Jul,NA,NA,NA,233.9,1.48,NA,NA,26-Jul-19,slh,4,10.44,
kl,amealn,5,26-Jul,NA,NA,NA,233.9,1.48,NA,NA,26-Jul-19,slh,5,10.383,
kl,amealn,6,26-Jul,NA,NA,NA,350.2,2.612,NA,NA,26-Jul-19,slh,1,23.019,
kl,amealn,6,26-Jul,NA,NA,NA,350.2,2.612,NA,NA,26-Jul-19,slh,2,11.901,
kl,amealn,6,26-Jul,NA,NA,NA,350.2,2.612,NA,NA,26-Jul-19,slh,3,17.221,
kl,amealn,6,26-Jul,NA,NA,NA,350.2,2.612,NA,NA,26-Jul-19,slh,4,15.511,
kl,amealn,6,26-Jul,NA,NA,NA,350.2,2.612,NA,NA,26-Jul-19,slh,5,18.766,
kl,amealn,8,26-Jul,NA,7,5,4.898979486,3.464,2.252,1.985,26-Jul-19,slh,1,15.155,
kl,amealn,8,26-Jul,NA,7,5,4.898979486,3.464,2.252,1.985,26-Jul-19,slh,2,10.878,
kl,amealn,8,26-Jul,NA,7,5,4.898979486,3.464,2.252,1.985,26-Jul-19,slh,3,15.407,
kl,amealn,8,26-Jul,NA,7,5,4.898979486,3.464,2.252,1.985,26-Jul-19,slh,4,13.365,
kl,amealn,8,26-Jul,NA,7,5,4.898979486,3.464,2.252,1.985,26-Jul-19,slh,5,11.317,
kl,amealn,9,28-Jul,NA,NA,NA,217.5,2.062,NA,NA,28-Jul-19,slh,1,13.608,
kl,amealn,9,28-Jul,NA,NA,NA,217.5,2.062,NA,NA,28-Jul-19,slh,2,12.887,
kl,amealn,9,28-Jul,NA,NA,NA,217.5,2.062,NA,NA,28-Jul-19,slh,3,10.365,
kl,amealn,9,28-Jul,NA,NA,NA,217.5,2.062,NA,NA,28-Jul-19,slh,4,16.552,
kl,amealn,9,28-Jul,NA,NA,NA,217.5,2.062,NA,NA,28-Jul-19,slh,5,16.23,
kl,amealn,10,28-Jul,NA,NA,NA,213.4,2.259,NA,NA,28-Jul-19,slh,1,15.738,
kl,amealn,10,28-Jul,NA,NA,NA,213.4,2.259,NA,NA,28-Jul-19,slh,2,11.734,
kl,amealn,10,28-Jul,NA,NA,NA,213.4,2.259,NA,NA,28-Jul-19,slh,3,15.695,
kl,amealn,10,28-Jul,NA,NA,NA,213.4,2.259,NA,NA,28-Jul-19,slh,4,18.583,
kl,amealn,10,28-Jul,NA,NA,NA,213.4,2.259,NA,NA,28-Jul-19,slh,5,9.94,
kl,betpap,6,24-Jul,NA,15,12,9,9.8,NA,NA,24-Jul-19,my,1,50.192,
kl,betpap,6,24-Jul,NA,15,12,9,9.8,NA,NA,24-Jul-19,my,2,49.604,
kl,betpap,6,24-Jul,NA,15,12,9,9.8,NA,NA,24-Jul-19,my,3,32.94,
kl,betpap,6,24-Jul,NA,15,12,9,9.8,NA,NA,24-Jul-19,my,4,24.245,
kl,betpap,6,24-Jul,NA,15,12,9,9.8,NA,NA,24-Jul-19,my,5,39.82,
kl,betpap,7,24-Jul,NA,15,9,12,11.9,NA,NA,24-Jul-19,my,1,22.306,
kl,betpap,7,24-Jul,NA,15,9,12,11.9,NA,NA,24-Jul-19,my,2,22.193,
kl,betpap,7,24-Jul,NA,15,9,12,11.9,NA,NA,24-Jul-19,my,3,22.701,
kl,betpap,7,24-Jul,NA,15,9,12,11.9,NA,NA,24-Jul-19,my,4,35.061,
kl,betpap,7,24-Jul,NA,15,9,12,11.9,NA,NA,24-Jul-19,my,5,27.269,
kl,betpap,8,24-Jul,NA,14,10,9.797958971,15.5,NA,NA,24-Jul-19,my,1,19.128,
kl,betpap,8,24-Jul,NA,14,10,9.797958971,15.5,NA,NA,24-Jul-19,my,2,23.889,
kl,betpap,8,24-Jul,NA,14,10,9.797958971,15.5,NA,NA,24-Jul-19,my,3,18.048,
kl,betpap,8,24-Jul,NA,14,10,9.797958971,15.5,NA,NA,24-Jul-19,my,4,18.138,
kl,betpap,8,24-Jul,NA,14,10,9.797958971,15.5,NA,NA,24-Jul-19,my,5,23.651,
kl,betpap,9,28-Jul,NA,23,16,16.52271164,29.7,8.4,NA,28-Jul-19,slh,1,21.295,
kl,betpap,9,26-Jul,NA,17,12,12.04159458,17.1,14.9,9.9,28-Jul-19,slh,1,21.295,
kl,betpap,9,28-Jul,NA,23,16,16.52271164,29.7,8.4,NA,28-Jul-19,slh,2,33.79,
kl,betpap,9,26-Jul,NA,17,12,12.04159458,17.1,14.9,9.9,28-Jul-19,slh,2,33.79,
kl,betpap,9,28-Jul,NA,23,16,16.52271164,29.7,8.4,NA,28-Jul-19,slh,3,27.039,
kl,betpap,9,26-Jul,NA,17,12,12.04159458,17.1,14.9,9.9,28-Jul-19,slh,3,27.039,
kl,betpap,9,28-Jul,NA,23,16,16.52271164,29.7,8.4,NA,28-Jul-19,slh,4,20.602,
kl,betpap,9,26-Jul,NA,17,12,12.04159458,17.1,14.9,9.9,28-Jul-19,slh,4,20.602,
kl,betpap,9,28-Jul,NA,23,16,16.52271164,29.7,8.4,NA,28-Jul-19,slh,5,33.868,
kl,betpap,9,26-Jul,NA,17,12,12.04159458,17.1,14.9,9.9,28-Jul-19,slh,5,33.868,
kl,betpap,10,28-Jul,NA,16,12,10.58300524,13.3,NA,NA,28-Jul-19,slh,1,46.126,
kl,betpap,10,28-Jul,NA,16,12,10.58300524,13.3,NA,NA,28-Jul-19,slh,2,37.557,
kl,betpap,10,28-Jul,NA,16,12,10.58300524,13.3,NA,NA,28-Jul-19,slh,3,31.642,
kl,betpap,10,28-Jul,NA,16,12,10.58300524,13.3,NA,NA,28-Jul-19,slh,4,33.097,
kl,betpap,10,28-Jul,NA,16,12,10.58300524,13.3,NA,NA,28-Jul-19,slh,5,47.077,
kl,betpap,12,28-Jul,NA,11,9,6.32455532,10.4,NA,NA,28-Jul-19,slh,1,23.905,
kl,betpap,12,28-Jul,NA,11,9,6.32455532,10.4,NA,NA,28-Jul-19,slh,2,25.242,
kl,betpap,12,28-Jul,NA,11,9,6.32455532,10.4,NA,NA,28-Jul-19,slh,3,35.782,
kl,betpap,12,28-Jul,NA,11,9,6.32455532,10.4,NA,NA,28-Jul-19,slh,4,19.465,
kl,betpap,12,28-Jul,NA,11,9,6.32455532,10.4,NA,NA,28-Jul-19,slh,5,26.361,
kl,betpap,13,29-Jul,NA,25,18,17.34935157,30.3,NA,NA,29-Jul-19,slh,1,19.351,
kl,betpap,13,29-Jul,NA,25,18,17.34935157,30.3,NA,NA,29-Jul-19,slh,2,21.666,
kl,betpap,13,29-Jul,NA,25,18,17.34935157,30.3,NA,NA,29-Jul-19,slh,3,24.271,
kl,betpap,13,29-Jul,NA,25,18,17.34935157,30.3,NA,NA,29-Jul-19,slh,4,14.718,
kl,betpap,13,29-Jul,NA,25,18,17.34935157,30.3,NA,NA,29-Jul-19,slh,5,15.41,
kl,corsto,3,26-Jul,NA,NA,NA,351.9,3.183,2.246,2.11,26-Jul-19,slh,1,42.165,
kl,corsto,3,26-Jul,NA,NA,NA,351.9,3.183,2.246,2.11,26-Jul-19,slh,2,42.707,
kl,corsto,3,26-Jul,NA,NA,NA,351.9,3.183,2.246,2.11,26-Jul-19,slh,3,46.805,
kl,corsto,3,26-Jul,NA,NA,NA,351.9,3.183,2.246,2.11,26-Jul-19,slh,4,46.478,
kl,corsto,3,26-Jul,NA,NA,NA,351.9,3.183,2.246,2.11,26-Jul-19,slh,5,64.581,
kl,corsto,5,24-Jul,NA,NA,NA,461.8,2.674,NA,NA,24-Jul-19,my,1,49.908,
kl,corsto,5,24-Jul,NA,NA,NA,461.8,2.674,NA,NA,24-Jul-19,my,2,45.819,
kl,corsto,5,24-Jul,NA,NA,NA,461.8,2.674,NA,NA,24-Jul-19,my,3,46.123,
kl,corsto,5,24-Jul,NA,NA,NA,461.8,2.674,NA,NA,24-Jul-19,my,4,71.648,
kl,corsto,5,24-Jul,NA,NA,NA,461.8,2.674,NA,NA,24-Jul-19,my,5,50.407,
kl,corsto,6,24-Jul,NA,NA,NA,480.8,3.2,NA,NA,24-Jul-19,my,1,30.34,
kl,corsto,6,24-Jul,NA,NA,NA,480.8,3.2,NA,NA,24-Jul-19,my,2,24.792,
kl,corsto,6,24-Jul,NA,NA,NA,480.8,3.2,NA,NA,24-Jul-19,my,3,22.785,
kl,corsto,6,24-Jul,NA,NA,NA,480.8,3.2,NA,NA,24-Jul-19,my,4,31.133,
kl,corsto,6,24-Jul,NA,NA,NA,480.8,3.2,NA,NA,24-Jul-19,my,5,53.648,
kl,corsto,7,24-Jul,NA,NA,NA,470.8,4.85,4.612,3.148,24-Jul-19,my,1,78.207,
kl,corsto,7,24-Jul,NA,NA,NA,470.8,4.85,4.612,3.148,24-Jul-19,my,2,70.711,
kl,corsto,7,24-Jul,NA,NA,NA,470.8,4.85,4.612,3.148,24-Jul-19,my,3,99.51,
kl,corsto,7,24-Jul,NA,NA,NA,470.8,4.85,4.612,3.148,24-Jul-19,my,4,58.918,
kl,corsto,7,24-Jul,NA,NA,NA,470.8,4.85,4.612,3.148,24-Jul-19,my,5,38.909,
kl,corsto,8,25-Jul,NA,NA,NA,215,1.914,NA,NA,25-Jul-19,slh,1,23.378,
kl,corsto,8,25-Jul,NA,NA,NA,215,1.914,NA,NA,25-Jul-19,slh,2,43.928,
kl,corsto,8,25-Jul,NA,NA,NA,215,1.914,NA,NA,25-Jul-19,slh,3,24.139,
kl,corsto,8,25-Jul,NA,NA,NA,215,1.914,NA,NA,25-Jul-19,slh,4,41.921,
kl,corsto,8,25-Jul,NA,NA,NA,215,1.914,NA,NA,25-Jul-19,slh,5,26.042,
kl,corsto,10,25-Jul,NA,NA,NA,312.7,3.181,3.748,NA,25-Jul-19,slh,1,43.814,
kl,corsto,10,25-Jul,NA,NA,NA,312.7,3.181,3.748,NA,25-Jul-19,slh,2,43.708,
kl,corsto,10,25-Jul,NA,NA,NA,312.7,3.181,3.748,NA,25-Jul-19,slh,3,41.092,
kl,corsto,10,25-Jul,NA,NA,NA,312.7,3.181,3.748,NA,25-Jul-19,slh,4,38.259,
kl,corsto,10,25-Jul,NA,NA,NA,312.7,3.181,3.748,NA,25-Jul-19,slh,5,34.898,
kl,loninv,1,29-Jul,NA,NA,NA,168.2,0.992,NA,NA,29-Jul-19,slh,1,28.174,
kl,loninv,1,29-Jul,NA,NA,NA,168.2,0.992,NA,NA,29-Jul-19,slh,2,31.279,
kl,loninv,1,29-Jul,NA,NA,NA,168.2,0.992,NA,NA,29-Jul-19,slh,3,27.243,
kl,loninv,1,29-Jul,NA,NA,NA,168.2,0.992,NA,NA,29-Jul-19,slh,4,22.4,
kl,loninv,1,29-Jul,NA,NA,NA,168.2,0.992,NA,NA,29-Jul-19,slh,5,35.89,
kl,loninv,2,29-Jul,NA,NA,NA,161,1.102,NA,NA,29-Jul-19,slh,1,25.96,
kl,loninv,2,29-Jul,NA,NA,NA,161,1.102,NA,NA,29-Jul-19,slh,2,40.401,
kl,loninv,2,29-Jul,NA,NA,NA,161,1.102,NA,NA,29-Jul-19,slh,3,15.173,
kl,loninv,2,29-Jul,NA,NA,NA,161,1.102,NA,NA,29-Jul-19,slh,4,16.54,
