site,species,indiv.no,stem.weight,
af,popbal,3,1890.7,
af,popbal,2,1861.9,
af,acegla,8,1558.8,
af,betpap,10,2230.5,
af,acegla,6,1598.5,
af,spidou,19,687.8,
af,spipyr,17,895,
af,spibet,4,438.8,
af,spibet,13,661.6,
af,spibet,14,1171.9,
af,symalb,3,1700.5,
af,symalb,7,739.8,
af,rosaci,4,1163.5,
af,rosaci,5,2253.9,
af,rosgym,10,1054.3,
af,vacmem,4,724,
af,vacmem,5,1456,
af,vibedu,2,1590.3,
af,vibedu,5,1773.8,
af,vibedu,6,1206.6,
af,vibedu,7,726,
af,vibedu,8,1109.9,
af,vibedu,11,1288,
sm,popbal,6,1263.1,
sm,alnvir,17,1154.5,
sm,alnvir,18,1257.9,
sm,alnvir,19,1164.6,
sm,alnvir,20,1339.5,
sm,alninc,5,1964.7,
sm,alninc,4,2387.2,
sm,alninc,19,2529.8,
sm,alninc,20,2187,
sm,corsto,7,2016.6,
mp,amealn,1,1424.6,
mp,amealn,2,1869.2,
mp,amealn,3,1685.1,
mp,amealn,4,1287.1,
mp,amealn,5,1500,
mp,riblac,1,1463,
mp,riblac,5,1156.4,
mp,riblac,10,19736,
mp,riblac,11,895.6,
mp,popbal,8,1894.1,
mp,popbal,9,2052.3,
mp,popbal,10,1797.4,
mp,popbal,13,2345.5,
mp,popbal,14,2199.9,
mp,rhoalb,5,781.6,
mp,rhoalb,8,949.7,
mp,rhoalb,9,1179.7,
mp,rhoalb,10,994,
mp,symalb,11,1040.3,
mp,loninv,13,789,
mp,sorsco,11_b,1929.6,
mp,sorsco,14,1300.4,
mp,rubspe,1,819.3,
mp,rubspe,11,896.7,
mp,rubspe,10,6605,
mp,rubspe,9,992.4,
mp,rubpar,1,549.5,
mp,rubpar,2,774.1,
mp,rubpar,3,396.1,
mp,rubpar,4,499.5,
mp,rubpar,5,874.1,
mp,rubpar,6,1031.7,
mp,rubpar,7,656.4,
mp,rubpar,8,920.6,
mp,rubpar,9,697.2,
mp,rubpar,10,664.2,
mp,rosaci,9,2136.9,
mp,rosaci,10,1424.1,
mp,samrac,2,623.1,
mp,samrac,3,811.8,
mp,samrac,4,533.1,
mp,samrac,6,851.9,
mp,vacmem,1,1485.1,
mp,vacmem,6,852.2,
mp,vacmem,7,1385.9,
mp,vacmem,8,1853.5,
af,riblac,4,471.9,
af,rosgym,1,1490,
af,rosgym,2,811.7,
af,rosgym,7,1051.2,
af,riblac,4,1141.7,
af,riblac,6,1508.5,
af,poptre,3,1209.4,
af,poptre,5,1743.7,
af,poptre,6,1938.6,
af,poptre,12,1668.4,
af,shecan,6,1832.8,
af,shecan,9,1407.9,
af,shecan,10,1459.8,
af,sorsco,8,1398.2,
af,sorsco,9,1422,
af,sorsco,10,1415,
af,sorsco,11,1938.9,
af,rosgym,3,813.9,
af,rosgym,6,1290.1,
af,rosgym,8,1055.4,
af,rosaci,8,1071.2,
af,rubida,10,874.3,
af,acegla,11,1694.4,
af,loninv,4,763.1,
af,loninv,5,1165.2,
af,amealn,8,1819.9,
af,amealn,9,1150.3,
af,popbal,5,1037.7,
