Sample,Weight (mg),%N,%C,C:N,Date
mpalninc08_2,3.83,42.1,489.1,11.6,25.11.2020 14:57
mpalninc10,3.49,32.8,596.2,18.2,25.11.2020 14:50
mpalnvir01,4.52,35.4,476.5,13.5,25.11.2020 15:11
mpalnvir02,4.88,38.1,466.1,12.2,25.11.2020 15:18
mpalnvir03,3.50,32.5,488.0,15.0,25.11.2020 15:25
mpalnvir04,4.16,22.7,477.8,21.1,25.11.2020 15:32
mpalnvir05,3.62,2.7,48.6,17.9,25.11.2020 15:46
mpalnvir06,4.04,3.6,48.5,13.7,25.11.2020 15:53
mpalnvir07,4.62,2.9,47.7,16.5,25.11.2020 16:00
mpalnvir08,4.62,4.2,47.8,11.5,25.11.2020 16:08
mpalnvir09,4.22,2.2,47.1,21.4,25.11.2020 16:15
mpalnvir10,4.11,2.8,48.4,17.6,25.11.2020 16:22
mpamealn01,4.34,4.2,58.0,13.8,25.11.2020 12:42
mpamealn02,4.15,4.2,58.8,14.1,25.11.2020 12:49
mpamealn03,3.70,2.8,56.5,20.3,25.11.2020 12:56
mpamealn04,3.60,4.2,58.0,13.9,25.11.2020 13:03
mpamealn05,3.88,2.9,57.2,19.8,25.11.2020 13:10
mpamealn06,3.71,3.9,57.6,14.9,25.11.2020 13:18
mpamealn07,4.52,3.7,57.2,15.5,25.11.2020 13:25
mpamealn08,4.01,4.0,57.5,14.2,25.11.2020 13:32
mpamealn09,4.14,3.9,58.3,15.1,25.11.2020 13:39
mpamealn10,3.95,3.6,57.7,16.1,25.11.2020 13:46
mpamealn11,4.64,2.5,47.7,19.2,03.12.2020 22:09
mpamealn12,3.85,2.7,44.8,16.9,03.12.2020 22:02
mpcorsto01,4.27,3.3,45.7,13.7,25.11.2020 17:47
mpcorsto02,3.98,3.0,45.9,15.2,25.11.2020 17:54
mpcorsto02_2,4.62,2.6,50.1,19.3,25.11.2020 18:58
mpcorsto03,4.62,2.3,47.3,20.6,25.11.2020 18:01
mpcorsto05,3.62,3.2,45.4,14.2,25.11.2020 18:08
mpcorsto06,4.11,2.4,45.3,19.2,25.11.2020 18:15
mpcorsto07,3.80,2.5,46.1,18.8,25.11.2020 18:22
mpcorsto08,4.01,2.8,46.9,16.7,25.11.2020 18:29
mpcorsto09,4.67,2.8,46.2,16.8,25.11.2020 18:36
mpcorsto10_my,4.20,2.7,49.8,18.2,25.11.2020 18:51
mploninv03,4.39,3.1,52.6,16.8,25.11.2020 19:05
mploninv04,3.77,4.0,50.2,12.6,25.11.2020 19:12
mploninv05,3.59,3.3,50.5,15.5,25.11.2020 19:19
mploninv06,4.11,2.5,50.6,20.6,25.11.2020 19:26
mploninv08,3.90,3.8,53.0,13.9,25.11.2020 19:33
mploninv09,4.13,4.2,52.4,12.5,25.11.2020 19:40
mploninv10,4.15,2.9,50.1,17.2,25.11.2020 19:47
mploninv11,4.85,2.7,49.7,18.1,25.11.2020 19:54
mploninv12,4.83,3.2,51.5,16.0,25.11.2020 20:01
mploninv13,3.88,2.8,51.0,18.2,25.11.2020 20:08
mpmenfer01,3.89,2.9,45.1,15.5,26.11.2020 19:50
mpmenfer02,3.59,2.2,44.4,20.3,26.11.2020 19:57
mpmenfer04,3.58,2.4,43.4,18.4,26.11.2020 20:04
mpmenfer05,3.74,2.4,44.9,18.5,26.11.2020 20:11
mpmenfer06,3.60,2.5,45.1,17.8,26.11.2020 20:25
mpmenfer07,3.80,2.5,44.5,17.6,26.11.2020 20:32
mpmenfer09,3.93,3.1,44.7,14.6,26.11.2020 20:40
mpmenfer10,4.25,2.6,44.8,17.0,26.11.2020 20:47
mpmenfer10_2,3.72,2.6,44.7,16.9,26.11.2020 20:54
mpmenfer12,4.42,2.0,43.5,21.9,26.11.2020 21:01
mppopbal06,4.15,2.3,48.8,21.7,25.11.2020 21:33
mppopbal07,3.93,2.7,49.3,18.5,25.11.2020 21:41
mppopbal08,4.46,2.5,47.8,19.2,04.12.2020 15:07
mppopbal09,4.49,1.8,47.1,25.9,04.12.2020 15:14
mppopbal10_2,4.26,1.8,45.8,25.9,04.12.2020 15:21
mppopbal11,3.80,2.5,47.3,19.1,04.12.2020 15:28
mppopbal12,3.92,2.2,44.4,20.2,04.12.2020 15:43
mppopbal13,4.29,1.8,42.1,23.9,04.12.2020 15:50
mppopbal14,3.61,2.1,50.4,23.9,04.12.2020 16:04
mppopbal15,3.89,1.6,38.7,24.0,04.12.2020 15:57
mppoptre05,3.62,2.0,51.7,26.5,25.11.2020 20:44
mppoptre06,4.05,3.1,48.5,15.4,25.11.2020 21:05
mppoptre07,4.69,2.7,50.2,18.7,25.11.2020 21:12
mppoptre07_2,3.94,2.2,52.1,23.8,25.11.2020 21:19
mppoptre08,4.67,2.9,49.7,17.3,25.11.2020 20:51
mppoptre09,3.75,2.8,51.0,18.2,25.11.2020 21:26
mppoptre10,3.76,2.8,51.5,18.6,25.11.2020 20:23
mppoptre11,3.80,2.4,51.1,21.6,25.11.2020 20:30
mppoptre12,3.73,2.5,50.8,20.0,25.11.2020 20:37
mppoptre13,4.21,2.5,51.8,20.9,25.11.2020 20:58
mprhoalb01,4.24,2.1,46.1,22.6,04.12.2020 14:39
mprhoalb02,3.64,2.9,45.9,15.8,04.12.2020 14:46
mprhoalb03,4.13,2.5,46.5,18.9,04.12.2020 14:53
mprhoalb04,4.25,2.5,45.6,18.4,04.12.2020 15:00
mprhoalb05,3.90,3.0,44.8,15.1,26.11.2020 12:44
mprhoalb08,4.79,2.3,45.8,19.7,26.11.2020 12:51
mprhoalb09,3.56,2.7,46.4,17.4,26.11.2020 12:58
mprhoalb10,3.84,2.5,46.4,18.7,26.11.2020 13:05
mprhoalb11,4.36,1.9,46.7,24.2,26.11.2020 13:12
mprhoalb12,3.92,2.4,46.4,19.1,26.11.2020 13:19
mpriblac01,3.55,1.9,44.2,23.3,26.11.2020 18:32
mpriblac02,4.49,2.8,42.4,14.9,26.11.2020 18:39
mpriblac03,3.84,3.0,43.5,14.7,26.11.2020 18:53
mpriblac04,3.80,2.1,51.9,24.4,26.11.2020 19:00
mpriblac05,3.89,2.4,45.2,18.5,26.11.2020 19:07
mpriblac06,3.96,3.0,44.8,15.2,26.11.2020 19:14
mpriblac07,4.18,2.7,45.2,17.0,26.11.2020 19:21
mpriblac08,3.62,2.7,45.6,17.0,26.11.2020 19:29
mpriblac10,3.63,2.2,43.8,19.8,26.11.2020 19:36
mpriblac11,3.62,2.2,43.6,20.1,26.11.2020 19:43
mprubpar01,4.67,2.5,44.4,17.8,04.12.2020 17:29
mprubpar02,3.72,3.8,44.5,11.6,04.12.2020 17:36
mprubpar03,4.02,3.9,45.3,11.7,04.12.2020 17:43
mprubpar04,4.68,3.0,45.3,15.1,04.12.2020 17:50
mprubpar05,3.97,2.8,46.2,16.6,04.12.2020 12:03
mprubpar06,4.33,3.7,45.3,12.3,04.12.2020 17:57
mprubpar07,4.22,3.2,44.9,13.9,04.12.2020 18:11
mprubpar07_2,3.89,2.6,43.7,16.5,04.12.2020 18:04
mprubpar08,3.96,2.7,45.3,16.8,04.12.2020 18:18
mprubpar09,3.72,4.2,44.9,10.6,04.12.2020 18:25
mprubpar10,4.14,3.2,46.4,14.5,04.12.2020 18:32
mprubpar21,4.07,3.5,44.2,12.7,03.12.2020 20:59
mprubpar22,3.60,3.2,43.5,13.6,04.12.2020 12:11
mpsamrac01,4.42,6.0,47.8,8.0,26.11.2020 13:26
mpsamrac02,4.08,5.6,46.4,8.3,26.11.2020 13:34
mpsamrac03,4.32,4.2,46.4,11.1,26.11.2020 13:41
mpsamrac04,3.73,5.3,45.6,8.6,26.11.2020 13:48
mpsamrac05,3.58,5.2,47.0,9.0,26.11.2020 13:55
mpsamrac06,3.90,4.3,46.8,10.9,04.12.2020 11:49
mpsamrac07,4.77,4.5,45.6,10.1,26.11.2020 14:02
mpsamrac08,4.55,4.2,45.2,10.8,26.11.2020 14:16
mpsamrac09,4.68,4.3,46.6,10.9,26.11.2020 14:23
mpsamrac10,3.51,3.9,45.6,11.6,26.11.2020 14:30
mpsamrac11,3.96,3.9,45.8,11.8,26.11.2020 14:37
mpshecan02,4.33,2.9,45.9,15.7,04.12.2020 14:25
mpshecan04,4.03,3.3,45.3,13.6,04.12.2020 14:32
mpshecan05,4.25,2.6,46.9,18.0,03.12.2020 19:05
mpshecan06,4.72,3.7,44.9,12.1,03.12.2020 19:12
mpshecan07,4.67,2.9,45.3,15.5,03.12.2020 19:20
mpshecan08,4.46,2.9,45.0,15.8,03.12.2020 19:27
mpshecan09,3.76,2.8,45.9,16.2,03.12.2020 19:41
mpshecan10,3.79,3.7,46.3,12.7,03.12.2020 19:48
mpshecan11,3.85,4.2,46.2,11.0,03.12.2020 19:55
mpsorsco01,4.70,2.9,42.9,15.0,04.12.2020 16:11
mpsorsco03,3.72,2.1,44.5,20.9,04.12.2020 16:18
mpsorsco04,3.76,3.1,42.1,13.8,04.12.2020 16:25
mpsorsco08,4.39,3.5,43.8,12.5,04.12.2020 16:32
mpsorsco10,3.60,3.1,46.7,15.0,04.12.2020 16:39
mpsorsco11,4.54,3.6,47.7,13.4,04.12.2020 16:46
mpsorsco11_2,4.71,2.7,43.1,15.8,04.12.2020 16:53
mpsorsco12,4.89,2.9,43.7,15.2,04.12.2020 17:00
mpsorsco13,4.00,3.5,46.3,13.4,04.12.2020 17:15
mpsorsco14,4.26,2.9,45.6,15.7,04.12.2020 17:22
mpspibet01,3.95,2.5,46.9,18.9,26.11.2020 16:03
mpspibet02,4.33,1.8,46.0,26.1,26.11.2020 16:10
mpspibet03,4.00,2.1,46.3,21.6,26.11.2020 16:17
mpspibet04,3.76,2.3,45.3,19.6,26.11.2020 16:24
mpspibet05,4.49,3.2,48.0,15.1,26.11.2020 16:31
mpspibet06,3.19,2.7,47.3,17.3,26.11.2020 16:38
mpspibet07,3.91,2.5,47.7,18.9,26.11.2020 16:45
mpspibet08,4.53,2.3,46.8,20.7,26.11.2020 16:52
mpspibet09,3.66,2.0,47.1,23.5,26.11.2020 16:59
mpspibet10,3.71,3.0,48.3,15.9,26.11.2020 17:06
mpspipyr01,3.81,3.0,48.4,16.3,26.11.2020 17:21
mpspipyr01_2,3.80,2.4,46.7,19.4,27.11.2020 12:47
mpspipyr02,4.88,2.6,48.6,18.7,26.11.2020 17:35
mpspipyr03,4.72,2.2,48.3,21.6,26.11.2020 17:42
mpspipyr04,3.68,2.6,49.6,18.8,26.11.2020 17:49
mpspipyr05,4.51,2.2,49.5,22.5,26.11.2020 17:56
mpspipyr06,4.15,2.8,49.4,17.9,26.11.2020 18:03
mpspipyr07,4.52,2.5,48.9,19.7,26.11.2020 18:10
mpspipyr08,3.60,2.8,48.1,17.1,26.11.2020 18:18
mpspipyr09,4.06,2.2,48.9,22.0,26.11.2020 18:25
mpspipyr10,3.74,2.6,48.7,19.1,26.11.2020 17:28
mpsymalb01,3.83,3.0,45.4,15.2,26.11.2020 14:45
mpsymalb03,4.51,2.7,46.0,17.1,26.11.2020 14:52
mpsymalb04,3.55,2.4,45.4,18.7,26.11.2020 14:59
mpsymalb05,3.61,2.8,45.6,16.5,26.11.2020 15:06
mpsymalb06,4.32,3.2,45.3,14.3,26.11.2020 15:13
mpsymalb07,4.03,2.4,46.2,19.3,26.11.2020 15:20
mpsymalb08,3.59,2.0,45.1,22.2,26.11.2020 15:27
mpsymalb09,4.01,1.8,45.2,25.7,26.11.2020 15:34
mpsymalb10,3.65,2.3,47.1,20.2,26.11.2020 15:48
mpsymalb11,3.87,2.0,45.2,22.1,26.11.2020 15:55
mpvacmem01,3.80,2.5,46.9,18.9,26.11.2020 21:08
mpvacmem03,4.56,2.1,48.9,23.5,26.11.2020 21:15
mpvacmem04,4.45,2.3,49.2,21.5,26.11.2020 21:22
mpvacmem05,4.00,2.2,48.9,22.5,26.11.2020 21:29
mpvacmem05_2,4.14,1.8,48.4,27.4,26.11.2020 21:36
mpvacmem07,4.05,2.9,47.4,16.5,26.11.2020 21:44
mpvacmem08,4.04,2.2,46.3,21.0,04.12.2020 13:50
mpvacmem09,4.58,2.5,47.1,18.8,04.12.2020 13:57
mpvacmem11,4.60,2.3,46.2,20.5,04.12.2020 14:11
mpvacmem12,4.29,2.5,47.0,18.9,04.12.2020 14:18
mpvibedu02,4.00,2.2,45.4,20.8,04.12.2020 13:14
mpvibedu04,3.56,2.9,45.8,15.7,04.12.2020 13:21
mpvibedu05,4.12,2.0,46.5,23.6,04.12.2020 12:39
mpvibedu07,4.18,2.1,46.0,22.1,04.12.2020 12:46
mpvibedu08,3.52,2.3,46.7,20.3,04.12.2020 12:53
mpvibedu09,4.22,1.9,46.3,24.1,04.12.2020 13:00
mpvibedu10,3.80,2.6,46.6,18.0,04.12.2020 13:07
mpvibedu12,3.71,2.3,47.0,20.0,04.12.2020 13:28
mpvibedu13,3.91,2.1,44.8,21.4,04.12.2020 13:35
mpvibedu14,3.83,2.3,43.9,19.3,04.12.2020 13:42
smacegla02,3.65,3.1,39.8,12.8,--.--.---- --:--
smacegla03,4.64,4.3,41.4,9.7,23.11.2020 12:24
smacegla07,3.90,2.2,38.3,17.2,23.11.2020 12:48
smacegla08,3.62,2.1,42.4,20.0,23.11.2020 12:55
smacegla09,3.87,2.3,40.5,17.4,23.11.2020 13:02
smacegla10,4.11,1.8,40.9,22.3,23.11.2020 13:09
smacegla11,3.97,3.4,42.3,12.6,23.11.2020 13:16
smacegla13,3.91,2.6,40.5,15.6,23.11.2020 13:23
smacegla14,4.48,2.0,40.3,20.1,23.11.2020 13:30
smacegla15,4.05,3.0,50.4,16.8,23.11.2020 13:37
smalninc01,4.65,4.0,49.5,12.3,23.11.2020 16:20
smalninc02,3.93,4.1,49.7,12.1,23.11.2020 16:27
smalninc03,3.59,3.2,45.9,14.2,23.11.2020 16:34
smalninc04,4.68,3.3,48.9,14.7,23.11.2020 16:41
smalninc05,4.42,4.2,49.5,11.7,23.11.2020 16:48
smalninc08,3.97,3.5,49.0,13.8,23.11.2020 16:55
smalninc19,4.12,2.9,48.5,16.5,23.11.2020 17:09
smalninc20,4.55,3.7,48.2,13.2,23.11.2020 17:17
smalnvir01_2,4.59,4.0,48.8,12.2,04.12.2020 12:25
smalnvir01_ai,3.75,4.1,49.0,11.8,23.11.2020 17:24
smalnvir02,4.51,4.6,47.8,10.5,23.11.2020 15:02
smalnvir02_2,4.58,3.8,49.1,12.8,04.12.2020 12:18
smalnvir06,3.88,3.7,50.5,13.8,23.11.2020 15:09
smalnvir07_ai,3.76,3.4,50.4,15.0,23.11.2020 17:31
smalnvir08,3.76,3.8,47.2,12.6,23.11.2020 15:16
smalnvir09,3.68,4.7,47.5,10.2,23.11.2020 15:23
smalnvir10,4.53,4.9,50.5,10.3,23.11.2020 15:37
smalnvir11,4.48,4.6,47.4,10.2,23.11.2020 15:44
smalnvir17,3.66,3.5,49.2,14.3,23.11.2020 15:52
smalnvir18,4.26,3.4,47.7,13.9,23.11.2020 15:59
smalnvir19,4.86,3.4,48.9,14.6,23.11.2020 16:06
smalnvir20,4.42,4.2,47.4,11.2,23.11.2020 16:13
smamealn01,4.21,3.0,44.3,14.7,24.11.2020 00:29
smamealn02,4.18,3.4,47.2,13.8,24.11.2020 00:36
smamealn03,4.50,3.1,45.5,14.7,03.12.2020 18:09
smamealn04,4.65,3.4,47.4,14.1,03.12.2020 18:58
smamealn05,4.84,3.2,46.1,14.6,03.12.2020 18:16
smamealn06,3.84,3.7,48.4,13.1,03.12.2020 18:23
smamealn07,4.39,3.0,45.8,15.1,03.12.2020 18:30
smamealn08,4.13,3.3,46.3,14.3,03.12.2020 18:37
smamealn09,4.60,2.8,46.6,16.7,03.12.2020 18:44
smamealn10,4.15,2.5,47.0,18.5,03.12.2020 18:51
smbetpap01,4.25,2.9,41.8,14.4,23.11.2020 13:44
smbetpap02,4.58,3.1,41.2,13.2,23.11.2020 13:51
smbetpap04,3.88,3.0,48.3,16.1,23.11.2020 14:05
smbetpap05,3.86,3.8,48.8,12.9,23.11.2020 14:12
smbetpap06,3.74,4.0,47.8,12.1,23.11.2020 14:20
smbetpap07,3.72,3.6,47.7,13.2,23.11.2020 14:27
smbetpap08,4.16,2.8,47.4,16.9,23.11.2020 14:34
smbetpap09,4.21,2.8,47.0,16.5,23.11.2020 14:41
smbetpap10,4.60,3.1,45.8,14.6,23.11.2020 14:48
smbetpap13,3.65,2.6,48.1,18.9,23.11.2020 14:55
smcorsto02,3.97,3.0,44.6,15.0,23.11.2020 17:38
smcorsto03,4.22,3.6,46.0,12.9,23.11.2020 17:45
smcorsto04,3.90,3.3,45.9,13.9,23.11.2020 17:52
smcorsto05,3.92,3.0,45.9,15.5,23.11.2020 17:59
smcorsto06,4.21,3.0,45.0,15.2,23.11.2020 18:06
smcorsto07,3.81,3.0,46.3,15.3,23.11.2020 18:13
smcorsto08,4.12,3.4,46.1,13.5,23.11.2020 18:20
smcorsto10,4.34,2.3,44.7,19.1,23.11.2020 18:27
smcorsto11,3.92,2.1,42.5,20.6,23.11.2020 18:41
smcorsto12,3.74,2.8,45.5,16.1,23.11.2020 18:49
smcorsto13,3.70,2.7,49.4,18.0,03.12.2020 17:48
smcorsto14,4.12,1.7,39.4,23.6,03.12.2020 17:55
smloninv01,3.90,3.9,46.3,11.9,24.11.2020 17:59
smloninv02,4.39,4.2,46.5,11.0,24.11.2020 18:06
smloninv03,4.19,3.4,46.2,13.6,24.11.2020 18:13
smloninv04,4.08,4.7,44.2,9.4,24.11.2020 18:20
smloninv05,4.42,4.9,46.2,9.4,24.11.2020 18:27
smloninv06,3.54,3.3,47.9,14.7,24.11.2020 18:35
smloninv07,4.27,3.0,45.5,15.0,24.11.2020 18:42
smloninv08,4.11,3.8,45.4,11.8,24.11.2020 18:49
smloninv09,4.27,3.4,45.2,13.4,24.11.2020 18:56
smloninv11,4.05,3.4,47.4,14.1,24.11.2020 19:03
smmenfer04,3.67,4.0,48.7,12.3,24.11.2020 19:17
smmenfer06,4.33,3.5,45.2,12.9,24.11.2020 19:24
smmenfer07,3.71,4.4,46.9,10.7,24.11.2020 19:31
smmenfer08,4.46,4.5,47.7,10.6,24.11.2020 19:38
smmenfer09,4.49,3.8,48.3,12.7,24.11.2020 19:45
smmenfer10,3.74,4.4,48.6,11.2,24.11.2020 20:21
smmenfer11,4.06,3.1,47.4,15.1,24.11.2020 19:53
smmenfer12,3.78,3.4,46.9,14.0,24.11.2020 20:00
smmenfer13,4.30,4.1,48.8,11.9,24.11.2020 20:07
smmenfer14,3.99,4.4,47.8,10.9,24.11.2020 20:14
smpopbal01,3.69,4.0,46.2,11.6,24.11.2020 14:05
smpopbal03,4.06,3.5,46.9,13.2,24.11.2020 14:12
smpopbal05,4.49,3.2,46.9,14.8,24.11.2020 14:19
smpopbal06,3.97,3.4,45.8,13.4,24.11.2020 14:27
smpopbal08,3.97,2.7,48.0,18.0,24.11.2020 14:41
smpopbal09,4.05,3.4,46.2,13.8,24.11.2020 14:48
smpopbal10,3.72,2.9,47.0,16.5,24.11.2020 14:55
smpopbal11,3.89,2.5,48.8,19.2,24.11.2020 15:02
smpopbal12,4.35,2.6,47.4,18.2,24.11.2020 15:09
smpopbal20,4.20,3.8,48.4,12.8,24.11.2020 15:16
smpoptre01,4.01,3.7,47.4,12.9,03.12.2020 21:55
smpoptre02,4.49,3.0,36.7,12.3,23.11.2020 21:24
smpoptre03,4.53,3.0,36.4,12.1,23.11.2020 21:31
smpoptre04,3.76,5.6,38.7,6.9,23.11.2020 21:45
smpoptre05,4.88,5.4,37.5,6.9,23.11.2020 21:53
smpoptre07,4.08,4.9,34.8,7.2,23.11.2020 22:00
smpoptre11,3.93,4.7,36.4,7.8,23.11.2020 22:07
smpoptre12,3.68,4.3,38.0,8.9,23.11.2020 22:14
smpoptre13,3.61,4.1,38.6,9.5,23.11.2020 22:35
smpoptre14,4.13,2.8,48.6,17.4,03.12.2020 21:48
smpoptre15,4.36,6.2,38.4,6.2,23.11.2020 22:21
smpoptre16,4.40,5.8,38.1,6.5,23.11.2020 22:28
smpoptre17,4.74,5.3,48.0,9.1,03.12.2020 21:27
smpoptre18,4.35,3.8,47.4,12.4,03.12.2020 21:34
smpoptre19,4.03,3.7,50.2,13.5,03.12.2020 21:41
smriblac02,4.02,2.4,47.5,20.0,24.11.2020 16:41
smriblac03,4.01,2.3,47.3,20.5,24.11.2020 17:24
smriblac05,3.65,3.4,48.2,14.3,24.11.2020 16:48
smriblac06,3.79,2.5,45.9,18.6,24.11.2020 17:02
smriblac07,4.01,2.7,44.3,16.4,24.11.2020 16:55
smriblac09,3.76,3.3,45.3,13.9,24.11.2020 17:10
smriblac10,4.59,3.7,48.5,13.1,24.11.2020 17:31
smriblac11,4.22,3.2,44.9,14.2,24.11.2020 17:17
smriblac12,4.37,2.3,45.5,20.2,24.11.2020 17:45
smriblac12_2,4.65,3.5,43.9,12.6,24.11.2020 17:52
smrubpar01,3.79,4.9,46.3,9.5,24.11.2020 15:23
smrubpar02,3.64,3.9,45.6,11.7,24.11.2020 15:30
smrubpar03,4.42,4.1,45.9,11.3,24.11.2020 15:37
smrubpar04,4.14,2.6,46.0,18.0,24.11.2020 15:45
smrubpar05,3.76,3.0,45.9,15.2,24.11.2020 15:52
smrubpar06,3.92,4.2,45.4,10.8,24.11.2020 15:59
smrubpar07,4.77,3.1,46.3,14.9,24.11.2020 16:13
smrubpar08,4.13,2.8,47.3,17.2,24.11.2020 16:20
smrubpar09,4.70,2.6,45.9,17.9,24.11.2020 16:27
smrubpar10,4.29,3.2,46.0,14.5,24.11.2020 16:34
smsamrac02,3.67,6.3,49.2,7.8,24.11.2020 20:28
smsamrac03,4.17,7.1,45.6,6.4,24.11.2020 20:35
smsamrac04,4.22,6.5,44.0,6.8,24.11.2020 20:49
smsamrac05,3.75,4.8,46.5,9.6,24.11.2020 20:56
smsamrac06,4.22,4.4,44.0,9.9,24.11.2020 21:03
smsamrac07,3.69,4.8,45.6,9.4,24.11.2020 21:11
smsamrac08,4.24,5.0,45.8,9.2,24.11.2020 21:18
smsamrac09,4.50,4.3,46.3,10.8,24.11.2020 21:25
smsamrac10,3.91,6.0,44.2,7.3,24.11.2020 21:32
smsamrac11,4.46,5.7,44.1,7.8,24.11.2020 21:39
smshecan01,4.27,6.7,33.9,5.1,23.11.2020 22:42
smshecan05,3.63,6.7,38.1,5.7,23.11.2020 22:49
smshecan06,3.61,5.7,36.6,6.4,23.11.2020 22:56
smshecan07,4.52,4.4,35.2,7.9,23.11.2020 23:04
smshecan08,3.87,4.1,45.5,11.1,23.11.2020 23:18
smshecan09,4.34,4.4,45.9,10.5,23.11.2020 23:25
smshecan10,4.31,4.5,45.8,10.2,23.11.2020 23:32
smshecan11,3.62,3.1,46.9,15.0,23.11.2020 23:39
smshecan12,4.71,3.8,45.6,12.2,23.11.2020 23:46
smshecan16,4.92,4.2,45.9,11.1,23.11.2020 23:53
smsorsco01,3.84,3.7,46.5,12.5,23.11.2020 18:56
smsorsco04,3.85,3.7,46.3,12.7,23.11.2020 19:03
smsorsco05,3.82,3.4,44.6,13.2,23.11.2020 19:10
smsorsco06,3.90,4.0,46.8,11.7,23.11.2020 19:17
smsorsco07,4.13,4.0,44.6,11.2,23.11.2020 19:24
smsorsco09,4.66,4.3,46.1,10.7,23.11.2020 19:31
smsorsco10,4.22,4.6,45.1,9.7,23.11.2020 19:38
smsorsco11,3.84,3.4,44.2,13.2,23.11.2020 19:45
smsorsco12,3.63,4.0,49.6,12.5,23.11.2020 19:52
smsorsco12_2,4.33,4.1,44.8,10.9,23.11.2020 19:59
smspibet01,3.96,3.0,46.5,15.6,24.11.2020 12:47
smspibet02,4.37,3.0,46.7,15.8,24.11.2020 12:54
smspibet03,4.37,2.4,46.0,19.0,24.11.2020 13:09
smspibet04,3.72,3.2,47.1,14.7,24.11.2020 13:16
smspibet05,4.74,2.3,46.5,20.0,24.11.2020 13:23
smspibet06,4.35,3.4,47.3,14.1,24.11.2020 13:30
smspibet07,4.13,3.4,47.4,13.8,24.11.2020 13:37
smspibet08,3.84,3.8,46.6,12.4,24.11.2020 13:44
smspibet09,3.81,3.8,46.3,12.3,24.11.2020 13:51
smspibet10,4.22,2.8,45.9,16.6,24.11.2020 13:58
smspipyr01,4.74,3.1,47.4,15.4,24.11.2020 21:46
smspipyr02,3.67,2.9,47.3,16.4,24.11.2020 21:53
smspipyr03,3.54,3.6,47.6,13.2,24.11.2020 22:00
smspipyr04,4.04,3.6,46.6,13.1,24.11.2020 22:07
smspipyr05,3.77,3.4,47.8,14.0,24.11.2020 22:21
smspipyr06,4.01,3.2,47.9,14.9,24.11.2020 22:29
smspipyr07,4.30,4.0,48.4,12.1,24.11.2020 22:36
smspipyr08,4.55,4.2,46.8,11.1,24.11.2020 22:43
smspipyr09,3.99,3.8,48.9,12.9,24.11.2020 22:50
smspipyr10,3.94,3.7,48.4,13.1,24.11.2020 22:57
smsymalb02,4.25,4.8,47.5,10.0,24.11.2020 23:04
smsymalb04,3.55,3.2,47.0,14.7,24.11.2020 23:11
smsymalb05,3.90,2.7,47.0,17.7,24.11.2020 23:18
smsymalb06,4.14,3.1,46.5,15.0,24.11.2020 23:25
smsymalb07,4.19,2.6,47.5,18.6,24.11.2020 23:32
smsymalb08,3.70,2.7,47.2,17.7,24.11.2020 23:40
smsymalb09,3.82,2.5,45.9,18.7,24.11.2020 00:00
smsymalb11,4.77,3.4,45.4,13.2,24.11.2020 00:14
smsymalb12,4.49,2.5,46.2,18.5,24.11.2020 00:22
smsymalb9_2,3.88,4.4,46.7,10.7,24.11.2020 00:07
smvacmem01,3.72,3.2,21.5,6.8,23.11.2020 20:13
smvacmem02,4.26,2.9,39.0,13.6,23.11.2020 20:21
smvacmem03,4.49,2.7,36.9,13.5,23.11.2020 20:28
smvacmem04,4.06,2.7,36.1,13.4,23.11.2020 20:35
smvacmem05,4.29,2.8,36.5,13.1,23.11.2020 20:42
smvacmem06,3.79,2.3,35.8,15.3,23.11.2020 20:49
smvacmem07,4.24,2.8,35.2,12.6,23.11.2020 20:56
smvacmem08,4.02,2.4,35.3,14.9,23.11.2020 21:03
smvacmem09,4.01,2.3,37.1,15.9,23.11.2020 21:10
smvacmem10,4.15,2.7,36.9,13.8,23.11.2020 21:17
smvibedu01,3.86,2.6,45.5,17.5,24.11.2020 11:51
smvibedu05,3.84,3.6,47.5,13.2,24.11.2020 11:37
smvibedu07,4.26,2.7,47.6,18.0,24.11.2020 11:44
smvibedu08,4.41,2.4,48.5,20.6,24.11.2020 12:33
smvibedu09,4.08,2.9,49.6,17.2,24.11.2020 12:40
smvibedu10,3.90,2.9,48.4,16.7,24.11.2020 11:58
smvibedu11,4.72,4.2,48.0,11.4,24.11.2020 12:05
smvibedu12,3.92,3.0,47.6,15.9,24.11.2020 12:12
smvibedu19,4.03,1.7,47.3,27.2,24.11.2020 12:19
smvibedu20,3.89,2.3,46.7,20.2,24.11.2020 12:26
