"sample","species","site","no","vol","stem.weight","ssd"
"mp_popbal_6","popbal","mp","6",3.31,1464.1,442.326283987915
"sm_popbal_6","popbal","sm","6",3.25,1263.1,388.646153846154
"af_popbal_7","popbal","af","7",3.18,1481,465.723270440252
"kl_popbal_7","popbal","kl","7",2.59,1763.7,680.965250965251
"mp_popbal_7","popbal","mp","7",3.52,NA,NA
"af_popbal_8","popbal","af","8",3.04,1496.4,492.236842105263
"kl_popbal_8","popbal","kl","8",4.19,2329.8,556.038186157518
"mp_popbal_8","popbal","mp","8",3.73,1894.1,507.801608579088
"sm_popbal_8","popbal","sm","8",3.94,2067.1,524.644670050761
"af_popbal_9","popbal","af","9",3.4,1760.7,517.852941176471
"kl_popbal_9","popbal","kl","9",3.08,1785.3,579.642857142857
"mp_popbal_9","popbal","mp","9",4.11,2052.3,499.343065693431
"sm_popbal_9","popbal","sm","9",2.78,1281.4,460.935251798561
"kl_poptre_1","poptre","kl","1",4.07,2089.6,513.415233415233
"af_poptre_10","poptre","af","10",2.9,1317.7,454.379310344828
"kl_poptre_10","poptre","kl","10",3.59,2111.1,588.050139275766
"mp_poptre_10","poptre","mp","10",4.43,1960.5,442.55079006772
"mp_poptre_11","poptre","mp","11",3.85,1933.8,502.285714285714
"sm_poptre_11","poptre","sm","11",5.28,2393.3,453.276515151515
"af_poptre_12","poptre","af","12",3.46,1668.4,482.196531791908
"mp_poptre_12","poptre","mp","12",3.55,1702.7,479.633802816901
"sm_poptre_12","poptre","sm","12",5.83,2452,420.583190394511
"af_poptre_12_02","poptre","af","12_02",3.89,1831.2,470.745501285347
"af_poptre_13","poptre","af","13",4.03,1780,441.687344913151
"mp_poptre_13","poptre","mp","13",4.15,1914.4,461.301204819277
"sm_poptre_13","poptre","sm","13",5.73,2815.2,491.30890052356
"af_poptre_15","poptre","af","15",3.46,1873.6,541.50289017341
"sm_poptre_15","poptre","sm","15",4.3,2162.9,503
"sm_poptre_16","poptre","sm","16",3.7,1924.1,520.027027027027
"sm_poptre_17","poptre","sm","17",2.83,1389.9,491.13074204947
"sm_poptre_18","poptre","sm","18",2.69,1298.3,482.639405204461
"sm_poptre_19","poptre","sm","19",2.85,1455.1,510.561403508772
"kl_poptre_2","poptre","kl","2",3.66,1849.3,505.273224043716
"sm_poptre_2","poptre","sm","2",3.33,1623.6,487.567567567568
"af_poptre_3","poptre","af","3",3.44,1209.4,351.569767441861
"kl_poptre_3","poptre","kl","3",4.92,2619.2,532.357723577236
"sm_poptre_3","poptre","sm","3",3.65,1844,505.205479452055
"af_poptre_4","poptre","af","4",3.52,1695.8,481.761363636364
"kl_poptre_4","poptre","kl","4",4,2128.2,532.05
"sm_poptre_4","poptre","sm","4",3.57,1804.7,505.518207282913
"af_poptre_5","poptre","af","5",3.34,1743.7,522.065868263473
"kl_poptre_5","poptre","kl","5",4.21,2462,584.79809976247
"mp_poptre_5","poptre","mp","5",4.05,2050.24,506.232098765432
"sm_poptre_5","poptre","sm","5",2.74,1337.7,488.211678832117
"af_poptre_6","poptre","af","6",3.68,1938.6,526.79347826087
"kl_poptre_6","poptre","kl","6",3.87,2071.9,535.374677002584
"mp_poptre_6","poptre","mp","6",3.76,1568.52,417.159574468085
"kl_poptre_7","poptre","kl","7",3.68,1894.7,514.864130434783
"mp_poptre_7","poptre","mp","7",3.73,1883.81,505.042895442359
"sm_poptre_7","poptre","sm","7",4.02,1987,494.278606965174
"mp_poptre_7_02","poptre","mp","7_02",3.59,1713.61,477.328690807799
"af_poptre_8","poptre","af","8",3.89,1623.7,417.403598971722
"kl_poptre_8","poptre","kl","8",3.51,2152.6,613.276353276353
"mp_poptre_8","poptre","mp","8",3.63,1986.39,547.214876033058
"af_poptre_9","poptre","af","9",3.67,1616.7,440.517711171662
"kl_poptre_9","poptre","kl","9",3.97,2398.2,604.080604534005
"mp_poptre_9","poptre","mp","9",3.74,1813.82,484.978609625668
"kl_rhoalb_1","rhoalb","kl","1",2.52,975.3,387.02380952381
"mp_rhoalb_1","rhoalb","mp","1",3.55,1346.5,379.295774647887
"kl_rhoalb_10","rhoalb","kl","10",4.02,1637.7,407.388059701493
"mp_rhoalb_10","rhoalb","mp","10",3.08,994,322.727272727273
"mp_rhoalb_11","rhoalb","mp","11",3.8,1271.7,334.657894736842
"mp_rhoalb_12","rhoalb","mp","12",3.27,1040.4,318.165137614679
"kl_rhoalb_2","rhoalb","kl","2",2.71,950.1,350.590405904059
"mp_rhoalb_2","rhoalb","mp","2",3.12,1120,358.974358974359
"kl_rhoalb_3","rhoalb","kl","3",3.22,1130.4,351.055900621118
"mp_rhoalb_3","rhoalb","mp","3",2.54,773.3,304.448818897638
"kl_rhoalb_4","rhoalb","kl","4",3.48,1411.1,405.488505747126
"mp_rhoalb_4","rhoalb","mp","4",3.93,1473.8,375.01272264631
"kl_rhoalb_5","rhoalb","kl","5",2.76,1048.4,379.855072463768
"mp_rhoalb_5","rhoalb","mp","5",2.34,781.6,334.017094017094
"kl_rhoalb_6","rhoalb","kl","6",2.54,953.5,375.393700787402
"kl_rhoalb_7","rhoalb","kl","7",3.05,1125.3,368.950819672131
"kl_rhoalb_8","rhoalb","kl","8",3.15,1302.5,413.492063492063
"mp_rhoalb_8","rhoalb","mp","8",3.13,949.7,303.418530351438
"kl_rhoalb_9","rhoalb","kl","9",2.61,984.9,377.35632183908
"mp_rhoalb_9","rhoalb","mp","9",3.62,1179.7,325.883977900553
"af_riblac_1","riblac","af","1",1.29,770.8,597.519379844961
"kl_riblac_1","riblac","kl","1",1.23,643.2,522.926829268293
"mp_riblac_1","riblac","mp","1",2.73,1463,535.897435897436
"af_riblac_10","riblac","af","10",1.85,962.2,520.108108108108
"kl_riblac_10","riblac","kl","10",1.99,1072.8,539.095477386935
"mp_riblac_10","riblac","mp","10",3.9,19736,5060.51282051282
"sm_riblac_10","riblac","sm","10",2.15,1145.3,532.697674418605
"af_riblac_11","riblac","af","11",1.73,1005.4,581.156069364162
"kl_riblac_11","riblac","kl","11",1.57,1094.5,697.133757961783
"mp_riblac_11","riblac","mp","11",1.66,895.6,539.518072289157
"sm_riblac_11","riblac","sm","11",2.32,1547.8,667.155172413793
"af_riblac_12","riblac","af","12",1.59,846.6,532.452830188679
"kl_riblac_12","riblac","kl","12",2.1,1170.7,557.47619047619
"sm_riblac_12","riblac","sm","12",1.39,811.6,583.884892086331
"sm_riblac_12_02","riblac","sm","12_02",1.25,757.9,606.32
"kl_riblac_13","riblac","kl","13",2.49,1382.6,555.261044176707
"af_riblac_2","riblac","af","2",2.7,1226.6,454.296296296296
"kl_riblac_2","riblac","kl","2",1.74,948.3,545
"mp_riblac_2","riblac","mp","2",3.04,1512.9,497.664473684211
"sm_riblac_2","riblac","sm","2",1.91,1029.2,538.848167539267
"af_riblac_20","riblac","af","20",2.04,1163.8,570.490196078431
"kl_riblac_3","riblac","kl","3",1.59,905.1,569.245283018868
"mp_riblac_3","riblac","mp","3",2.44,1445.4,592.377049180328
"sm_riblac_3","riblac","sm","3",2.53,1312.3,518.695652173913
"af_riblac_4","riblac","af","4",2.17,1141.7,526.129032258065
"af_riblac_4","riblac","af","4",2.17,471.9,217.465437788018
"mp_riblac_4","riblac","mp","4",2.17,1367,629.953917050691
"mp_riblac_5","riblac","mp","5",2.14,1156.4,540.373831775701
"sm_riblac_5","riblac","sm","5",1.66,766.8,461.927710843373
"af_riblac_6","riblac","af","6",2.47,1508.5,610.728744939271
"mp_riblac_6","riblac","mp","6",1.78,997.1,560.168539325843
"sm_riblac_6","riblac","sm","6",1.72,1061,616.860465116279
"af_riblac_7","riblac","af","7",2.68,1693.4,631.865671641791
"kl_riblac_7","riblac","kl","7",1.14,565.2,495.789473684211
"mp_riblac_7","riblac","mp","7",1.85,1107.5,598.648648648649
"sm_riblac_7","riblac","sm","7",1.21,546.4,451.570247933884
"af_riblac_8","riblac","af","8",1.64,832.4,507.560975609756
"kl_riblac_8","riblac","kl","8",1.77,1130.7,638.813559322034
"mp_riblac_8","riblac","mp","8",2.12,1140.7,538.066037735849
"kl_riblac_9","riblac","kl","9",2.24,1314.7,586.919642857143
"sm_riblac_9","riblac","sm","9",NA,1012.7,NA
"kl_rubpar_1","rubpar","kl","1",2.47,819.7,331.862348178138
"mp_rubpar_1","rubpar","mp","1",2.03,549.5,270.689655172414
"sm_rubpar_1","rubpar","sm","1",1.98,521.8,263.535353535354
"af_rubpar_10","rubpar","af","10",2.7,706.3,261.592592592593
"kl_rubpar_10","rubpar","kl","10",3.7,1459,394.324324324324
"mp_rubpar_10","rubpar","mp","10",2.46,664.2,270
"sm_rubpar_10","rubpar","sm","10",2.2,843.2,383.272727272727
"af_rubpar_11","rubpar","af","11",2.81,1349.8,480.355871886121
"kl_rubpar_11","rubpar","kl","11",3.2,1156.3,361.34375
"kl_rubpar_12","rubpar","kl","12",2.96,1256.2,424.391891891892
"af_rubpar_13","rubpar","af","13",2.37,1131.8,477.552742616034
"af_rubpar_14","rubpar","af","14",3,886.2,295.4
"af_rubpar_15","rubpar","af","15",2.9,792,273.103448275862
"af_rubpar_16","rubpar","af","16",3.75,814.3,217.146666666667
"af_rubpar_2","rubpar","af","2",2.68,843.7,314.813432835821
"mp_rubpar_2","rubpar","mp","2",2.91,774.1,266.013745704467
