sample,site,species,no.x,vol,stem.weight,ssd,Weight..mg.,per.N,per.C,C.N,type,ht,dbh,dbh2,dbh3,no.y,lma
af_amealn_9,af,amealn,9,1.78,1150.3,646.2359551,3.94,2.5,46.2,18.4,shrub,1.82,1.293,NA,NA,9,3.536183839
af_betpap_10,af,betpap,10,4.01,2230.5,556.234414,4.5,2.3,47.5,20.8,tree,7.48,9.9,NA,NA,10,5.534881448
af_betpap_11,af,betpap,11,3.24,1611,497.2222222,4.07,2.4,45.2,19.1,tree,15.76,33.1,NA,NA,11,4.501639634
af_betpap_2,af,betpap,2,5.24,2764.6,527.5954198,3.9,2.4,48.8,20.5,tree,9.42,9.9,NA,NA,2,3.773830072
af_betpap_3,af,betpap,3,3.52,1912.9,543.4375,4.02,2.4,48.3,20.3,tree,11.73,10.5,NA,NA,3,3.636891634
af_betpap_4,af,betpap,4,3.4,1917.1,563.8529412,3.84,2.3,45,19.2,tree,10.42,18,NA,NA,4,3.660629024
af_betpap_5,af,betpap,5,3.5,1831.8,523.3714286,3.51,2.5,48.3,19.1,tree,13.6,18.5,NA,NA,5,3.818251733
af_betpap_6,af,betpap,6,3.58,1872.5,523.0446927,4.03,2.8,48.5,17.1,tree,11.73,10.6,NA,NA,6,3.464549512
af_betpap_7,af,betpap,7,3.43,1818.7,530.2332362,4.58,2.4,47.5,20,tree,8.11,10,NA,NA,7,5.135213549
af_betpap_8,af,betpap,8,2.94,1599,543.877551,3.67,2.8,48.3,17.5,tree,11.73,12.6,NA,NA,8,4.044809291
af_betpap_9,af,betpap,9,4.36,2356.7,540.5275229,4.19,2.8,48.4,17.1,tree,10.14,12.9,NA,NA,9,5.148437227
af_corsto_1,af,corsto,1,2.43,902.4,371.3580247,4.6,2.2,44.5,20.6,shrub,1.32,14.1,NA,NA,1,4.928400308
af_corsto_10,af,corsto,10,2.86,1129.2,394.8251748,4.05,2.6,41.9,16.4,shrub,2.32,1.732,1.538,NA,10,5.096376613
af_corsto_11,af,corsto,11,2.84,1121.1,394.7535211,3.31,3,44.8,14.8,shrub,2.72,2.348,NA,NA,11,3.428636045
af_corsto_3,af,corsto,3,3.59,1606.9,447.6044568,4.11,3.1,44.7,14.5,shrub,3.63,1.534,0.67,NA,3,3.351109847
af_corsto_4,af,corsto,4,2.22,1011.3,455.5405405,3.52,2.5,44.3,17.4,shrub,2.23,1.451,NA,NA,4,2.715893503
af_corsto_5,af,corsto,5,2.45,1152,470.2040816,4.04,2.3,46,20.1,shrub,3.2,2.971,NA,NA,5,6.290257562
af_corsto_6,af,corsto,6,2.82,1486.5,527.1276596,3.65,2.1,44.9,21.3,shrub,1.6,1.701,NA,NA,6,5.817152033
af_corsto_7,af,corsto,7,2.06,918.5,445.8737864,3.75,2.2,43.4,19.8,shrub,1.81,1.809,NA,NA,7,4.363633017
af_corsto_8,af,corsto,8,2.37,1093.7,461.4767932,4.03,2.3,43.3,18.8,shrub,1.62,0.954,NA,NA,8,3.069353069
af_corsto_9,af,corsto,9,2.19,1074.8,490.7762557,3.34,2.2,43.2,19.5,shrub,2.74,1.124,NA,NA,9,3.402199392
af_loninv_1,af,loninv,1,2.79,1222.3,438.1003584,3.32,2.7,47.1,17.2,shrub,1.23,1.275,NA,NA,1,2.467081383
af_loninv_11,af,loninv,11,2.94,1144.2,389.1836735,3.75,3.1,47.3,15.5,shrub,1.59,2.74,1.599,3.474,11,3.071240212
af_loninv_2,af,loninv,2,1.94,928.12,478.4123711,4.13,1.7,47.2,27.9,shrub,1.17,1.164,NA,NA,2,5.316426464
af_loninv_3,af,loninv,3,1.59,841.13,529.0125786,4.05,2.3,48.2,21.2,shrub,1.4,1.201,NA,NA,3,4.19336097
af_loninv_3_02,af,loninv,3_02,3.76,1638.75,435.837766,3.93,2.7,47.3,17.7,shrub,2.46,2.071,NA,NA,3_02,3.226690344
af_loninv_4,af,loninv,4,1.64,763.1,465.304878,3.7,1.5,45.8,29.8,shrub,1.22,0.721,NA,NA,4,5.86101548
af_loninv_5,af,loninv,5,2.61,1165.2,446.4367816,3.98,1.8,47.1,26.1,shrub,1.21,1.198,NA,NA,5,6.997862512
af_loninv_6,af,loninv,6,3.47,1607.9,463.3717579,4.48,2,45.6,22.8,shrub,1.41,1.111,NA,NA,6,5.13941087
af_loninv_8,af,loninv,8,2.37,1079.08,455.3080169,4.67,3.2,48.7,15.3,shrub,1.06,1.007,NA,NA,8,3.672191412
af_loninv_9,af,loninv,9,2.26,1095.3,484.6460177,3.59,2.5,47.2,18.8,shrub,1.79,1.555,NA,NA,9,5.254812838
af_popbal_1,af,popbal,1,3.84,1618.5,421.484375,3.79,2.1,47.6,22.4,tree,5.09,6.3,6.5,6.2,1,6.565940191
af_popbal_2,af,popbal,2,3.82,1861.9,487.408377,3.68,2.2,48.8,22.1,tree,20,34.6,NA,NA,2,5.520969111
af_popbal_2_2,af,popbal,2_2,3,1340.8,446.9333333,NA,NA,NA,NA,tree,14.9,14.2,NA,NA,2_2,4.391506802
af_popbal_3,af,popbal,3,4.38,1890.7,431.6666667,3.91,1.7,47.9,27.8,tree,7.14,10.8,NA,NA,3,5.846594003
af_popbal_4,af,popbal,4,2.8,1331.5,475.5357143,4.61,2.3,47.5,21,tree,9.03,5.742,NA,NA,4,6.393359559
af_popbal_5,af,popbal,5,2.18,1037.7,476.0091743,4.74,2.5,46.6,18.6,tree,7.48,5.96,NA,NA,5,6.456012353
af_popbal_6,af,popbal,6,2.83,1368.3,483.4982332,4.2,2.3,47.5,20.6,tree,7.22,4.672,NA,NA,6,7.05948991
af_popbal_7,af,popbal,7,3.18,1481,465.7232704,3.71,2.1,48.2,23.2,tree,4.8,4.175,1.496,NA,7,6.240653683
af_popbal_8,af,popbal,8,3.04,1496.4,492.2368421,3.93,1.8,48.5,27.3,tree,4.8,2.499,NA,NA,8,7.242126832
af_popbal_9,af,popbal,9,3.4,1760.7,517.8529412,3.94,1.8,45.5,24.9,tree,9.03,9.906,NA,NA,9,7.004037141
af_poptre_10,af,poptre,10,2.9,1317.7,454.3793103,3.86,2.4,48.6,20.1,tree,4.21,3.6,NA,NA,10,5.202246725
af_poptre_12,af,poptre,12,3.46,1668.4,482.1965318,3.81,2.4,46.5,19.6,tree,10.14,7.844,NA,NA,12,7.794392286
af_poptre_12_02,af,poptre,12_02,3.89,1831.2,470.7455013,NA,NA,NA,NA,tree,19.37,17.5,NA,NA,NA,NA
af_poptre_13,af,poptre,13,4.03,1780,441.6873449,NA,NA,NA,NA,tree,11.12,6,NA,NA,13,5.28799618
af_poptre_15,af,poptre,15,3.46,1873.6,541.5028902,NA,NA,NA,NA,tree,2.91,2.744,NA,NA,15,5.306902558
af_poptre_3,af,poptre,3,3.44,1209.4,351.5697674,4.16,2.4,48.2,19.9,tree,6.77,5.4,NA,NA,3,5.932373853
af_poptre_4,af,poptre,4,3.52,1695.8,481.7613636,4.47,2.2,48.1,22,tree,6.38,4.4,NA,NA,4,7.165955829
af_poptre_5,af,poptre,5,3.34,1743.7,522.0658683,4.13,2.2,47.3,21.2,tree,4.8,6,NA,NA,5,7.154348178
af_poptre_6,af,poptre,6,3.68,1938.6,526.7934783,4.79,1.9,46.8,24.1,tree,14.17,12.7,NA,NA,6,7.726359514
af_poptre_7,af,poptre,7,NA,NA,NA,4.07,3.2,50.7,16,NA,NA,NA,NA,NA,7,3.799845834
af_poptre_8,af,poptre,8,3.89,1623.7,417.403599,4.54,2.9,49.6,17,tree,5.95,8.1,NA,NA,8,2.970935037
af_poptre_9,af,poptre,9,3.67,1616.7,440.5177112,3.62,2.8,53.4,19.1,tree,9.54,8,NA,NA,9,5.468793736
af_riblac_1,af,riblac,1,1.29,770.8,597.5193798,3.86,1.7,44.4,26.1,shrub,0.46,0.408,NA,NA,1,3.969313779
af_riblac_10,af,riblac,10,1.85,962.2,520.1081081,3.63,2.4,44.6,18.3,shrub,1.29,0.803,NA,NA,10,2.714019287
af_riblac_11,af,riblac,11,1.73,1005.4,581.1560694,3.71,2.5,42,17.2,shrub,0.92,0.756,NA,NA,11,2.479173639
af_riblac_12,af,riblac,12,1.59,846.6,532.4528302,4.25,3.2,43.9,13.9,shrub,1.13,0.808,NA,NA,12,2.245169831
af_riblac_2,af,riblac,2,2.7,1226.6,454.2962963,4.02,1.9,46.2,24.7,shrub,0.53,0.687,NA,NA,2,4.175424237
af_riblac_20,af,riblac,20,2.04,1163.8,570.4901961,3.66,1.8,43.6,24.7,shrub,0.76,0.504,NA,NA,20,3.550325689
af_riblac_4,af,riblac,4,2.17,1141.7,526.1290323,4.39,2.1,42.3,20.4,shrub,0.9,0.721,NA,NA,4,3.359026688
af_riblac_4,af,riblac,4,2.17,471.9,217.4654378,4.39,2.1,42.3,20.4,shrub,0.9,0.721,NA,NA,4,3.359026688
af_riblac_6,af,riblac,6,2.47,1508.5,610.7287449,3.62,1.8,43,24.3,shrub,1.07,0.636,0.6,NA,6,3.230747886
af_riblac_7,af,riblac,7,2.68,1693.4,631.8656716,4.2,1.7,46,27.8,shrub,0.92,0.799,NA,NA,7,7.094361722
af_riblac_8,af,riblac,8,1.64,832.4,507.5609756,4.15,2.1,45,21.3,shrub,1.43,0.91,NA,NA,8,4.853951562
af_rubpar_10,af,rubpar,10,2.7,706.3,261.5925926,4.72,2.9,42.5,14.7,shrub,1.28,0.69,NA,NA,10,2.69157194
af_rubpar_11,af,rubpar,11,2.81,1349.8,480.3558719,4.48,1.7,43,25.9,shrub,1.04,0.709,NA,NA,11,2.91393101
af_rubpar_13,af,rubpar,13,2.37,1131.8,477.5527426,3.74,2.6,42.7,16.1,shrub,0.88,0.658,NA,NA,13,2.859433307
af_rubpar_14,af,rubpar,14,3,886.2,295.4,3.55,2.5,44.6,18,shrub,0.89,6.61,NA,NA,14,4.053525454
af_rubpar_15,af,rubpar,15,2.9,792,273.1034483,3.72,3.5,45.2,12.8,shrub,1.4,0.881,NA,NA,15,2.834002951
af_rubpar_16,af,rubpar,16,3.75,814.3,217.1466667,4.38,3.7,45.5,12.2,shrub,1.4,1.031,NA,NA,16,2.708762811
af_rubpar_2,af,rubpar,2,2.68,843.7,314.8134328,4.71,3.2,43.4,13.6,shrub,0.91,0.787,NA,NA,2,3.474760996
af_rubpar_3,af,rubpar,3,3.81,1067.7,280.2362205,4.43,3.2,44.8,14.1,shrub,1.17,0.846,NA,NA,3,3.048048954
af_rubpar_4,af,rubpar,4,2.67,730.3,273.5205993,4.96,2.7,45,16.6,shrub,0.69,0.636,NA,NA,4,3.964029893
af_rubpar_5,af,rubpar,5,1.76,515.2,292.7272727,3.64,2.4,42.5,17.7,shrub,0.59,0.463,NA,NA,5,2.251707881
af_rubpar_6,af,rubpar,6,2.16,615.2,284.8148148,4.01,2.4,42.7,17.5,shrub,0.64,0.484,0.552,0.426,6,2.416062028
af_rubpar_7,af,rubpar,7,NA,NA,NA,3.79,2.3,42.2,18.4,NA,NA,NA,NA,NA,7,2.584620046
af_rubpar_9,af,rubpar,9,1.42,609.1,428.943662,NA,NA,NA,NA,shrub,0.75,0.621,NA,NA,NA,NA
af_samrac_1,af,samrac,1,5.29,1764,333.4593573,4.05,4.1,48.1,11.6,shrub,2.19,3.071,NA,NA,1,4.835813939
af_samrac_10,af,samrac,10,4.43,1451,327.5395034,3.55,3.8,49.2,12.8,shrub,1.69,2.919,NA,NA,10,5.232364832
af_samrac_12,af,samrac,12,4.67,1108.8,237.4304069,4.15,4.8,49.2,10.3,shrub,2.51,2.45,NA,NA,12,3.717297348
af_samrac_13,af,samrac,13,3.45,891.2,258.3188406,4.04,6,48.7,8.2,shrub,2.36,2.054,NA,NA,13,2.122818221
af_samrac_3,af,samrac,3,5.86,1698.3,289.8122867,3.72,5.5,47.5,8.7,shrub,1.83,1.858,NA,NA,3,3.658428903
af_samrac_4,af,samrac,4,3.86,1087.9,281.8393782,4.79,4.9,49.6,10.2,shrub,1.8,1.91,NA,NA,4,3.264837949
af_samrac_5,af,samrac,5,2.99,759,253.8461538,4.43,5,48.2,9.6,shrub,1.98,1.87,NA,NA,5,2.868197334
af_samrac_6,af,samrac,6,3.16,888,281.0126582,4.72,6.2,46.6,7.5,shrub,2.08,3.365,NA,NA,6,2.638435229
af_samrac_7,af,samrac,7,4.06,813.2,200.2955665,4.44,6.2,46.4,7.4,shrub,2.21,1.726,1.384,1.791,7,2.927419499
af_samrac_9,af,samrac,9,5.4,1349.5,249.9074074,4.06,4.3,49.7,11.7,shrub,1.66,1.383,NA,NA,9,4.296350376
af_shecan_1,af,shecan,1,2.71,1524.2,562.4354244,4.41,2.3,45.5,20.1,shrub,0.74,0.946,NA,NA,1,33.43731776
af_shecan_10,af,shecan,10,2.95,1459.8,494.8474576,3.56,3.9,46.4,11.9,shrub,1.7,2.444,NA,NA,10,3.152651473
af_shecan_2,af,shecan,2,2.19,1101.5,502.9680365,3.89,3.8,45.8,11.9,shrub,1.03,1.315,NA,NA,2,4.235198106
af_shecan_3,af,shecan,3,2.58,1204,466.6666667,4.51,2.8,47,16.6,shrub,0.8,0.789,0.64,0.731,3,8.125959825
af_shecan_4,af,shecan,4,3.34,1533,458.9820359,4.3,2.7,46.5,17.2,shrub,0.88,0.958,NA,NA,4,7.612490216
af_shecan_5,af,shecan,5,4.07,2225.7,546.8550369,4.49,4.3,47,10.8,shrub,1.51,2.439,NA,NA,5,7.154522083
af_shecan_6,af,shecan,6,3.3,1832.8,555.3939394,3.93,2.8,47,17.1,shrub,1.57,0.986,1.087,0.88,6,10.56391686
af_shecan_7,af,shecan,7,3.33,1635.9,491.2612613,4.69,3.3,46.6,14,shrub,1.54,1.342,1.484,NA,7,6.622459295
af_shecan_8,af,shecan,8,3.71,1777.7,479.1644205,4.61,2.2,46.1,20.6,shrub,1.47,1.841,NA,NA,8,10.19535595
af_shecan_9,af,shecan,9,2.8,1407.9,502.8214286,4.07,3.6,51.5,14.2,shrub,1.04,1.139,NA,NA,9,4.613824718
af_sorsco_10,af,sorsco,10,2.92,1415,484.5890411,3.85,2.5,44.7,17.9,shrub,3.91,1.295,NA,NA,10,3.288010506
af_sorsco_11,af,sorsco,11,4.23,1938.9,458.3687943,3.6,2.3,57,25.4,shrub,3.47,2.772,NA,NA,NA,NA
af_sorsco_13,af,sorsco,13,3.24,1438.8,444.0740741,4.24,3.4,46.5,13.8,shrub,2.09,2.246,NA,NA,NA,NA
af_sorsco_2,af,sorsco,2,4.94,2005,405.8704453,4.57,3.3,45,13.6,shrub,NA,2.825,NA,NA,2,14.59439473
af_sorsco_3,af,sorsco,3,2.68,1171.1,436.9776119,3.99,2.9,47.1,16.3,shrub,6.38,1.719,NA,NA,3,7.598334356
af_sorsco_3_02,af,sorsco,3_02,2.76,1189.4,430.942029,4.3,3.5,45.3,13.1,shrub,1.73,3.2,4,NA,3_02,3.851466385
af_sorsco_6,af,sorsco,6,2.65,1005.3,379.3584906,4.65,2.5,42.6,16.8,shrub,1.32,1.226,0.984,NA,6,2.938786594
af_sorsco_7,af,sorsco,7,4.13,2025.3,490.3874092,4.32,3,44.3,14.7,shrub,2.07,1.538,1.468,NA,7,4.533543403
af_sorsco_8,af,sorsco,8,2.94,1398.2,475.5782313,4.77,2.8,46,16.2,shrub,4.39,1.799,NA,NA,8,3.801970954
af_sorsco_9,af,sorsco,9,3.17,1422,448.5804416,3.63,2.7,44.1,16.4,shrub,3.64,1.271,1.407,NA,9,2.690522363
af_spibet_1,af,spibet,1,0.93,493.4,530.5376344,4.33,1.8,47.7,26.3,shrub,0.46,0.315,NA,NA,1,3.059230009
af_spibet_11,af,spibet,11,1.59,918.1,577.4213836,3.75,2.1,47.6,22.7,shrub,0.5,0.354,NA,NA,11,5.394786914
af_spibet_12,af,spibet,12,1.52,853.5,561.5131579,NA,NA,NA,NA,shrub,0.51,0.448,NA,NA,NA,NA
af_spibet_13,af,spibet,13,1.28,661.6,516.875,4.39,2.3,49.2,21.5,shrub,0.97,0.588,NA,NA,13,3.487275512
af_spibet_14,af,spibet,14,2.29,1171.9,511.7467249,3.63,2.6,45.5,17.7,shrub,0.91,0.565,NA,NA,14,3.267161596
af_spibet_2,af,spibet,2,2.04,109.6,53.7254902,4.38,2.7,48,18.1,shrub,0.55,0.559,NA,NA,2,4.212092059
af_spibet_20,af,spibet,20,1.06,482.8,455.4716981,4.85,1.7,44.4,26,shrub,0.58,0.361,NA,NA,20,2.995572464
af_spibet_4,af,spibet,4,0.82,438.8,535.1219512,4.27,2.2,47.6,21.5,shrub,0.05,0.299,NA,NA,4,4.028031699
af_spibet_5,af,spibet,5,1.59,828.9,521.3207547,3.54,2.5,48.2,19.3,shrub,0.64,0.392,NA,NA,5,3.85413127
af_spibet_6,af,spibet,6,NA,NA,NA,3.84,2.5,48,19.4,NA,NA,NA,NA,NA,6,5.094324975
af_spibet_6_02,af,spibet,6_02,0.91,487.3,535.4945055,3.74,2,48.7,24,shrub,0.52,0.283,NA,NA,6_02,5.315448427
af_spipyr_1,af,spipyr,1,0.99,425.4,429.6969697,4.49,3.4,47.2,14,shrub,1.15,0.771,NA,NA,1,2.534583476
af_spipyr_11,af,spipyr,11,2.33,897.7,385.27897,4.18,1.7,46.6,27.5,shrub,1,0.6,NA,NA,11,4.382466643
af_spipyr_12,af,spipyr,12,2.45,1018.3,415.6326531,3.96,2.9,46.9,16.2,shrub,1.15,0.576,NA,NA,12,3.613354668
af_spipyr_13,af,spipyr,13,NA,NA,NA,3.6,2.6,47.2,18.1,shrub,1.52,0.859,NA,NA,13,3.229859085
af_spipyr_14,af,spipyr,14,1.92,1077.9,561.40625,3.67,2,47.9,23.5,shrub,1.08,0.507,NA,NA,14,4.369937705
af_spipyr_16,af,spipyr,16,2.35,947.4,403.1489362,3.69,2.6,47.2,18.3,shrub,0.99,0.76,NA,NA,16,3.233786086
af_spipyr_17,af,spipyr,17,1.94,895,461.3402062,3.91,2.7,46.9,17.5,shrub,0.98,0.591,NA,NA,17,2.823648589
af_spipyr_18,af,spipyr,18,2.05,808.1,394.195122,3.74,2.8,47,17,shrub,1.45,0.867,NA,NA,18,2.488383063
af_spipyr_19,af,spipyr,19,1.96,1021.2,521.0204082,3.57,2.6,46,17.6,shrub,0.87,0.788,NA,NA,19,2.933754032
af_spipyr_2,af,spipyr,2,2.91,1414.9,486.2199313,4,2.9,47.2,16.1,shrub,1.32,0.993,NA,NA,2,2.644780368
af_symalb_1,af,symalb,1,2.48,1363.5,549.7983871,3.97,2.3,52,22.3,shrub,0.73,0.556,NA,NA,1,3.693116958
af_symalb_11,af,symalb,11,3.48,1949.6,560.2298851,4.4,2,51.6,25.7,shrub,0.83,0.872,NA,NA,11,4.786104809
af_symalb_12,af,symalb,12,1.5,852.6,568.4,4.26,2,47.1,24,shrub,0.69,0.531,NA,NA,12,5.83403677
af_symalb_2,af,symalb,2,2.89,1455.7,503.7024221,4.36,2.5,45.5,18.4,shrub,1.22,0.699,NA,NA,2,2.67289694
af_symalb_3,af,symalb,3,3.16,1700.5,538.1329114,4.62,2.1,46.8,22.8,shrub,1.26,1.031,NA,NA,3,3.244591476
af_symalb_4,af,symalb,4,3.8,2134.4,561.6842105,4.29,2.2,48.8,22.1,shrub,1.15,0.78,NA,NA,4,5.4301191
af_symalb_5,af,symalb,5,2.37,1360.3,573.9662447,3.85,2.4,45.1,18.8,shrub,1.15,0.604,NA,NA,5,5.726994925
af_symalb_6,af,symalb,6,1.7,990.5,582.6470588,3.93,2,44.7,22.7,shrub,0.95,0.55,0.59,NA,6,2.805367208
af_symalb_7,af,symalb,7,1.18,739.8,626.9491525,3.96,1.6,45.9,28.5,shrub,0.54,0.278,NA,NA,7,4.674840189
af_symalb_8,af,symalb,8,2.48,1292.9,521.3306452,4.26,1.6,46.6,30,shrub,0.6,0.609,NA,NA,8,5.482811284
af_vacmem_1,af,vacmem,1,1.99,985.9,495.4271357,4.48,2.3,47.8,20.7,shrub,0.45,0.508,NA,NA,1,4.174563168
af_vacmem_10,af,vacmem,10,2.05,1090.9,532.1463415,3.73,1.8,48,26.5,shrub,0.28,0.624,NA,NA,10,6.840843261
af_vacmem_20,af,vacmem,20,2.54,1225.3,482.4015748,4.11,2.1,47,22.3,shrub,0.44,0.493,NA,NA,20,3.454680426
af_vacmem_3,af,vacmem,3,2.25,1106.7,491.8666667,3.57,2.6,55.6,21.6,shrub,0.48,0.521,NA,NA,3,4.571259634
af_vacmem_4,af,vacmem,4,1.45,724,499.3103448,3.65,2.5,49.8,19.7,shrub,0.3,0.293,NA,NA,4,5.726828661
af_vacmem_5,af,vacmem,5,2.71,1456,537.2693727,NA,NA,NA,NA,shrub,0.68,0.971,0.876,0.759,5,7.15725201
af_vacmem_6,af,vacmem,6,1.28,676.4,528.4375,4.41,2.3,53.3,23.7,shrub,0.36,0.366,NA,NA,6,4.454718359
af_vacmem_7,af,vacmem,7,2.61,1314.2,503.5249042,3.92,2.4,48.2,20.4,shrub,0.55,0.574,NA,NA,7,5.025232898
af_vacmem_8,af,vacmem,8,1.59,826.2,519.6226415,4.44,2.2,46.5,21,shrub,0.51,0.677,NA,NA,8,4.356603423
af_vacmem_9,af,vacmem,9,1.84,1024.6,556.8478261,3.57,1.8,49.7,27.2,shrub,0.5,0.864,NA,NA,9,5.939748426
af_vibedu_1,af,vibedu,1,3.99,1777.9,445.5889724,4.5,2.5,45.1,17.8,shrub,1.12,0.866,NA,NA,1,3.252771235
af_vibedu_11,af,vibedu,11,2.84,1288,453.5211268,4.46,2.2,43.7,20.1,shrub,1.24,0.898,NA,NA,11,8.950250791
