"species","site","no","sample","lma"
"samrac","af","9","af_samrac_9",4.29635037573926
"shecan","af","1","af_shecan_1",33.4373177645117
"shecan","af","10","af_shecan_10",3.15265147266641
"shecan","af","2","af_shecan_2",4.23519810576421
"shecan","af","3","af_shecan_3",8.12595982500559
"shecan","af","4","af_shecan_4",7.61249021613318
"shecan","af","5","af_shecan_5",7.15452208256562
"shecan","af","6","af_shecan_6",10.56391686215
"shecan","af","7","af_shecan_7",6.62245929529916
"shecan","af","8","af_shecan_8",10.1953559542188
"shecan","af","9","af_shecan_9",4.61382471841328
"sorsco","af","10","af_sorsco_10",3.2880105064044
"sorsco","af","11","af_sorsco_11",NA
"sorsco","af","12","af_sorsco_12",NA
"sorsco","af","13","af_sorsco_13",NA
"sorsco","af","2","af_sorsco_2",14.5943947289096
"sorsco","af","3","af_sorsco_3",7.59833435603361
"sorsco","af","3_02","af_sorsco_3_02",3.85146638525056
"sorsco","af","6","af_sorsco_6",2.93878659427082
"sorsco","af","7","af_sorsco_7",4.53354340291948
"sorsco","af","8","af_sorsco_8",3.8019709537497
"sorsco","af","9","af_sorsco_9",2.69052236319658
"spibet","af","1","af_spibet_1",3.05923000949393
"spibet","af","11","af_spibet_11",5.39478691433347
"spibet","af","13","af_spibet_13",3.48727551223503
"spibet","af","14","af_spibet_14",3.26716159593381
"spibet","af","2","af_spibet_2",4.2120920593354
"spibet","af","20","af_spibet_20",2.99557246365991
"spibet","af","4","af_spibet_4",4.02803169931571
"spibet","af","5","af_spibet_5",3.854131269811
"spibet","af","6","af_spibet_6",5.09432497499608
"spibet","af","6_02","af_spibet_6_02",5.31544842694684
"spipyr","af","1","af_spipyr_1",2.53458347581264
"spipyr","af","11","af_spipyr_11",4.38246664252263
"spipyr","af","12","af_spipyr_12",3.61335466845589
"spipyr","af","13","af_spipyr_13",3.22985908519721
"spipyr","af","14","af_spipyr_14",4.36993770531493
"spipyr","af","16","af_spipyr_16",3.23378608637721
"spipyr","af","17","af_spipyr_17",2.82364858938261
"spipyr","af","18","af_spipyr_18",2.48838306276995
"spipyr","af","19","af_spipyr_19",2.93375403184929
"spipyr","af","2","af_spipyr_2",2.64478036779159
"symalb","af","1","af_symalb_1",3.69311695757446
"symalb","af","11","af_symalb_11",4.78610480882668
"symalb","af","12","af_symalb_12",5.83403676999153
"symalb","af","2","af_symalb_2",2.67289694021094
"symalb","af","3","af_symalb_3",3.24459147565677
"symalb","af","4","af_symalb_4",5.43011909990122
"symalb","af","5","af_symalb_5",5.72699492510062
"symalb","af","5_02","af_symalb_5_02",NA
