"sample","species","site","no","type","ht","dbh","dbh2","dbh3","count"
"mp_rhoalb_11","rhoalb","mp","11","shrub",1.51,2.873,1.675,2.495,1
"kl_rhoalb_4","rhoalb","kl","4","shrub",1.33,1.288,1.649,1.187,1
"mp_rhoalb_1","rhoalb","mp","1","shrub",1.14,1.291,1.328,1.079,1
"kl_rhoalb_10","rhoalb","kl","10","shrub",1.1,1.392,1.375,NA,1
"kl_rhoalb_7","rhoalb","kl","7","shrub",1.82,1.742,1.296,1.212,1
"kl_rhoalb_8","rhoalb","kl","8","shrub",1.21,0.985,NA,NA,1
"mp_rhoalb_4","rhoalb","mp","4","shrub",1.72,1.53,NA,NA,1
"mp_rhoalb_5","rhoalb","mp","5","shrub",1.69,1.204,NA,NA,1
"mp_rhoalb_8","rhoalb","mp","8","shrub",2.25,2.074,2.23,1.48,1
"kl_rhoalb_2","rhoalb","kl","2","shrub",1.32,1.639,1.279,1.587,1
"kl_rhoalb_3","rhoalb","kl","3","shrub",1.1,1.228,1.447,1.453,1
"mp_rhoalb_2","rhoalb","mp","2","shrub",0.96,0.943,0.977,0.545,1
"mp_rhoalb_3","rhoalb","mp","3","shrub",1.89,1.487,NA,NA,1
"kl_rhoalb_1","rhoalb","kl","1","shrub",1.02,1.76,NA,NA,1
"af_riblac_11","riblac","af","11","shrub",0.92,0.756,NA,NA,1
"sm_riblac_7","riblac","sm","7","shrub",1.48,0.816,NA,NA,1
"af_riblac_1","riblac","af","1","shrub",0.46,0.408,NA,NA,1
"af_riblac_2","riblac","af","2","shrub",0.53,0.687,NA,NA,1
"af_riblac_4","riblac","af","4","shrub",0.9,0.721,NA,NA,1
"mp_riblac_1","riblac","mp","1","shrub",0.92,0.715,NA,NA,1
"mp_riblac_2","riblac","mp","2","shrub",0.74,0.563,NA,NA,1
"mp_riblac_3","riblac","mp","3","shrub",1.18,0.839,NA,NA,1
"mp_riblac_4","riblac","mp","4","shrub",1.28,1.086,NA,NA,1
"mp_riblac_5","riblac","mp","5","shrub",1.83,0.772,NA,NA,1
"mp_riblac_6","riblac","mp","6","shrub",1.79,0.879,NA,NA,1
"sm_riblac_9","riblac","sm","9","shrub",1.48,0.678,NA,NA,1
"sm_riblac_10","riblac","sm","10","shrub",1.13,0.613,NA,NA,1
"sm_riblac_11","riblac","sm","11","shrub",0.95,0.706,NA,NA,1
"kl_riblac_8","riblac","kl","8","shrub",0.86,0.728,NA,NA,1
"kl_riblac_9","riblac","kl","9","shrub",0.55,0.565,2.422,NA,1
"kl_riblac_10","riblac","kl","10","shrub",0.5,0.471,NA,NA,1
"kl_riblac_11","riblac","kl","11","shrub",1.21,0.742,NA,NA,1
"kl_riblac_13","riblac","kl","13","shrub",1.3,0.743,NA,NA,1
"kl_riblac_12","riblac","kl","12","shrub",1.07,0.655,0.69,NA,1
"af_riblac_12","riblac","af","12","shrub",1.13,0.808,NA,NA,1
"af_riblac_20","riblac","af","20","shrub",0.76,0.504,NA,NA,1
"sm_riblac_6","riblac","sm","6","shrub",1.13,0.838,NA,NA,1
"mp_riblac_7","riblac","mp","7","shrub",0.77,0.633,NA,NA,1
"mp_riblac_8","riblac","mp","8","shrub",0.96,0.572,NA,NA,1
"mp_riblac_10","riblac","mp","10","shrub",0.93,0.76,NA,NA,1
"mp_riblac_11","riblac","mp","11","shrub",1.04,0.784,NA,NA,1
"kl_riblac_7","riblac","kl","7","shrub",0.54,0.337,0.377,NA,1
"af_riblac_9","riblac","af","9","shrub",NA,NA,NA,NA,1
"sm_riblac_12","riblac","sm","12","shrub",1.03,0.934,NA,NA,1
"sm_riblac_12_02","riblac","sm","12_02","shrub",0.76,0.597,NA,NA,1
"af_riblac_8","riblac","af","8","shrub",1.43,0.91,NA,NA,1
"sm_riblac_5","riblac","sm","5","shrub",1.45,1.021,NA,NA,1
"af_riblac_10","riblac","af","10","shrub",1.29,0.803,NA,NA,1
"sm_riblac_2","riblac","sm","2","shrub",1.56,1.591,1.392,3.043,1
"sm_riblac_3","riblac","sm","3","shrub",1.91,1.315,1.479,1.553,1
"kl_riblac_1","riblac","kl","1","shrub",1.52,0.648,0.62,NA,1
"kl_riblac_2","riblac","kl","2","shrub",1.4,0.592,NA,NA,1
"kl_riblac_3","riblac","kl","3","shrub",1.22,0.849,NA,NA,1
"af_riblac_6","riblac","af","6","shrub",1.07,0.636,0.6,NA,1
"af_riblac_7","riblac","af","7","shrub",0.92,0.799,NA,NA,1
"kl_rubpar_12","rubpar","kl","12","shrub",0.91,0.616,NA,NA,1
"kl_rubpar_11","rubpar","kl","11","shrub",0.91,0.727,NA,NA,1
"mp_rubpar_1","rubpar","mp","1","shrub",0.87,0.544,NA,NA,1
"af_rubpar_14","rubpar","af","14","shrub",0.89,6.61,NA,NA,1
"af_rubpar_13","rubpar","af","13","shrub",0.88,0.658,NA,NA,1
"af_rubpar_15","rubpar","af","15","shrub",1.4,0.881,NA,NA,1
"sm_rubpar_6","rubpar","sm","6","shrub",0.79,0.65,NA,NA,1
"kl_rubpar_7","rubpar","kl","7","shrub",0.68,0.718,NA,NA,1
"kl_rubpar_8","rubpar","kl","8","shrub",0.84,0.725,NA,NA,1
"kl_rubpar_9","rubpar","kl","9","shrub",0.68,0.655,NA,NA,1
"kl_rubpar_10","rubpar","kl","10","shrub",0.98,0.802,0.856,NA,1
"af_rubpar_5","rubpar","af","5","shrub",0.59,0.463,NA,NA,1
"af_rubpar_6","rubpar","af","6","shrub",0.64,0.484,0.552,0.426,1
"af_rubpar_9","rubpar","af","9","shrub",0.75,0.621,NA,NA,1
"mp_rubpar_2","rubpar","mp","2","shrub",1.02,8.28,NA,NA,1
"af_rubpar_10","rubpar","af","10","shrub",1.28,0.69,NA,NA,1
"af_rubpar_11","rubpar","af","11","shrub",1.04,0.709,NA,NA,1
"sm_rubpar_1","rubpar","sm","1","shrub",0.87,0.87,NA,NA,1
"sm_rubpar_2","rubpar","sm","2","shrub",0.99,0.723,NA,NA,1
"af_rubpar_16","rubpar","af","16","shrub",1.4,1.031,NA,NA,1
"sm_rubpar_5","rubpar","sm","5","shrub",1.02,0.92,NA,NA,1
"kl_rubpar_6","rubpar","kl","6","shrub",0.72,0.761,NA,NA,1
"af_rubpar_3","rubpar","af","3","shrub",1.17,0.846,NA,NA,1
"af_rubpar_4","rubpar","af","4","shrub",0.69,0.636,NA,NA,1
"sm_rubpar_10","rubpar","sm","10","shrub",0.66,NA,NA,NA,1
"mp_rubpar_6","rubpar","mp","6","shrub",1.69,1.374,NA,NA,1
"mp_rubpar_3","rubpar","mp","3","shrub",0.61,0.474,NA,NA,1
"mp_rubpar_4","rubpar","mp","4","shrub",0.71,0.638,NA,NA,1
"mp_rubpar_5","rubpar","mp","5","shrub",0.64,0.697,NA,NA,1
"sm_rubpar_8","rubpar","sm","8","shrub",0.74,0.647,NA,NA,1
"kl_rubpar_1","rubpar","kl","1","shrub",1.09,0.574,0.765,NA,1
"kl_rubpar_3","rubpar","kl","3","shrub",1.29,0.731,NA,NA,1
"sm_rubpar_7","rubpar","sm","7","shrub",0.89,NA,NA,NA,1
"kl_rubpar_4","rubpar","kl","4","shrub",0.96,0.69,NA,NA,1
"sm_rubpar_9","rubpar","sm","9","shrub",0.8,0.602,NA,NA,1
"mp_rubpar_10","rubpar","mp","10","shrub",0.97,0.661,NA,NA,1
"sm_rubpar_3","rubpar","sm","3","shrub",0.9,0.703,NA,NA,1
"af_rubpar_2","rubpar","af","2","shrub",0.91,0.787,NA,NA,1
"mp_rubpar_9","rubpar","mp","9","shrub",1.1,0.687,NA,NA,1
"mp_rubpar_8","rubpar","mp","8","shrub",0.95,0.572,NA,NA,1
"sm_rubpar_4","rubpar","sm","4","shrub",0.94,0.7,NA,NA,1
"mp_rubpar_7","rubpar","mp","7","shrub",0.69,0.572,NA,NA,1
"af_samrac_12","samrac","af","12","shrub",2.51,2.45,NA,NA,1
"af_samrac_10","samrac","af","10","shrub",1.69,2.919,NA,NA,1
"af_samrac_9","samrac","af","9","shrub",1.66,1.383,NA,NA,1
"sm_samrac_7","samrac","sm","7","shrub",2.08,4.739,3.948,2.963,1
"kl_samrac_1","samrac","kl","1","shrub",1.22,1.469,1.219,1.45,1
"af_samrac_13","samrac","af","13","shrub",2.36,2.054,NA,NA,1
"af_samrac_6","samrac","af","6","shrub",2.08,3.365,NA,NA,1
"sm_samrac_8","samrac","sm","8","shrub",2.1,3.018,2.132,2.739,1
"sm_samrac_5","samrac","sm","5","shrub",1.85,1.916,3.356,NA,1
"af_samrac_7","samrac","af","7","shrub",2.21,1.726,1.384,1.791,1
"kl_samrac_2","samrac","kl","2","shrub",2.11,2.409,1.693,2.422,1
"sm_samrac_2","samrac","sm","2","shrub",2.76,2.857,4.518,4.988,1
"sm_samrac_9","samrac","sm","9","shrub",0.45,1.843,1.948,NA,1
"sm_samrac_4","samrac","sm","4","shrub",1.87,3.972,NA,NA,1
"sm_samrac_10","samrac","sm","10","shrub",2.79,3.973,3.728,3.201,1
"kl_samrac_3","samrac","kl","3","shrub",1.95,7.269,NA,NA,1
"sm_samrac_3","samrac","sm","3","shrub",1.86,3.244,NA,NA,1
"kl_samrac_5","samrac","kl","5","shrub",1.6,1.602,2.46,1.759,1
"af_samrac_4","samrac","af","4","shrub",1.8,1.91,NA,NA,1
"af_samrac_5","samrac","af","5","shrub",1.98,1.87,NA,NA,1
"sm_samrac_6","samrac","sm","6","shrub",1.81,2.554,1.941,1.938,1
"mp_samrac_1","samrac","mp","1","shrub",2.21,4.866,NA,NA,1
"mp_samrac_2","samrac","mp","2","shrub",1.78,3.977,1.992,3.29,1
"mp_samrac_6","samrac","mp","6","shrub",1.11,1.027,1.68,1.695,1
"kl_samrac_10","samrac","kl","10","shrub",2.18,2.964,2.145,NA,1
"kl_samrac_4","samrac","kl","4","shrub",1.48,1.575,1.62,1.622,1
"mp_samrac_5","samrac","mp","5","shrub",5.25,8.2,6.3,NA,1
"mp_samrac_10","samrac","mp","10","shrub",3.32,1.625,1.63,2.083,1
"mp_samrac_3","samrac","mp","3","shrub",3.1,2.866,NA,NA,1
"sm_samrac_11","samrac","sm","11","shrub",2.76,2.535,3.319,2.42,1
"af_samrac_3","samrac","af","3","shrub",1.83,1.858,NA,NA,1
"mp_samrac_9","samrac","mp","9","shrub",2.87,2.349,NA,NA,1
"mp_samrac_11","samrac","mp","11","shrub",3.84,1.993,1.6,1.597,1
"kl_samrac_9","samrac","kl","9","shrub",2.11,2.237,2.134,2.128,1
"mp_samrac_4","samrac","mp","4","shrub",4.41,2.597,NA,NA,1
"kl_samrac_6","samrac","kl","6","shrub",1.03,1.144,1.027,0.97,1
"mp_samrac_8","samrac","mp","8","shrub",2.64,1.45,0.942,0.554,1
"mp_samrac_7","samrac","mp","7","shrub",2.85,2.208,NA,NA,1
"af_samrac_1","samrac","af","1","shrub",2.19,3.071,NA,NA,1
"kl_samrac_7","samrac","kl","7","shrub",1.96,2.126,1.138,1.999,1
"kl_samrac_8","samrac","kl","8","shrub",2.24,2.261,2.078,2.694,1
"mp_shecan_8","shecan","mp","8","shrub",0.8,1.923,NA,NA,1
"mp_shecan_7","shecan","mp","7","shrub",1.59,2.479,2,1.823,1
"mp_shecan_6","shecan","mp","6","shrub",1.5,1.374,1.122,1.033,1
"kl_shecan_8","shecan","kl","8","shrub",2.04,4.577,NA,NA,1
"mp_shecan_9","shecan","mp","9","shrub",1.38,1.958,NA,NA,1
"mp_shecan_5","shecan","mp","5","shrub",1.53,3.899,NA,NA,1
"mp_shecan_11","shecan","mp","11","shrub",1.39,0.977,0.944,0.443,1
"af_shecan_7","shecan","af","7","shrub",1.54,1.342,1.484,NA,1
"sm_shecan_9","shecan","sm","9","shrub",1.91,3.968,NA,NA,1
"kl_shecan_4_02","shecan","kl","4_02","shrub",1.68,3.679,NA,NA,1
"sm_shecan_6","shecan","sm","6","shrub",1.36,2.627,NA,NA,1
"af_shecan_10","shecan","af","10","shrub",1.7,2.444,NA,NA,1
"kl_shecan_7","shecan","kl","7","shrub",1.63,2.391,1.753,1.825,1
"kl_shecan_9","shecan","kl","9","shrub",2.37,5.292,NA,NA,1
"kl_shecan_5","shecan","kl","5","shrub",2.19,3.985,NA,NA,1
"mp_shecan_10","shecan","mp","10","shrub",1.23,1.894,NA,NA,1
"af_shecan_5","shecan","af","5","shrub",1.51,2.439,NA,NA,1
"af_shecan_8","shecan","af","8","shrub",1.47,1.841,NA,NA,1
"af_shecan_9","shecan","af","9","shrub",1.04,1.139,NA,NA,1
"mp_shecan_4","shecan","mp","4","shrub",1.1,0.879,0.801,1.029,1
"kl_shecan_1","shecan","kl","1","shrub",1.48,1.45,NA,NA,1
"kl_shecan_2","shecan","kl","2","shrub",2,3.187,NA,NA,1
"sm_shecan_10","shecan","sm","10","shrub",2.25,3.436,NA,NA,1
"sm_shecan_11","shecan","sm","11","shrub",1.64,1.768,NA,NA,1
"sm_shecan_12","shecan","sm","12","shrub",1.22,1.241,NA,NA,1
"sm_shecan_16","shecan","sm","16","shrub",1.74,26.7,NA,NA,1
"af_shecan_2","shecan","af","2","shrub",1.03,1.315,NA,NA,1
"af_shecan_3","shecan","af","3","shrub",0.8,0.789,0.64,0.731,1
"af_shecan_6","shecan","af","6","shrub",1.57,0.986,1.087,0.88,1
"mp_shecan_3","shecan","mp","3","shrub",3.17,2.86,NA,NA,1
"sm_shecan_1","shecan","sm","1","shrub",1.25,2.468,NA,NA,1
"sm_shecan_5","shecan","sm","5","shrub",1.28,1.483,1.26,1.311,1
"mp_shecan_2","shecan","mp","2","shrub",1.36,2.271,1.192,1.427,1
"af_shecan_4","shecan","af","4","shrub",0.88,0.958,NA,NA,1
"sm_shecan_7","shecan","sm","7","shrub",1.81,1.935,NA,NA,1
"kl_shecan_3","shecan","kl","3","shrub",2.24,3.704,2.646,NA,1
"kl_shecan_4","shecan","kl","4","shrub",1.71,1.904,1.25,1.185,1
"kl_shecan_6","shecan","kl","6","shrub",1.59,1.401,2.031,2.819,1
"af_shecan_1","shecan","af","1","shrub",0.74,0.946,NA,NA,1
"sm_shecan_8","shecan","sm","8","shrub",1.38,2.125,NA,NA,1
"af_sorsco_10","sorsco","af","10","shrub",3.91,1.295,NA,NA,1
"mp_sorsco_14","sorsco","mp","14","shrub",1.77,1.892,NA,NA,1
"kl_sorsco_1","sorsco","kl","1","shrub",1.76,1.612,NA,NA,1
"af_sorsco_11","sorsco","af","11","shrub",3.47,2.772,NA,NA,1
"mp_sorsco_1","sorsco","mp","1","shrub",1.95,2.027,1.705,1.72,1
"sm_sorsco_9","sorsco","sm","9","shrub",5.6,6.1,6.9,6.6,1
"sm_sorsco_10","sorsco","sm","10","shrub",2.71,3.7,5.6,4.8,1
"sm_sorsco_11","sorsco","sm","11","shrub",5.09,6.3,NA,NA,1
"af_sorsco_13","sorsco","af","13","shrub",2.09,2.246,NA,NA,1
"mp_sorsco_13","sorsco","mp","13","shrub",3.63,3.3,NA,NA,1
"sm_sorsco_12_02","sorsco","sm","12_02","shrub",5.48,3.7,5.7,3.5,1
"kl_sorsco_9","sorsco","kl","9","shrub",3.37,2.591,NA,NA,1
"kl_sorsco_10","sorsco","kl","10","shrub",5.48,2.624,NA,NA,1
"af_sorsco_7","sorsco","af","7","shrub",2.07,1.538,1.468,NA,1
"mp_sorsco_3","sorsco","mp","3","shrub",1.23,2.04,1.33,1.297,1
"af_sorsco_9","sorsco","af","9","shrub",3.64,1.271,1.407,NA,1
"kl_sorsco_2","sorsco","kl","2","shrub",3.82,2.8,NA,NA,1
"kl_sorsco_3","sorsco","kl","3","shrub",2.12,1.456,1.168,0.798,1
"kl_sorsco_4","sorsco","kl","4","shrub",7.48,3.71,NA,NA,1
"kl_sorsco_5","sorsco","kl","5","shrub",2.51,2.502,NA,NA,1
"mp_sorsco_11_b","sorsco","mp","11_b","shrub",5.48,6.1,NA,NA,1
"mp_sorsco_12","sorsco","mp","12","shrub",2.55,2.635,3.419,2.95,1
"sm_sorsco_12","sorsco","sm","12","shrub",3.34,2.9,4,NA,1
"kl_sorsco_7","sorsco","kl","7","shrub",2.72,2.247,2.322,2.354,1
"kl_sorsco_8","sorsco","kl","8","shrub",4.8,4.465,3.745,1.245,1
"af_sorsco_3_02","sorsco","af","3_02","shrub",1.73,3.2,4,NA,1
"af_sorsco_6","sorsco","af","6","shrub",1.32,1.226,0.984,NA,1
"af_sorsco_8","sorsco","af","8","shrub",4.39,1.799,NA,NA,1
"sm_sorsco_7","sorsco","sm","7","shrub",4.8,2.628,NA,NA,1
"sm_sorsco_4","sorsco","sm","4","shrub",2,1.74,NA,NA,1
"sm_sorsco_5","sorsco","sm","5","shrub",2.3,1.738,NA,NA,1
"sm_sorsco_6","sorsco","sm","6","shrub",4.5,2.1,NA,NA,1
"kl_sorsco_6","sorsco","kl","6","shrub",2.08,2.564,NA,NA,1
"af_sorsco_2","sorsco","af","2","shrub",NA,2.825,NA,NA,1
"af_sorsco_3","sorsco","af","3","shrub",6.38,1.719,NA,NA,1
"mp_sorsco_12_2","sorsco","mp","12_2","shrub",4.01,3,2.1,NA,1
"mp_sorsco_8","sorsco","mp","8","shrub",3.26,2,2.9,NA,1
"mp_sorsco_10","sorsco","mp","10","shrub",2.57,3.132,3.178,2.553,1
"sm_sorsco_1","sorsco","sm","1","shrub",5.56,3.8,NA,NA,1
"mp_sorsco_4","sorsco","mp","4","shrub",1.91,2.062,NA,NA,1
"af_spibet_6_02","spibet","af","6_02","shrub",0.52,0.283,NA,NA,1
"kl_spibet_10","spibet","kl","10","shrub",0.7,0.51,NA,NA,1
"kl_spibet_11","spibet","kl","11","shrub",0.76,4.71,NA,NA,1
"af_spibet_14","spibet","af","14","shrub",0.91,0.565,NA,NA,1
"mp_spibet_3","spibet","mp","3","shrub",0.57,0.343,NA,NA,1
"mp_spibet_4","spibet","mp","4","shrub",0.45,0.341,NA,NA,1
"sm_spibet_10","spibet","sm","10","shrub",0.76,NA,NA,NA,1
"af_spibet_1","spibet","af","1","shrub",0.46,0.315,NA,NA,1
"af_spibet_2","spibet","af","2","shrub",0.55,0.559,NA,NA,1
"af_spibet_4","spibet","af","4","shrub",0.05,0.299,NA,NA,1
"af_spibet_12","spibet","af","12","shrub",0.51,0.448,NA,NA,1
"af_spibet_13","spibet","af","13","shrub",0.97,0.588,NA,NA,1
"sm_spibet_1","spibet","sm","1","shrub",0.49,NA,NA,NA,1
"sm_spibet_2","spibet","sm","2","shrub",0.51,NA,NA,NA,1
"af_spibet_20","spibet","af","20","shrub",0.58,0.361,NA,NA,1
"sm_spibet_4","spibet","sm","4","shrub",0.55,NA,NA,NA,1
"mp_spibet_7","spibet","mp","7","shrub",0.67,0.476,NA,NA,1
"mp_spibet_8","spibet","mp","8","shrub",0.61,0.332,NA,NA,1
"mp_spibet_9","spibet","mp","9","shrub",0.64,0.36,NA,NA,1
"mp_spibet_10","spibet","mp","10","shrub",0.43,0.428,NA,NA,1
"kl_spibet_9","spibet","kl","9","shrub",0.55,0.292,NA,NA,1
"mp_spibet_1","spibet","mp","1","shrub",0.26,0.319,NA,NA,1
"mp_spibet_2","spibet","mp","2","shrub",0.49,0.328,NA,NA,1
"kl_spibet_12","spibet","kl","12","shrub",0.63,0.33,NA,NA,1
"af_spibet_11","spibet","af","11","shrub",0.5,0.354,NA,NA,1
"sm_spibet_6","spibet","sm","6","shrub",0.77,NA,NA,NA,1
"sm_spibet_7","spibet","sm","7","shrub",0.9,NA,NA,NA,1
"kl_spibet_3","spibet","kl","3","shrub",0.58,0.443,NA,NA,1
"kl_spibet_4","spibet","kl","4","shrub",0.4,0.316,NA,NA,1
"af_spibet_5","spibet","af","5","shrub",0.64,0.392,NA,NA,1
"mp_spibet_5","spibet","mp","5","shrub",0.68,0.3,NA,NA,1
"sm_spibet_8","spibet","sm","8","shrub",0.65,NA,NA,NA,1
"sm_spibet_9","spibet","sm","9","shrub",0.62,NA,NA,NA,1
"sm_spibet_3","spibet","sm","3","shrub",0.58,NA,NA,NA,1
"mp_spibet_6","spibet","mp","6","shrub",0.42,0.286,NA,NA,1
"kl_spibet_7","spibet","kl","7","shrub",0.58,0.335,1.229,NA,1
"kl_spibet_8","spibet","kl","8","shrub",0.66,0.398,NA,NA,1
"sm_spibet_5","spibet","sm","5","shrub",0.66,NA,NA,NA,1
"kl_spibet_6","spibet","kl","6","shrub",0.54,0.356,NA,NA,1
"kl_spibet_5","spibet","kl","5","shrub",0.72,0.577,NA,NA,1
"af_spipyr_19","spipyr","af","19","shrub",0.87,0.788,NA,NA,1
"sm_spipyr_1","spipyr","sm","1","shrub",1.01,0.838,NA,NA,1
"af_spipyr_18","spipyr","af","18","shrub",1.45,0.867,NA,NA,1
"sm_spipyr_7","spipyr","sm","7","shrub",0.73,0.625,NA,NA,1
"sm_spipyr_8","spipyr","sm","8","shrub",0.12,0.658,NA,NA,1
"sm_spipyr_4","spipyr","sm","4","shrub",0.68,0.562,NA,NA,1
"af_spipyr_14","spipyr","af","14","shrub",1.08,0.507,NA,NA,1
"mp_spipyr_1","spipyr","mp","1","shrub",1.32,0.735,NA,NA,1
"sm_spipyr_9","spipyr","sm","9","shrub",1.36,0.972,NA,NA,1
"af_spipyr_17","spipyr","af","17","shrub",0.98,0.591,NA,NA,1
"sm_spipyr_6","spipyr","sm","6","shrub",0.96,0.585,NA,NA,1
"sm_spipyr_5","spipyr","sm","5","shrub",0.91,0.647,NA,NA,1
"sm_spipyr_2","spipyr","sm","2","shrub",0.87,0.674,NA,NA,1
"af_spipyr_16","spipyr","af","16","shrub",0.99,0.76,NA,NA,1
"sm_spipyr_10","spipyr","sm","10","shrub",1.04,0.513,NA,NA,1
"mp_spipyr_8","spipyr","mp","8","shrub",1.25,0.848,NA,NA,1
"mp_spipyr_6","spipyr","mp","6","shrub",1.44,1.134,NA,NA,1
"sm_spipyr_3","spipyr","sm","3","shrub",1,0.82,NA,NA,1
"mp_spipyr_10","spipyr","mp","10","shrub",1.2,0.635,NA,NA,1
"af_spipyr_11","spipyr","af","11","shrub",1,0.6,NA,NA,1
"af_spipyr_12","spipyr","af","12","shrub",1.15,0.576,NA,NA,1
"mp_spipyr_7","spipyr","mp","7","shrub",1.31,1.091,NA,NA,1
"mp_spipyr_3","spipyr","mp","3","shrub",0.36,0.774,NA,NA,1
"af_spipyr_1","spipyr","af","1","shrub",1.15,0.771,NA,NA,1
"mp_spipyr_5","spipyr","mp","5","shrub",1,0.616,NA,NA,1
"mp_spipyr_2","spipyr","mp","2","shrub",0.85,0.511,NA,NA,1
"mp_spipyr_9","spipyr","mp","9","shrub",0.85,0.815,NA,NA,1
"af_spipyr_2","spipyr","af","2","shrub",1.32,0.993,NA,NA,1
"mp_spipyr_4","spipyr","mp","4","shrub",1.45,0.938,NA,NA,1
"af_spipyr_13","spipyr","af","13","shrub",1.52,0.859,NA,NA,1
"mp_symalb_8","symalb","mp","8","shrub",1.46,1.114,NA,NA,1
"af_symalb_3","symalb","af","3","shrub",1.26,1.031,NA,NA,1
"af_symalb_4","symalb","af","4","shrub",1.15,0.78,NA,NA,1
"mp_symalb_10","symalb","mp","10","shrub",0.77,0.636,NA,NA,1
"mp_symalb_11","symalb","mp","11","shrub",1,0.687,0.778,0.768,1
"mp_symalb_5","symalb","mp","5","shrub",0.78,0.616,NA,NA,1
"mp_symalb_6","symalb","mp","6","shrub",1.1,0.532,NA,NA,1
"af_symalb_11","symalb","af","11","shrub",0.83,0.872,NA,NA,1
"mp_symalb_9","symalb","mp","9","shrub",0.74,0.804,NA,NA,1
"af_symalb_1","symalb","af","1","shrub",0.73,0.556,NA,NA,1
"af_symalb_2","symalb","af","2","shrub",1.22,0.699,NA,NA,1
"af_symalb_5","symalb","af","5","shrub",1.15,0.604,NA,NA,1
"af_symalb_6","symalb","af","6","shrub",0.95,0.55,0.59,NA,1
"af_symalb_7","symalb","af","7","shrub",0.54,0.278,NA,NA,1
"af_symalb_8","symalb","af","8","shrub",0.6,0.609,NA,NA,1
"sm_symalb_4","symalb","sm","4","shrub",1.39,1.14,NA,NA,1
"sm_symalb_5","symalb","sm","5","shrub",1.05,1.099,NA,NA,1
"af_symalb_12","symalb","af","12","shrub",0.69,0.531,NA,NA,1
"sm_symalb_8","symalb","sm","8","shrub",1.28,1.178,NA,NA,1
"mp_symalb_7","symalb","mp","7","shrub",0.98,0.584,NA,NA,1
"sm_symalb_11","symalb","sm","11","shrub",1.27,1.27,NA,NA,1
"sm_symalb_12","symalb","sm","12","shrub",1.08,0.735,NA,NA,1
"sm_symalb_12_02","symalb","sm","12_02","shrub",0.88,0.748,NA,NA,1
"kl_symalb_3","symalb","kl","3","shrub",0.67,0.6,NA,NA,1
"kl_symalb_8","symalb","kl","8","shrub",1.36,1.033,NA,NA,1
"kl_symalb_9","symalb","kl","9","shrub",0.91,0.842,NA,NA,1
"mp_symalb_4","symalb","mp","4","shrub",1.09,0.582,NA,NA,1
"sm_symalb_2","symalb","sm","2","shrub",1.55,1.607,1.718,1.932,1
"kl_symalb_12","symalb","kl","12","shrub",0.79,0.411,NA,NA,1
"mp_symalb_3","symalb","mp","3","shrub",1,0.701,NA,NA,1
"kl_symalb_2","symalb","kl","2","shrub",1.22,0.837,NA,NA,1
"sm_symalb_6","symalb","sm","6","shrub",1.39,1.217,NA,NA,1
"sm_symalb_9","symalb","sm","9","shrub",1.14,0.915,NA,NA,1
"kl_symalb_1","symalb","kl","1","shrub",1.43,1.003,0.917,0.985,1
"kl_symalb_7","symalb","kl","7","shrub",0.76,0.566,NA,NA,1
"kl_symalb_2_02","symalb","kl","2_02","shrub",1.66,1.036,1.069,NA,1
"kl_symalb_10","symalb","kl","10","shrub",1.28,0.961,0.93,NA,1
"kl_symalb_11","symalb","kl","11","shrub",0.82,0.666,NA,NA,1
"mp_symalb_1","symalb","mp","1","shrub",1.02,0.65,NA,NA,1
"sm_symalb_7","symalb","sm","7","shrub",1.49,1.176,0.956,NA,1
"af_vacmem_20","vacmem","af","20","shrub",0.44,0.493,NA,NA,1
"mp_vacmem_1","vacmem","mp","1","shrub",1.01,0.874,NA,NA,1
"mp_vacmem_5","vacmem","mp","5","shrub",0.82,0.737,NA,NA,1
"sm_vacmem_8","vacmem","sm","8","shrub",0.61,0.748,NA,NA,1
"sm_vacmem_9","vacmem","sm","9","shrub",0.55,0.878,NA,NA,1
"mp_vacmem_3","vacmem","mp","3","shrub",1.03,1.202,1.169,NA,1
"kl_vacmem_5","vacmem","kl","5","shrub",0.79,0.764,NA,NA,1
"mp_vacmem_11","vacmem","mp","11","shrub",0.86,0.869,NA,NA,1
"kl_vacmem_6","vacmem","kl","6","shrub",0.8,1.087,NA,NA,1
"kl_vacmem_7","vacmem","kl","7","shrub",0.75,1.143,NA,NA,1
"kl_vacmem_8","vacmem","kl","8","shrub",0.65,1.336,NA,NA,1
"mp_vacmem_4","vacmem","mp","4","shrub",1.08,1.297,NA,NA,1
"kl_vacmem_10","vacmem","kl","10","shrub",0.61,0.777,NA,NA,1
"sm_vacmem_5","vacmem","sm","5","shrub",0.56,0.665,NA,NA,1
"sm_vacmem_6","vacmem","sm","6","shrub",0.6,0.475,NA,NA,1
"sm_vacmem_7","vacmem","sm","7","shrub",0.47,0.44,NA,NA,1
"mp_vacmem_8","vacmem","mp","8","shrub",0.7,0.662,NA,NA,1
"kl_vacmem_3","vacmem","kl","3","shrub",0.91,1.387,NA,NA,1
"kl_vacmem_4","vacmem","kl","4","shrub",0.8,1.102,NA,NA,1
"mp_vacmem_9","vacmem","mp","9","shrub",0.53,0.417,NA,NA,1
"af_vacmem_1","vacmem","af","1","shrub",0.45,0.508,NA,NA,1
"mp_vacmem_12","vacmem","mp","12","shrub",0.84,0.714,NA,NA,1
