,site,species,indiv.no,leaf.no,collected.by,leaf.area,leaf.mass
4093,af,rubpar,3,2,NA,70.838,204.5
4094,af,rubpar,3,3,NA,122.677,288.8
4095,af,rubpar,3,4,NA,102.79,381.8
4096,af,rubpar,3,5,NA,109.653,403.3
453,af,rubpar,4,1,PA,64.783,303.8
454,af,rubpar,4,2,PA,84.412,355
455,af,rubpar,4,3,PA,95.064,373.1
456,af,rubpar,4,4,PA,107.641,364.8
457,af,rubpar,4,5,PA,64.824,234.1
458,af,rubpar,5,1,my,281.415,729.4
459,af,rubpar,5,2,my,158.104,339.7
460,af,rubpar,5,3,my,79.731,166.8
461,af,rubpar,5,4,my,109.849,220.3
462,af,rubpar,5,5,my,124.807,302.1
463,af,rubpar,6,1,my,284.151,676.3
464,af,rubpar,6,2,my,167.758,407.7
465,af,rubpar,6,3,my,311.564,797.5
466,af,rubpar,6,4,my,197.023,450.4
467,af,rubpar,6,5,my,167.969,407.2
4476,af,rubpar,7,1,NA,149.852,361.3
4477,af,rubpar,7,2,NA,190.791,474.8
4478,af,rubpar,7,3,NA,275.091,738.2
4479,af,rubpar,7,4,NA,580.937,1507.9
4480,af,rubpar,7,5,NA,522.308,1433.4
468,af,rubpar,10,1,my,293.297,757.7
469,af,rubpar,10,2,my,253.376,711.9
470,af,rubpar,10,3,my,157.108,395.5
471,af,rubpar,10,4,my,388.452,1090.1
472,af,rubpar,10,5,my,341.606,936.4
4486,af,rubpar,11,1,NA,81.741,240.7
4487,af,rubpar,11,2,NA,61.86,140.6
4488,af,rubpar,11,3,NA,52.621,217.4
4125,af,rubpar,11,4,NA,60.421,170.1
4490,af,rubpar,11,5,NA,67.68,162.8
4491,af,rubpar,13,1,NA,182.642,632.2
4492,af,rubpar,13,2,NA,108.566,339.2
4372,af,rubpar,13,3,NA,178.908,522
4373,af,rubpar,13,4,NA,45.895,103.6
4131,af,rubpar,13,5,NA,55.355,140.4
4132,af,rubpar,14,1,NA,170.221,699.9
4133,af,rubpar,14,2,NA,114.516,441.2
4134,af,rubpar,14,3,NA,159.337,639.2
3771,af,rubpar,14,4,NA,73.14,300.7
3772,af,rubpar,14,5,NA,126.284,527.9
473,af,rubpar,15,1,my,380.357,1129.4
474,af,rubpar,15,2,my,368.482,1044.5
475,af,rubpar,15,3,my,291.582,795.5
476,af,rubpar,15,4,my,295.328,842.6
477,af,rubpar,15,5,my,329.793,918.4
478,af,rubpar,16,1,my,420.253,1148.5
479,af,rubpar,16,2,my,298.383,746.9
480,af,rubpar,16,3,my,315.672,829.3
481,af,rubpar,16,4,my,365.079,1005.7
482,af,rubpar,16,5,my,310.738,909.2
4514,af,rubspe,1,1,NA,NA,84.2
4515,af,rubspe,1,2,NA,NA,53.3
4516,af,rubspe,1,3,NA,NA,85.9
4153,af,rubspe,1,4,NA,NA,98.4
4154,af,rubspe,1,5,NA,NA,79.3
483,af,rubspe,7,1,PA,60.251,158.9
484,af,rubspe,7,2,PA,27.505,67.9
485,af,rubspe,7,3,PA,34.292,150.4
486,af,rubspe,7,4,PA,44.616,196.6
487,af,rubspe,7,5,PA,51.226,117.5
4524,af,rubspe,10,1,NA,NA,110
4525,af,rubspe,10,2,NA,NA,34.1
4526,af,rubspe,10,3,NA,NA,77.2
4527,af,rubspe,10,4,NA,NA,86.9
4528,af,rubspe,10,5,NA,NA,83.2
4165,af,samrac,1,1,NA,395.623,1726.5
4166,af,samrac,1,2,NA,274.73,1368.9
4167,af,samrac,1,3,NA,608.412,3277.1
4532,af,samrac,1,4,NA,578.742,2899.1
4533,af,samrac,1,5,NA,584.733,2594.3
4534,af,samrac,3,1,NA,262.054,1029.9
4535,af,samrac,3,2,NA,302.826,1219.5
4536,af,samrac,3,3,NA,326.077,1202.3
4537,af,samrac,3,4,NA,173.89,572.3
4538,af,samrac,3,5,NA,314.987,1057.3
4539,af,samrac,4,1,NA,236.822,770.3
4540,af,samrac,4,2,NA,357.679,1261.5
4541,af,samrac,4,3,NA,278.322,933.9
4542,af,samrac,4,4,NA,346.486,1160.8
4543,af,samrac,4,5,NA,173.761,493.3
488,af,samrac,5,1,my,310.15,842.4
489,af,samrac,5,2,my,264.295,627.9
490,af,samrac,5,3,my,233.391,578.3
491,af,samrac,5,4,my,251.896,721.4
492,af,samrac,5,5,my,187.924,734.3
493,af,samrac,6,1,my,492.675,1284.7
494,af,samrac,6,2,my,371.02,1055.4
495,af,samrac,6,3,my,366.046,1044
496,af,samrac,6,4,my,389.401,891.5
497,af,samrac,6,5,my,318.803,828.4
498,af,samrac,7,1,my,325.761,506.1
499,af,samrac,7,2,my,403.933,556.2
500,af,samrac,7,3,my,268.272,465.3
501,af,samrac,7,4,my,130.479,609.7
502,af,samrac,7,5,my,90.219,478.1
4559,af,samrac,9,1,NA,274.179,1248.2
4560,af,samrac,9,2,NA,195.923,849.4
4561,af,samrac,9,3,NA,248.537,1198.15
4562,af,samrac,9,4,NA,262.703,841.8
4563,af,samrac,9,5,NA,240.091,1096.9
4564,af,samrac,10,1,NA,95.623,466.2
4565,af,samrac,10,2,NA,95.545,456.8
4566,af,samrac,10,3,NA,92.186,519.7
4567,af,samrac,10,4,NA,83.001,440.1
4568,af,samrac,10,5,NA,102.038,567.9
503,af,samrac,12,1,my,386.896,1408.2
504,af,samrac,12,2,my,411.235,1433.8
505,af,samrac,12,3,my,445.89,1622.7
506,af,samrac,12,4,my,341.525,1374.8
507,af,samrac,12,5,my,415.891,1578.5
4574,af,samrac,13,1,NA,307.507,672.6
4211,af,samrac,13,2,NA,330.331,693.6
4212,af,samrac,13,3,NA,270.583,563
4213,af,samrac,13,4,NA,234.694,547.4
4214,af,samrac,13,5,NA,264.156,505.6
508,af,shecan,1,1,dl,1.914,30.3
509,af,shecan,1,2,dl,1.152,61.5
510,af,shecan,1,3,dl,0.973,44
511,af,shecan,1,4,my,1.795,49.2
512,af,shecan,1,5,my,1.397,35.4
513,af,shecan,2,1,PA,7.504,30.2
514,af,shecan,2,2,PA,14.624,64.6
515,af,shecan,2,3,PA,10.114,43.4
516,af,shecan,2,4,PA,12.661,56
517,af,shecan,2,5,PA,18.035,72.5
518,af,shecan,3,1,PA,6.945,58.9
519,af,shecan,3,2,PA,8.299,70.3
520,af,shecan,3,3,PA,6.748,53.1
521,af,shecan,3,4,PA,6.697,53.6
522,af,shecan,3,5,PA,6.598,51.5
523,af,shecan,4,1,PA,13.706,118.3
524,af,shecan,4,2,PA,9.318,71.3
525,af,shecan,4,3,PA,7.628,57.5
526,af,shecan,4,4,PA,7.764,53.6
527,af,shecan,4,5,PA,6.16,45.2
528,af,shecan,5,1,PA,8.73,44.6
529,af,shecan,5,2,PA,10.416,57.1
530,af,shecan,5,3,PA,10.727,53.4
531,af,shecan,5,4,PA,6.304,75.2
532,af,shecan,5,5,PA,8.544,70.7
4604,af,shecan,6,1,NA,7.49,78.2
4484,af,shecan,6,2,NA,5.49,61.2
4485,af,shecan,6,3,NA,3.941,41.7
4607,af,shecan,6,4,NA,3.733,33.2
4608,af,shecan,6,5,NA,5.903,69.4
4609,af,shecan,7,1,NA,6.299,51
4610,af,shecan,7,2,NA,9.955,48.7
4611,af,shecan,7,3,NA,7.854,51.5
4612,af,shecan,7,4,NA,4.799,28
4613,af,shecan,7,5,NA,6.195,47.9
4493,af,shecan,8,1,NA,4.846,46.7
4494,af,shecan,8,2,NA,4.641,43.2
4495,af,shecan,8,3,NA,11.176,124.3
4617,af,shecan,8,4,NA,2.601,30.6
4618,af,shecan,8,5,NA,6.233,57
4377,af,shecan,9,1,NA,11.402,50.6
4135,af,shecan,9,2,NA,13.643,74.4
4136,af,shecan,9,3,NA,9.109,42.8
4137,af,shecan,9,4,NA,7.008,25.6
4138,af,shecan,9,5,NA,11.085,53.5
4139,af,shecan,10,1,NA,15.895,50.4
4262,af,shecan,10,2,NA,23.278,73.8
4263,af,shecan,10,3,NA,25.278,80.9
4385,af,shecan,10,4,NA,21.063,58.3
4386,af,shecan,10,5,NA,20.065,69.3
4634,af,sorsco,2,1,NA,90.214,471.2
4635,af,sorsco,2,2,NA,137.526,7125
4636,af,sorsco,2,3,NA,93.428,481.4
4637,af,sorsco,2,4,NA,137.468,827.4
4638,af,sorsco,2,5,NA,109.248,521
4639,af,sorsco,3,1,NA,126.85,755.1
4519,af,sorsco,3,2,NA,69.686,598.1
4520,af,sorsco,3,3,NA,56.1,817.5
4642,af,sorsco,3,4,NA,100.904,453.7
4643,af,sorsco,3,5,NA,98.937,434.1
4280,af,sorsco,6,1,NA,NA,190
4281,af,sorsco,6,2,NA,NA,268.3
4282,af,sorsco,6,3,NA,NA,179.9
4283,af,sorsco,6,4,NA,NA,172.4
4284,af,sorsco,6,5,NA,NA,280.3
4649,af,sorsco,7,1,NA,135.966,829.1
4529,af,sorsco,7,2,NA,150.656,1151.6
4651,af,sorsco,7,3,NA,112.622,680.2
4652,af,sorsco,7,4,NA,166.952,271.3
4653,af,sorsco,7,5,NA,135.815,171.3
533,af,sorsco,8,1,my,116.24,690.2
534,af,sorsco,8,2,my,89.571,268.7
535,af,sorsco,8,3,my,119.861,393.8
536,af,sorsco,8,4,my,104.149,333.9
537,af,sorsco,8,5,my,177.808,636.7
538,af,sorsco,9,1,my,174.164,454.8
539,af,sorsco,9,2,my,203.62,589.2
540,af,sorsco,9,3,my,171.951,450.9
541,af,sorsco,9,4,my,165.305,457.5
542,af,sorsco,9,5,my,166.394,425.6
543,af,sorsco,10,1,my,149.15,474.1
544,af,sorsco,10,2,my,133.431,434
545,af,sorsco,10,3,my,138.725,457.5
546,af,sorsco,10,4,my,182.317,616.6
547,af,sorsco,10,5,my,190.036,632.6
4305,af,sorsco,11,1,NA,NA,800.1
4670,af,sorsco,11,2,NA,NA,2732
4671,af,sorsco,11,3,NA,NA,858.8
4672,af,sorsco,11,4,NA,NA,1084.8
4673,af,sorsco,11,5,NA,NA,2110
4674,af,sorsco,12,1,NA,NA,NA
4675,af,sorsco,12,2,NA,NA,NA
4676,af,sorsco,12,3,NA,NA,NA
4677,af,sorsco,12,4,NA,NA,NA
4678,af,sorsco,12,5,NA,NA,NA
4679,af,sorsco,13,1,NA,109.859,501.7
4680,af,sorsco,13,2,NA,74.239,301.3
4681,af,sorsco,13,3,NA,86.594,386.5
4682,af,sorsco,13,4,NA,NA,349.2
4683,af,sorsco,13,5,NA,62.018,240.4
4684,af,sorsco,3_02,1,NA,139.81,279.7
4321,af,sorsco,3_02,2,NA,119.653,642.5
4322,af,sorsco,3_02,3,NA,142.473,210.6
4323,af,sorsco,3_02,4,NA,109.045,624.4
4324,af,sorsco,3_02,5,NA,125.053,585.6
548,af,spibet,1,1,PA,9.091,26.4
549,af,spibet,1,2,PA,5.762,18.2
550,af,spibet,1,3,PA,5.102,15.4
551,af,spibet,1,4,PA,4.709,14.6
552,af,spibet,1,5,PA,6.967,21.7
553,af,spibet,2,1,PA,8.992,40.1
554,af,spibet,2,2,PA,4.759,16.7
555,af,spibet,2,3,PA,7.442,36.7
556,af,spibet,2,4,PA,9.693,37.4
557,af,spibet,2,5,PA,6.718,28.9
558,af,spibet,4,1,PA,9.241,34.9
559,af,spibet,4,2,PA,10.894,46.8
560,af,spibet,4,3,PA,10.914,41.8
561,af,spibet,4,4,PA,11.379,47.7
562,af,spibet,4,5,PA,6.303,25.5
563,af,spibet,5,1,PA,7.595,29.2
564,af,spibet,5,2,PA,14.404,49.6
565,af,spibet,5,3,PA,17.469,70.5
566,af,spibet,5,4,PA,9.289,33.4
567,af,spibet,5,5,PA,13.031,56.7
4502,af,spibet,6,1,NA,8.489,32.9
4503,af,spibet,6,2,NA,9.399,38.8
4383,af,spibet,6,3,NA,7.009,33.2
4384,af,spibet,6,4,NA,7.915,38.4
4506,af,spibet,6,5,NA,5.914,46.6
578,af,spibet,11,1,PA,5.953,36.4
579,af,spibet,11,2,PA,7.718,22.3
580,af,spibet,11,3,PA,7.039,30.9
581,af,spibet,11,4,PA,6.972,41.5
582,af,spibet,11,5,PA,4.89,37.3
583,af,spibet,13,1,PA,7.56,26.6
584,af,spibet,13,2,PA,9.662,33.4
585,af,spibet,13,3,PA,7.645,25.8
586,af,spibet,13,4,PA,7.946,28.5
587,af,spibet,13,5,PA,8.944,31.3
588,af,spibet,14,1,PA,15.738,51.8
589,af,spibet,14,2,PA,16.097,56.2
590,af,spibet,14,3,PA,10.002,29.7
591,af,spibet,14,4,PA,16.717,59.3
592,af,spibet,14,5,PA,11.461,34.8
593,af,spibet,20,1,PA,23.774,67.1
594,af,spibet,20,2,PA,9.372,29.8
595,af,spibet,20,3,PA,10.167,31.3
596,af,spibet,20,4,PA,8.028,25
597,af,spibet,20,5,PA,18.864,52.5
4375,af,spibet,6_02,1,NA,5.938,33.3
4498,af,spibet,6_02,2,NA,5.221,28.7
4499,af,spibet,6_02,3,NA,5.672,27
4500,af,spibet,6_02,4,NA,6.462,33
4501,af,spibet,6_02,5,NA,5.477,30.7
598,af,spidou,1,1,PA,4.533,10.8
599,af,spidou,1,2,PA,4.325,11.1
600,af,spidou,1,3,PA,4.314,12
601,af,spidou,1,4,PA,7.249,17.8
602,af,spidou,1,5,PA,6.748,16.4
4754,af,spidou,2,1,NA,5.505,13.9
4391,af,spidou,2,2,NA,2.964,7.4
4392,af,spidou,2,3,NA,3.282,10
4393,af,spidou,2,4,NA,4.031,9.7
4758,af,spidou,2,5,NA,3.813,9.3
4759,af,spidou,3,1,NA,8.025,29
4396,af,spidou,3,2,NA,7.477,24.3
4397,af,spidou,3,3,NA,4.749,15.3
4398,af,spidou,3,4,NA,6.821,23.2
4035,af,spidou,3,5,NA,3.506,14.7
603,af,spidou,4,1,PA,11.532,36.5
604,af,spidou,4,2,PA,4.685,16
605,af,spidou,4,3,PA,6.057,18.9
606,af,spidou,4,4,PA,10.716,40.8
607,af,spidou,4,5,PA,11.028,40.9
4405,af,spidou,11,1,NA,8.035,31.5
4770,af,spidou,11,2,NA,5.964,23.9
4650,af,spidou,11,3,NA,9.807,35.1
4772,af,spidou,11,4,NA,12.214,47
4773,af,spidou,11,5,NA,9.7,33.6
608,af,spidou,12,1,my,6.068,29.3
609,af,spidou,12,2,my,2.895,22.4
610,af,spidou,12,3,my,2.84,11.6
611,af,spidou,12,4,my,4.797,19.25
612,af,spidou,12,5,my,3.28,15.2
4779,af,spidou,13,1,NA,9.887,54.2
4780,af,spidou,13,2,NA,6.586,37
4781,af,spidou,13,3,NA,8.841,55.5
4702,af,spidou,13,4,NA,7.508,42.8
4703,af,spidou,13,5,NA,10.754,58.9
613,af,spidou,19,1,PA,6.958,16.5
614,af,spidou,19,2,PA,9.847,26
615,af,spidou,19,3,PA,3.776,11.4
616,af,spidou,19,4,PA,4.187,11.3
617,af,spidou,19,5,PA,8.167,19.7
618,af,spidou,20,1,PA,6.008,13.2
619,af,spidou,20,2,PA,9.882,22.4
620,af,spidou,20,3,PA,9.902,20.9
621,af,spidou,20,4,PA,6.082,12.8
622,af,spidou,20,5,PA,7.52,17.2
4794,af,spidou,19_2,1,NA,7.465,25.1
4795,af,spidou,19_2,2,NA,8.076,28.6
4796,af,spidou,19_2,3,NA,8.534,26.1
4797,af,spidou,19_2,4,NA,7.403,24.1
4798,af,spidou,19_2,5,NA,4.48,13
623,af,spipyr,1,1,PA,7.249,18.8
624,af,spipyr,1,2,PA,8.068,19.6
625,af,spipyr,1,3,PA,4.359,11
626,af,spipyr,1,4,PA,5.786,15.4
627,af,spipyr,1,5,PA,6.856,16.9
628,af,spipyr,2,1,PA,9.102,24.7
629,af,spipyr,2,2,PA,3.847,8
630,af,spipyr,2,3,PA,7.758,22.9
631,af,spipyr,2,4,PA,7.422,20.1
632,af,spipyr,2,5,PA,7.471,20.7
4809,af,spipyr,11,1,NA,18.763,89.2
4446,af,spipyr,11,2,NA,16.666,76.6
4447,af,spipyr,11,3,NA,14.506,59.2
4448,af,spipyr,11,4,NA,12.175,48.9
4449,af,spipyr,11,5,NA,13.551,60.5
4086,af,spipyr,12,1,NA,7.9,27.1
4451,af,spipyr,12,2,NA,5.952,18.7
4452,af,spipyr,12,3,NA,5.113,25
4453,af,spipyr,12,4,NA,7.562,35
4454,af,spipyr,12,5,NA,10.725,21.2
4455,af,spipyr,13,1,NA,9.782,30.8
4456,af,spipyr,13,2,NA,11.485,37.4
4457,af,spipyr,13,3,NA,9.738,30.9
4458,af,spipyr,13,4,NA,12.909,40.9
4459,af,spipyr,13,5,NA,11.138,37.9
4460,af,spipyr,14,1,NA,4.565,21.1
4097,af,spipyr,14,2,NA,3.603,15.3
4098,af,spipyr,14,3,NA,3.837,16.9
4463,af,spipyr,14,4,NA,3.846,16.4
4464,af,spipyr,14,5,NA,2.458,10.6
633,af,spipyr,16,1,PA,5.833,20.3
634,af,spipyr,16,2,PA,5.544,17.7
635,af,spipyr,16,3,PA,3.627,9.7
636,af,spipyr,16,4,PA,5.51,18.8
637,af,spipyr,16,5,PA,5.367,18.3
638,af,spipyr,17,1,PA,4.434,11.6
639,af,spipyr,17,2,PA,5.108,15.3
640,af,spipyr,17,3,PA,6.211,18.4
641,af,spipyr,17,4,PA,6.12,16.3
642,af,spipyr,17,5,PA,4.929,14.2
643,af,spipyr,18,1,PA,5.711,14
644,af,spipyr,18,2,PA,6.426,17.6
645,af,spipyr,18,3,PA,6.052,15.4
646,af,spipyr,18,4,PA,5.283,13
647,af,spipyr,18,5,PA,6.277,14.1
648,af,spipyr,19,1,PA,5.006,13.9
649,af,spipyr,19,2,PA,7.412,22.3
650,af,spipyr,19,3,PA,5.525,16.6
651,af,spipyr,19,4,PA,5.415,16.3
652,af,spipyr,19,5,PA,6.135,17.6
653,af,symalb,1,1,PA,10.216,44.2
654,af,symalb,1,2,PA,4.642,16.6
655,af,symalb,1,3,PA,3.579,11.9
656,af,symalb,1,4,PA,5.094,19.3
657,af,symalb,1,5,PA,6.929,23.9
658,af,symalb,2,1,PA,11.97,30.8
659,af,symalb,2,2,PA,9.08,25.3
660,af,symalb,2,3,PA,14.806,44.9
661,af,symalb,2,4,PA,10.882,26.4
662,af,symalb,2,5,PA,9.739,24.8
4374,af,symalb,3,1,NA,6.046,16.2
4496,af,symalb,3,2,NA,9.27,21.1
3768,af,symalb,3,3,NA,6.108,26.4
3769,af,symalb,3,4,NA,4.651,15.6
3770,af,symalb,3,5,NA,8.02,28.8
663,af,symalb,4,1,PA,7.333,41.6
664,af,symalb,4,2,PA,7.364,18
665,af,symalb,4,3,PA,4.704,37.6
666,af,symalb,4,4,PA,7.451,38.6
667,af,symalb,4,5,PA,3.874,22.7
668,af,symalb,5,1,my,9.194,50.8
669,af,symalb,5,2,my,10.606,58.2
670,af,symalb,5,3,my,6.573,66.5
671,af,symalb,5,4,my,8.693,29.3
672,af,symalb,5,5,my,9.844,40.7
3781,af,symalb,6,1,NA,3.55,9.3
3782,af,symalb,6,2,NA,5.447,14.9
3783,af,symalb,6,3,NA,6.521,18.6
3784,af,symalb,6,4,NA,3.757,11
3785,af,symalb,6,5,NA,7.989,23.1
3786,af,symalb,7,1,NA,3.347,13.9
3787,af,symalb,7,2,NA,2.242,10
3788,af,symalb,7,3,NA,2.125,10.3
3789,af,symalb,7,4,NA,1.822,9.6
3790,af,symalb,7,5,NA,2.239,10.4
3791,af,symalb,8,1,NA,4.665,25.4
3792,af,symalb,8,2,NA,4.116,22.6
3793,af,symalb,8,3,NA,4.052,23.9
3794,af,symalb,8,4,NA,3.062,16.8
3795,af,symalb,8,5,NA,1.924,9.8
673,af,symalb,11,1,PA,3.239,15
674,af,symalb,11,2,PA,3.849,18.6
675,af,symalb,11,3,PA,3.646,16.6
676,af,symalb,11,4,PA,4.381,21.7
677,af,symalb,11,5,PA,4.092,20.3
678,af,symalb,12,1,my,2.746,15.8
679,af,symalb,12,2,my,2.78,15.5
680,af,symalb,12,3,my,2.89,17.5
681,af,symalb,12,4,my,3.489,20.8
682,af,symalb,12,5,my,2.112,12.3
4899,af,symalb,5_02,1,NA,NA,24.7
4900,af,symalb,5_02,2,NA,NA,27.4
4861,af,symalb,5_02,3,NA,NA,13.5
4782,af,symalb,5_02,4,NA,NA,22.2
4783,af,symalb,5_02,5,NA,NA,28.1
728,af,vacmem,1,1,PA,7.748,28.1
729,af,vacmem,1,2,PA,9.053,41.8
730,af,vacmem,1,3,PA,7.518,37.9
731,af,vacmem,1,4,PA,5.818,22.3
732,af,vacmem,1,5,PA,6.179,23.2
4788,af,vacmem,3,1,NA,9.565,52.4
4546,af,vacmem,3,2,NA,6.92,30.2
4547,af,vacmem,3,3,NA,3.825,14
4548,af,vacmem,3,4,NA,5.999,25.6
4549,af,vacmem,3,5,NA,7.53,38.3
683,af,vacmem,4,1,my,5.131,29.3
684,af,vacmem,4,2,my,5.978,34.4
685,af,vacmem,4,3,my,4.225,22.9
686,af,vacmem,4,4,my,6.014,35.5
687,af,vacmem,4,5,my,3.917,22.9
688,af,vacmem,5,1,my,4.721,51.2
689,af,vacmem,5,2,my,8.094,22.4
690,af,vacmem,5,3,my,4.091,28.4
691,af,vacmem,5,4,my,7.055,59
692,af,vacmem,5,5,my,5.94,40.8
693,af,vacmem,6,1,my,5.614,25.9
694,af,vacmem,6,2,my,6.208,28.8
695,af,vacmem,6,3,my,5.102,23.5
696,af,vacmem,6,4,my,3.353,13.8
697,af,vacmem,6,5,my,2.861,12.3
698,af,vacmem,7,1,my,7.264,40.9
699,af,vacmem,7,2,my,10.214,64.3
700,af,vacmem,7,3,my,3.471,15.7
701,af,vacmem,7,4,my,3.058,13.4
702,af,vacmem,7,5,my,4.051,17.4
704,af,vacmem,8,1,my,6,37.4
705,af,vacmem,8,2,my,6.567,23.8
707,af,vacmem,8,3,my,4.076,13.4
710,af,vacmem,8,4,my,5.028,16.6
711,af,vacmem,8,5,my,6.145,33.8
703,af,vacmem,8,1,PA,6.083,37.4
706,af,vacmem,8,2,PA,6.653,23.8
708,af,vacmem,8,3,PA,4.142,13.4
709,af,vacmem,8,4,PA,5.125,16.6
712,af,vacmem,8,5,PA,6.237,33.8
713,af,vacmem,9,1,my,4.879,31.4
714,af,vacmem,9,2,my,5.587,30.8
715,af,vacmem,9,3,my,6.069,39.5
716,af,vacmem,9,4,my,6.563,38.5
717,af,vacmem,9,5,my,5.06,27.2
718,af,vacmem,10,1,my,5.783,45.7
719,af,vacmem,10,2,my,5.337,41.8
720,af,vacmem,10,3,my,4.564,28
721,af,vacmem,10,4,my,4.271,23.3
722,af,vacmem,10,5,my,4.986,34.3
723,af,vacmem,20,1,PA,8.395,31.5
724,af,vacmem,20,2,PA,5.611,18.7
725,af,vacmem,20,3,PA,10.372,39.3
726,af,vacmem,20,4,PA,5.716,18.3
727,af,vacmem,20,5,PA,5.191,16.6
733,af,vibedu,1,1,PA,27.325,87.8
734,af,vibedu,1,2,PA,54.068,180.9
735,af,vibedu,1,3,PA,46.656,139.9
736,af,vibedu,1,4,PA,54.124,165.7
737,af,vibedu,1,5,PA,24.171,88.1
3866,af,vibedu,2,1,NA,20.502,105.6
3867,af,vibedu,2,2,NA,28.101,125.5
3868,af,vibedu,2,3,NA,19.347,78.2
3869,af,vibedu,2,4,NA,30.047,128.3
3870,af,vibedu,2,5,NA,28.681,130.7
738,af,vibedu,3,1,PA,53.915,182.2
739,af,vibedu,3,2,PA,29.544,73.6
740,af,vibedu,3,3,PA,28.571,93.5
741,af,vibedu,3,4,PA,39.635,102.7
742,af,vibedu,3,5,PA,52.256,165.3
4606,af,vibedu,4,1,NA,17.164,121.4
4728,af,vibedu,4,2,NA,15.982,114
3878,af,vibedu,4,3,NA,21.596,136.3
3879,af,vibedu,4,4,NA,18.94,121.2
3880,af,vibedu,4,5,NA,19.67,128.7
3881,af,vibedu,5,1,NA,21.799,107.3
3882,af,vibedu,5,2,NA,19.725,88.8
3883,af,vibedu,5,3,NA,23.191,113.3
3884,af,vibedu,5,4,NA,34.166,171
3885,af,vibedu,5,5,NA,31.419,158.4
3886,af,vibedu,6,1,NA,30.983,155.2
3887,af,vibedu,6,2,NA,27.691,134.5
4860,af,vibedu,6,3,NA,14.86,76.1
4619,af,vibedu,6,4,NA,18.449,79.8
4620,af,vibedu,6,5,NA,27.608,123.6
743,af,vibedu,7,1,my,39.603,153.9
744,af,vibedu,7,2,my,37.4,155.9
745,af,vibedu,7,3,my,46.209,184.6
746,af,vibedu,7,4,my,42.413,158.7
747,af,vibedu,7,5,my,37.948,159.7
4505,af,vibedu,8,1,NA,35.014,97.1
4627,af,vibedu,8,2,NA,20.85,54.8
4628,af,vibedu,8,3,NA,33.004,92.9
4710,af,vibedu,8,4,NA,40.339,115.5
4630,af,vibedu,8,5,NA,42.344,135.7
756,af,vibedu,11,5,my,56.64,177.8
749,af,vibedu,11,1,PA,43.935,131.3
750,af,vibedu,11,2,PA,41.861,136.4
752,af,vibedu,11,3,PA,51.53,164.5
755,af,vibedu,11,4,PA,58.714,1889
3906,af,vibedu,12,1,NA,74.107,266.9
3907,af,vibedu,12,2,NA,73.294,285.3
3908,af,vibedu,12,3,NA,71.589,222.8
3909,af,vibedu,12,4,NA,65.585,251.7
3910,af,vibedu,12,5,NA,71.824,277.6
3911,af,vibedu,3_02,1,NA,NA,165
3912,af,vibedu,3_02,2,NA,NA,166.5
3913,af,vibedu,3_02,3,NA,NA,78.5
3914,af,vibedu,3_02,4,NA,NA,177.4
3915,af,vibedu,3_02,5,NA,NA,174.2
758,kl,acegla,1,1,PA,58.194,141.5
759,kl,acegla,1,2,PA,39.982,92.2
760,kl,acegla,1,3,PA,36.963,83.5
761,kl,acegla,1,4,PA,32.402,71.5
762,kl,acegla,1,5,PA,33.502,76.1
763,kl,acegla,3,1,slh,36.227,89.9
764,kl,acegla,3,2,slh,22.708,65.2
765,kl,acegla,3,3,slh,32.044,86.6
766,kl,acegla,3,4,slh,44.27,128
767,kl,acegla,3,5,slh,36.198,112.3
770,kl,acegla,4,1,PA,68.1,213.9
775,kl,acegla,4,2,PA,40.856,118.4
776,kl,acegla,4,3,PA,54.761,141
780,kl,acegla,4,4,PA,61.705,192.3
786,kl,acegla,4,5,PA,42.294,130.3
788,kl,acegla,5,1,my,109.164,366.9
791,kl,acegla,5,2,my,47.15,124.5
792,kl,acegla,5,3,my,55.946,169.8
795,kl,acegla,5,4,my,99.294,293.2
796,kl,acegla,5,5,my,60.704,166.5
798,kl,acegla,6,1,PA,71.07,418.1
800,kl,acegla,6,2,PA,68.312,283.1
801,kl,acegla,6,3,PA,38.061,185.1
804,kl,acegla,6,4,PA,68.787,318.1
805,kl,acegla,6,5,PA,77.36,362.8
808,kl,acegla,7,1,my,51.758,157.5
809,kl,acegla,7,2,my,29,80.4
810,kl,acegla,7,3,my,65.057,278.9
811,kl,acegla,7,4,my,78.059,286.6
812,kl,acegla,7,5,my,38.372,159.7
813,kl,acegla,8,1,slh,53.297,139.4
814,kl,acegla,8,2,slh,35.712,87.4
815,kl,acegla,8,3,slh,74.888,190.3
816,kl,acegla,8,4,slh,31.066,72
817,kl,acegla,8,5,slh,56.541,145.2
818,kl,acegla,9,1,slh,28.703,127.5
819,kl,acegla,9,2,slh,40.598,151.1
820,kl,acegla,9,3,slh,33.753,128.7
821,kl,acegla,9,4,slh,34.384,166.1
822,kl,acegla,9,5,slh,30.625,155.4
823,kl,acegla,10,1,slh,36.793,144.9
824,kl,acegla,10,2,slh,42.312,180.2
825,kl,acegla,10,3,slh,50.154,249.2
826,kl,acegla,10,4,slh,59.659,374.2
827,kl,acegla,10,5,slh,63.965,433.4
828,kl,acegla,11,1,af,27.086,97.4
829,kl,acegla,11,2,af,21.543,70.2
830,kl,acegla,11,3,af,27.337,93.8
831,kl,acegla,11,4,af,19.231,79.2
832,kl,acegla,11,5,af,30.24,101.7
