site ,species,no,stem.weight
kl,alninc,1,1663
kl,alninc,2,1359.1
kl,alninc,3,1343.9
kl,alninc,4,1391.1
kl,alnrub,1,1369
kl,alnrub,2,1842.3
kl,alnrub,3,1283.9
kl,alnrub,4,1536.6
kl,alnrub,5,1856.3
kl,alnrub,6,1690.1
kl,alnrub,7,1514.5
kl,alnrub,8,1841.5
kl,alnrub,9,1722
kl,alnrub,10,1487.8
kl,alnvir,2,1380
kl,alnvir,3,1409
kl,alnvir,5,1519
kl,alnvir,6,1386.6
kl,alnvir,7,1285.9
kl,alnvir,8,1424.6
kl,alnvir,9,1844.4
kl,alnvir,10,1393.4
kl,alnvir,11,1369.3
kl,alnvir,12,1308.1
kl,amealn,1,1458.6
kl,amealn,2,1578.5
kl,amealn,3,1842.8
kl,amealn,4,2392.5
kl,amealn,5,1422
kl,amealn,6,1771.6
kl,amealn,7,1595
kl,amealn,8,2204
kl,amealn,9,2359.4
kl,amealn,10,1658.6
kl,betpap,5,2197.2
kl,betpap,6,1220
kl,betpap,7,2087.9
kl,betpap,8,2375
kl,betpap,9,1924.7
kl,betpap,10,2007.2
kl,betpap,11,1989.5
kl,betpap,12,1819.4
kl,betpap,13,2221.2
kl,betpap,14,2288.1
kl,betpap,9_02,2219.3
kl,corsto,3,1367.9
kl,corsto,5,1645.7
kl,corsto,6,1773.7
kl,corsto,7,1697.3
kl,corsto,8,1309
kl,corsto,9,1095.5
kl,corsto,10,1498.9
kl,corsto,11,1017.3
kl,corsto,12,1216.6
kl,corsto,13,1749.5
kl,loninv,1,1815.4
kl,loninv,2,1629.7
kl,loninv,3,1454
kl,loninv,4,1713.5
kl,loninv,5,1441.7
kl,loninv,6,1256.4
kl,loninv,7,1382.3
kl,loninv,8,1177.3
kl,loninv,9,698.2
kl,loninv,10,1825.5
kl,popbal,1,1975.2
kl,popbal,3,2126.8
kl,popbal,4,2329
kl,popbal,5,1986.1
kl,popbal,6,1897.2
kl,popbal,7,1763.7
kl,popbal,8,2329.8
kl,popbal,9,1785.3
kl,popbal,10,1719
kl,popbal,11,2374.2
kl,poptre,1,2089.6
kl,poptre,2,1849.3
kl,poptre,3,2619.2
kl,poptre,4,2128.2
kl,poptre,5,2462
kl,poptre,6,2071.9
kl,poptre,7,1894.7
kl,poptre,8,2152.6
kl,poptre,9,2398.2
kl,poptre,10,2111.1
kl,rhoalb,1,975.3
kl,rhoalb,2,950.1
kl,rhoalb,3,1130.4
kl,rhoalb,4,1411.1
kl,rhoalb,5,1048.4
kl,rhoalb,6,953.5
kl,rhoalb,7,1125.3
kl,rhoalb,8,1302.5
kl,rhoalb,9,984.9
kl,rhoalb,10,1637.7
kl,riblac,1,643.2
kl,riblac,2,948.3
kl,riblac,3,905.1
kl,riblac,7,565.2
kl,riblac,8,1130.7
kl,riblac,9,1314.7
kl,riblac,10,1072.8
kl,riblac,11,1094.5
kl,riblac,13,1382.6
kl,riblac,12,1170.7
kl,rosgym,1,934.1
kl,rosgym,2,992.6
kl,rosgym,4,1250.2
kl,rosgym,6,819.7
kl,rosgym,7,1249.1
kl,rosgym,8,1228.8
kl,rosgym,9,951
kl,rosgym,10,1515.7
kl,rosgym,11,977.4
kl,rosgym,12,1713.8
kl,rubida,1,788.6
kl,rubida,2,545.4
kl,rubida,3,655.4
kl,rubida,4,560.1
kl,rubida,5,438
kl,rubida,6,661.6
kl,rubida,7,558.2
kl,rubida,8,1046.7
kl,rubpar,1,819.7
kl,rubpar,3,1303.3
kl,rubpar,4,1147.1
kl,rubpar,6,924.7
kl,rubpar,7,1275.7
kl,rubpar,8,820
kl,rubpar,9,884.3
kl,rubpar,10,1459
kl,rubpar,11,1156.3
kl,rubpar,12,1256.2
kl,samrac,1,1059
kl,samrac,2,714.8
kl,samrac,2,1701.8
kl,samrac,3,718.8
kl,samrac,3,1416.4
kl,samrac,4,1351.7
kl,samrac,5,786.6
kl,samrac,6,1259.4
kl,samrac,6,1287.4
kl,samrac,7,1031
kl,shecan,1,1007.9
kl,shecan,2,1445.9
kl,shecan,3,1626.7
kl,shecan,4_02,1366
kl,shecan,4,1476.6
kl,shecan,5,1318.1
kl,shecan,6,1490.7
kl,shecan,7,1291.3
kl,shecan,8,1733.7
kl,shecan,9,927.4
kl,sorsco,1,1358.6
kl,sorsco,1,1403.2
kl,sorsco,2,1597.8
kl,sorsco,3,1644.2
kl,sorsco,4,1416.4
kl,sorsco,5,1242
kl,sorsco,8,1546.3
kl,sorsco,9,1552.5
kl,sorsco,10,1854.9
kl,sorsco,,1607
kl,spibet,3,742.2
kl,spibet,4,352.4
kl,spibet,5,1012.5
kl,spibet,6,486
kl,spibet,7,450.9
kl,spibet,8,559
kl,spibet,9,309.2
kl,spibet,10,633.5
kl,spibet,11,633.8
kl,spibet,12,536.2
kl,symalb,1,828.9
kl,symalb,2,778.3
kl,symalb,2_02,1130
kl,symalb,3,1520.7
kl,symalb,7,1345.8
kl,symalb,8,1070.8
kl,symalb,9,1539.7
kl,symalb,10,723.5
kl,symalb,11,816.7
kl,symalb,12,985.6
kl,vacmem,1,829.23
kl,vacmem,2,996.5
kl,vacmem,3,1427.8
kl,vacmem,4,1609.4
kl,vacmem,5,977.6
kl,vacmem,6,1068.4
kl,vacmem,7,954.9
kl,vacmem,8,1196.5
kl,vacmem,10,1467.1
kl,vacmem,11,1297.9
kl,vibedu,1,1405.2
kl,vibedu,2,710.3
kl,vibedu,3,931.1
kl,vibedu,4,896.9
kl,vibedu,5,822.5
kl,vibedu,6,987
kl,vibedu,7,1331.4
kl,vibedu,8,1051.9
kl,vibedu,9,1019.1
kl,vibedu,10,940.5
mp,acegla,1,1560.8
mp,acegla,2,1350.7
mp,acegla,3,1597.2
mp,acegla,4,1717.7
mp,acegla,5,1783.8
mp,acegla,7,1601.4
mp,acegla,8,1308.2
mp,acegla,9,1466.7
mp,acegla,10,1416.2
mp,acegla,10_02,1627.4
mp,acegla,11,1378.1
mp,alninc,1,996
mp,alninc,2,1373.3
mp,alninc,3,1452.7
mp,alninc,4,1556.9
mp,alninc,5,1250.4
mp,alninc,6,1184.5
mp,alninc,7,1193
mp,alninc,8,1444.2
mp,alninc,9,1570.6
mp,alninc,10,1522.9
mp,alnrub,5,1438.7
mp,alnrub,6,1746.5
mp,alnrub,7,1481
mp,alnvir,1,1741.8
mp,alnvir,2,1704.8
mp,alnvir,3,1597.1
mp,alnvir,4,1726.1
mp,alnvir,5,1449.6
mp,alnvir,6,1478.3
mp,alnvir,7,2355.8
mp,alnvir,8,1432.9
mp,alnvir,9,1586.5
mp,alnvir,10,NA
mp,amealn,1,1424.6
mp,amealn,2,1869.2
mp,amealn,3,1685.1
mp,amealn,4,1287.1
mp,amealn,5,1500
mp,amealn,6,1972.05
mp,amealn,7,1449.8
mp,amealn,8,1825.5
mp,amealn,9,1433.6
mp,amealn,10,1551.27
mp,amealn,11,1528.6
mp,amealn,12,1586.1
mp,corsto,1,766.9
mp,corsto,2,1337
mp,corsto,3,1233.8
mp,corsto,5,1505
mp,corsto,6,1540.6
mp,corsto,7,877
mp,corsto,8,1332.1
mp,corsto,9,1359
mp,corsto,10,1494.8
mp,corsto,20,1221.5
mp,loninv,3,1036.53
mp,loninv,4,1052.9
mp,loninv,5,990.6
mp,loninv,6,1495.1
mp,loninv,7,1261.3
mp,loninv,8,1258.53
mp,loninv,9,921.4
mp,loninv,10,856.4
mp,loninv,11,1261.5
mp,loninv,12,1045.4
mp,loninv,13,789
mp,menfer,1,575.8
mp,menfer,2,1269.6
mp,menfer,4,1014.5
mp,menfer,5,1395.6
mp,menfer,6,1171
mp,menfer,7,1469.6
mp,menfer,8,816.8
mp,menfer,9,699.9
mp,menfer,10,485.1
mp,menfer,10_02,1130.9
mp,menfer,12,1419.5
mp,popbal,6,1464.1
mp,popbal,8,1894.1
mp,popbal,9,2052.3
mp,popbal,10,1743.4
mp,popbal,11,1809.3
mp,popbal,12,1290
mp,popbal,13,2345.5
mp,popbal,14,2199.9
mp,popbal,15,1987.6
mp,poptre,5,2050.24
mp,poptre,6,1568.52
mp,poptre,7,1883.81
mp,poptre,8,1986.39
mp,poptre,9,1813.82
mp,poptre,10,1960.5
mp,poptre,11,1933.8
mp,poptre,12,1702.7
mp,poptre,13,1914.4
mp,poptre,7_02,1713.61
mp,rhoalb,1,1346.5
mp,rhoalb,2,1120
mp,rhoalb,3,773.3
mp,rhoalb,4,1473.8
mp,rhoalb,5,781.6
mp,rhoalb,8,949.7
mp,rhoalb,9,1179.7
mp,rhoalb,10,994
mp,rhoalb,11,1271.7
mp,rhoalb,12,1040.4
mp,riblac,1,1463
mp,riblac,2,1512.9
mp,riblac,3,1445.4
mp,riblac,4,1367
mp,riblac,5,1156.4
mp,riblac,6,997.1
mp,riblac,7,1107.5
mp,riblac,8,1140.7
mp,riblac,10,19736
mp,riblac,11,895.6
mp,rosaci,1,1803.5
mp,rosaci,2,1833.7
mp,rosaci,3,1441.9
mp,rosaci,4,998.2
mp,rosaci,5,706.2
mp,rosaci,6,947.8
mp,rosaci,7,1155.1
mp,rosaci,8,1669.9
mp,rosaci,9,2136.9
mp,rosaci,10,1424.1
mp,rosgym,1,600.4
mp,rosgym,2,1603
mp,rosgym,3,799.2
mp,rosgym,4,884.2
mp,rosgym,5,1106.1
mp,rosgym,6,844.8
mp,rosgym,7,580.6
mp,rosgym,8,1189.2
mp,rosgym,9,913.8
mp,rosgym,10,448.4
mp,rubpar,1,549.5
mp,rubpar,2,774.1
mp,rubpar,3,396.1
mp,rubpar,4,499.5
mp,rubpar,5,874.1
mp,rubpar,6,1031.7
mp,rubpar,7_2,656.4
mp,rubpar,7,735.4
mp,rubpar,8,920.6
mp,rubpar,9,697.2
mp,rubpar,10,664.2
mp,rubpar,21,1032.2
mp,rubpar,22,802.6
mp,rubspe,1,819.3
mp,rubspe,3,703.7
mp,rubspe,4,875
mp,rubspe,5,319.3
mp,rubspe,6,422.4
mp,rubspe,8,589.9
mp,rubspe,9,992.4
mp,rubspe,10,6605
mp,rubspe,11,896.7
mp,rubspe,12,1010.5
mp,rubspe,13,785.8
mp,rubspe,14,904.4
mp,samrac,1,1440.6
mp,samrac,2,623.1
mp,samrac,3,811.8
mp,samrac,4,533.1
mp,samrac,5,574.3
mp,samrac,6,851.9
mp,samrac,7,809.4
mp,samrac,8,826.1
mp,samrac,9,665.3
mp,samrac,10,453.7
mp,samrac,11,473.1
mp,shecan,2,1221.3
mp,shecan,3,2080.4
mp,shecan,4,1494.5
mp,shecan,5,1721.3
mp,shecan,6,1192.5
mp,shecan,7,1720
mp,shecan,8,2408.9
mp,shecan,9,1774.7
mp,shecan,10,1897.4
mp,shecan,11,1952.7
mp,sorsco,1,1249.4
mp,sorsco,3,1095
mp,sorsco,4,1632.6
mp,sorsco,8,1470.4
mp,sorsco,10,1591.3
mp,sorsco,12,1924.7
