"sample","site","species","ssd","per.N","per.C","ht","dbh","dbh2","dbh3","lma","C.N","type","transect","latitude","latZ"
"ALNINC03_GR","GR","alninc",0.606299212598425,3.603077167,47.54968321,6.5,3.7,NA,NA,0.0300578797464874,13.2,NA,"1",43.99837498,-1.06799594411452
"ALNINC04_GR","GR","alninc",0.406015037593985,3.541528889,48.81905422,7,5.5,NA,NA,0.0376919597665252,13.8,NA,"1",43.99837498,-1.06799594411452
"ALNINC05_GR","GR","alninc",0.511627906976744,3.721390133,49.27412122,7,6,NA,NA,0.0619639473099901,13.2,NA,"1",43.99837498,-1.06799594411452
"ALNINC06_GR","GR","alninc",0.522184300341297,3.400214608,49.58585702,8,5.4,7.2,6.8,0.0423108113739154,14.6,NA,"1",43.99837498,-1.06799594411452
"ALNINC07_GR","GR","alninc",0.426751592356688,3.49123225,50.11963424,5,3.8,3.2,3.2,0.0548704248410107,14.4,NA,"1",43.99837498,-1.06799594411452
"ALNINC08_GR","GR","alninc",NA,NA,NA,4,3.9,NA,NA,NA,NA,NA,"1",43.99837498,-1.06799594411452
"BETALL01_GR","GR","betall",0.565217391304348,2.999130302,45.03593577,14,9.9,NA,NA,0.0310128486231846,15,NA,"1",43.99837498,-1.06799594411452
"BETALL02_GR","GR","betall",0.511551155115512,3.242944941,44.12313161,14,8.5,NA,NA,0.0227558791947263,13.6,NA,"1",43.99837498,-1.06799594411452
"BETALL03_GR","GR","betall",0.600917431192661,3.134091545,44.29153572,14,14.5,NA,NA,0.0251615405852155,14.1,NA,"1",43.99837498,-1.06799594411452
"BETALL04_GR","GR","betall",0.533333333333333,2.964087256,43.64195973,10,6.6,NA,NA,0.0233807985192161,14.7,NA,"1",43.99837498,-1.06799594411452
"BETALL05_GR","GR","betall",0.591133004926108,3.057693795,44.01153387,25,34.4,NA,NA,0.0299317326252048,14.4,NA,"1",43.99837498,-1.06799594411452
"BETALL06_GR","GR","betall",0.526315789473684,2.829558801,45.50353661,19,35.6,NA,NA,0.0462280977137791,16.1,NA,"1",43.99837498,-1.06799594411452
"BETALL07_GR","GR","betall",0.553333333333333,2.809735046,45.53488794,16,19.5,23.1,NA,0.0367112810707457,16.2,NA,"1",43.99837498,-1.06799594411452
"BETALL08_GR","GR","betall",0.53960396039604,2.426918995,44.35929295,19,13.4,14.4,10,0.0387961482012861,18.3,NA,"1",43.99837498,-1.06799594411452
"BETALL09_GR","GR","betall",0.502824858757062,2.817218413,44.67843044,12,9.8,NA,NA,0.0362787621557932,15.9,NA,"1",43.99837498,-1.06799594411452
"BETALL10_GR","GR","betall",NA,NA,NA,22,30.2,NA,NA,NA,NA,NA,"1",43.99837498,-1.06799594411452
"BETALL11_GR","GR","betall",0.518248175182482,1.89087033,43.52727911,9,4.7,4.8,NA,0.025071487620106,23,NA,"1",43.99837498,-1.06799594411452
"BETALL12_GR","GR","betall",0.593406593406593,3.014989926,44.59568178,20,29.5,NA,NA,0.0399415489527521,14.8,NA,"1",43.99837498,-1.06799594411452
